date,expiry date,strike,maturity (years),rate,underlying,call option price,implied vol
09-Mar-2026,13-Mar-2026,80,0.0109589,3,100,20.0263,0.281248
09-Mar-2026,13-Mar-2026,85,0.0109589,3,100,15.0279,0.238346
09-Mar-2026,13-Mar-2026,90,0.0109589,3,100,10.0296,0.225597
09-Mar-2026,13-Mar-2026,95,0.0109589,3,100,5.03874,0.212658
09-Mar-2026,13-Mar-2026,100,0.0109589,3,100,0.849889,0.199578
09-Mar-2026,13-Mar-2026,105,0.0109589,3,100,0.00426881,0.186669
09-Mar-2026,13-Mar-2026,110,0.0109589,3,100,3.63658e-08,0.17481
09-Mar-2026,20-Mar-2026,80,0.030137,3,100,20.0986,0.547572
09-Mar-2026,20-Mar-2026,85,0.030137,3,100,15.1051,0.4183
09-Mar-2026,20-Mar-2026,90,0.030137,3,100,10.1247,0.306737
09-Mar-2026,20-Mar-2026,95,0.030137,3,100,5.33917,0.255256
09-Mar-2026,20-Mar-2026,100,0.030137,3,100,1.66625,0.234132
09-Mar-2026,20-Mar-2026,105,0.030137,3,100,0.189481,0.217879
09-Mar-2026,20-Mar-2026,110,0.030137,3,100,0.0043272,0.203651
09-Mar-2026,20-Mar-2026,115,0.030137,3,100,1.27306e-05,0.192506
09-Mar-2026,20-Mar-2026,120,0.030137,3,100,5.09419e-09,0.18537
09-Mar-2026,27-Mar-2026,80,0.0493151,3,100,20.1579,0.452558
09-Mar-2026,27-Mar-2026,85,0.0493151,3,100,15.173,0.352573
09-Mar-2026,27-Mar-2026,90,0.0493151,3,100,10.2411,0.282579
09-Mar-2026,27-Mar-2026,95,0.0493151,3,100,5.6356,0.250134
09-Mar-2026,27-Mar-2026,100,0.0493151,3,100,2.11903,0.230943
09-Mar-2026,27-Mar-2026,105,0.0493151,3,100,0.413918,0.214924
09-Mar-2026,27-Mar-2026,110,0.0493151,3,100,0.0298812,0.200809
09-Mar-2026,27-Mar-2026,115,0.0493151,3,100,0.000613666,0.189699
09-Mar-2026,27-Mar-2026,120,0.0493151,3,100,3.70813e-06,0.182511
09-Mar-2026,02-Apr-2026,80,0.0657534,3,100,20.2398,0.4364
09-Mar-2026,02-Apr-2026,85,0.0657534,3,100,15.2797,0.352079
09-Mar-2026,02-Apr-2026,90,0.0657534,3,100,10.4359,0.29683
09-Mar-2026,02-Apr-2026,95,0.0657534,3,100,6.01433,0.266249
09-Mar-2026,02-Apr-2026,100,0.0657534,3,100,2.60791,0.245462
09-Mar-2026,02-Apr-2026,105,0.0657534,3,100,0.718272,0.228001
09-Mar-2026,02-Apr-2026,110,0.0657534,3,100,0.101768,0.212754
09-Mar-2026,02-Apr-2026,115,0.0657534,3,100,0.00629958,0.200729
09-Mar-2026,02-Apr-2026,120,0.0657534,3,100,0.000174519,0.192844
09-Mar-2026,10-Apr-2026,80,0.0876712,3,100,20.3129,0.392687
09-Mar-2026,10-Apr-2026,85,0.0876712,3,100,15.3833,0.326751
09-Mar-2026,10-Apr-2026,90,0.0876712,3,100,10.615,0.284773
09-Mar-2026,10-Apr-2026,95,0.0876712,3,100,6.30845,0.258829
09-Mar-2026,10-Apr-2026,100,0.0876712,3,100,2.95672,0.239388
09-Mar-2026,10-Apr-2026,105,0.0876712,3,100,0.96222,0.222533
09-Mar-2026,10-Apr-2026,110,0.0876712,3,100,0.185649,0.207684
09-Mar-2026,10-Apr-2026,115,0.0876712,3,100,0.0187903,0.195873
09-Mar-2026,10-Apr-2026,120,0.0876712,3,100,0.00101736,0.18802
09-Mar-2026,31-Mar-2026,80,0.060274,3,100,20.212,0.441952
09-Mar-2026,31-Mar-2026,85,0.060274,3,100,15.2419,0.352498
09-Mar-2026,31-Mar-2026,90,0.060274,3,100,10.3676,0.293193
09-Mar-2026,31-Mar-2026,95,0.060274,3,100,5.89116,0.262018
09-Mar-2026,31-Mar-2026,100,0.060274,3,100,2.45527,0.241602
09-Mar-2026,31-Mar-2026,105,0.060274,3,100,0.617846,0.22452
09-Mar-2026,31-Mar-2026,110,0.060274,3,100,0.0736783,0.20958
09-Mar-2026,31-Mar-2026,115,0.060274,3,100,0.00345165,0.197812
09-Mar-2026,31-Mar-2026,120,0.060274,3,100,6.52288e-05,0.190131
09-Mar-2026,30-Apr-2026,80,0.142466,3,100,20.5733,0.358822
09-Mar-2026,30-Apr-2026,85,0.142466,3,100,15.7586,0.314611
09-Mar-2026,30-Apr-2026,90,0.142466,3,100,11.1902,0.283726
09-Mar-2026,30-Apr-2026,95,0.142466,3,100,7.11426,0.260804
09-Mar-2026,30-Apr-2026,100,0.142466,3,100,3.84926,0.241804
09-Mar-2026,30-Apr-2026,105,0.142466,3,100,1.65158,0.224898
09-Mar-2026,30-Apr-2026,110,0.142466,3,100,0.515635,0.2099
09-Mar-2026,30-Apr-2026,115,0.142466,3,100,0.1096,0.197728
09-Mar-2026,30-Apr-2026,120,0.142466,3,100,0.0160181,0.189268
09-Mar-2026,29-May-2026,80,0.221918,3,100,20.9523,0.329225
09-Mar-2026,29-May-2026,85,0.221918,3,100,16.2746,0.29747
09-Mar-2026,29-May-2026,90,0.221918,3,100,11.8835,0.273038
09-Mar-2026,29-May-2026,95,0.221918,3,100,7.9684,0.25303
09-Mar-2026,29-May-2026,100,0.221918,3,100,4.74898,0.23552
09-Mar-2026,29-May-2026,105,0.221918,3,100,2.40725,0.219632
09-Mar-2026,29-May-2026,110,0.221918,3,100,0.985133,0.205389
09-Mar-2026,29-May-2026,115,0.221918,3,100,0.31232,0.193516
09-Mar-2026,29-May-2026,120,0.221918,3,100,0.0768307,0.184785
09-Mar-2026,30-Jun-2026,80,0.309589,3,100,21.4286,0.317306
09-Mar-2026,30-Jun-2026,85,0.309589,3,100,16.8816,0.290793
09-Mar-2026,30-Jun-2026,90,0.309589,3,100,12.6339,0.269105
09-Mar-2026,30-Jun-2026,95,0.309589,3,100,8.83279,0.250525
09-Mar-2026,30-Jun-2026,100,0.309589,3,100,5.64033,0.233929
09-Mar-2026,30-Jun-2026,105,0.309589,3,100,3.19491,0.218797
09-Mar-2026,30-Jun-2026,110,0.309589,3,100,1.55218,0.205169
09-Mar-2026,30-Jun-2026,115,0.309589,3,100,0.629004,0.193535
09-Mar-2026,30-Jun-2026,120,0.309589,3,100,0.211713,0.184483
09-Mar-2026,31-Jul-2026,80,0.394521,3,100,21.8776,0.308268
09-Mar-2026,31-Jul-2026,85,0.394521,3,100,17.4281,0.28469
09-Mar-2026,31-Jul-2026,90,0.394521,3,100,13.278,0.26479
09-Mar-2026,31-Jul-2026,95,0.394521,3,100,9.54974,0.247386
09-Mar-2026,31-Jul-2026,100,0.394521,3,100,6.37414,0.231706
09-Mar-2026,31-Jul-2026,105,0.394521,3,100,3.86485,0.217392
09-Mar-2026,31-Jul-2026,110,0.394521,3,100,2.07804,0.204461
09-Mar-2026,31-Jul-2026,115,0.394521,3,100,0.970426,0.19323
09-Mar-2026,31-Jul-2026,120,0.394521,3,100,0.390941,0.184126
09-Mar-2026,31-Aug-2026,80,0.479452,3,100,22.3202,0.301661
09-Mar-2026,31-Aug-2026,85,0.479452,3,100,17.9513,0.280025
09-Mar-2026,31-Aug-2026,90,0.479452,3,100,13.8783,0.261429
09-Mar-2026,31-Aug-2026,95,0.479452,3,100,10.206,0.244991
09-Mar-2026,31-Aug-2026,100,0.479452,3,100,7.04472,0.230133
09-Mar-2026,31-Aug-2026,105,0.479452,3,100,4.49038,0.216574
09-Mar-2026,31-Aug-2026,110,0.479452,3,100,2.59589,0.204299
09-Mar-2026,31-Aug-2026,115,0.479452,3,100,1.33935,0.193503
09-Mar-2026,31-Aug-2026,120,0.479452,3,100,0.612106,0.184478
09-Mar-2026,30-Sep-2026,80,0.561644,3,100,22.7432,0.296886
09-Mar-2026,30-Sep-2026,85,0.561644,3,100,18.4415,0.276625
09-Mar-2026,30-Sep-2026,90,0.561644,3,100,14.431,0.259025
09-Mar-2026,30-Sep-2026,95,0.561644,3,100,10.804,0.243382
09-Mar-2026,30-Sep-2026,100,0.561644,3,100,7.65588,0.229231
09-Mar-2026,30-Sep-2026,105,0.561644,3,100,5.0695,0.216331
09-Mar-2026,30-Sep-2026,110,0.561644,3,100,3.09333,0.204635
09-Mar-2026,30-Sep-2026,115,0.561644,3,100,1.71725,0.194255
09-Mar-2026,30-Sep-2026,120,0.561644,3,100,0.860964,0.185383
09-Mar-2026,30-Oct-2026,80,0.643836,3,100,23.1952,0.295278
09-Mar-2026,30-Oct-2026,85,0.643836,3,100,18.9577,0.275921
09-Mar-2026,30-Oct-2026,90,0.643836,3,100,15.006,0.259
09-Mar-2026,30-Oct-2026,95,0.643836,3,100,11.4219,0.243931
09-Mar-2026,30-Oct-2026,100,0.643836,3,100,8.2879,0.230317
09-Mar-2026,30-Oct-2026,105,0.643836,3,100,5.67575,0.217931
09-Mar-2026,30-Oct-2026,110,0.643836,3,100,3.62885,0.206698
09-Mar-2026,30-Oct-2026,115,0.643836,3,100,2.14437,0.196661
09-Mar-2026,30-Oct-2026,120,0.643836,3,100,1.16331,0.187931
09-Mar-2026,30-Nov-2026,80,0.728767,3,100,23.6073,0.291372
09-Mar-2026,30-Nov-2026,85,0.728767,3,100,19.4233,0.273029
09-Mar-2026,30-Nov-2026,90,0.728767,3,100,15.5203,0.256925
09-Mar-2026,30-Nov-2026,95,0.728767,3,100,11.9718,0.242558
09-Mar-2026,30-Nov-2026,100,0.728767,3,100,8.85102,0.229581
09-Mar-2026,30-Nov-2026,105,0.728767,3,100,6.22111,0.217782
09-Mar-2026,30-Nov-2026,110,0.728767,3,100,4.12104,0.207072
09-Mar-2026,30-Nov-2026,115,0.728767,3,100,2.55183,0.19745
09-Mar-2026,30-Nov-2026,120,0.728767,3,100,1.46828,0.188976
09-Mar-2026,31-Dec-2026,80,0.813699,3,100,24.0287,0.289008
