date,underlying
09-Mar-2026,100.0
10-Mar-2026,100.91
11-Mar-2026,100.204
12-Mar-2026,100.391
13-Mar-2026,101.428
16-Mar-2026,101.435
17-Mar-2026,100.873
18-Mar-2026,100.882
19-Mar-2026,100.73
20-Mar-2026,100.529
23-Mar-2026,102.299
24-Mar-2026,102.668
25-Mar-2026,103.511
26-Mar-2026,103.16
27-Mar-2026,102.713
30-Mar-2026,101.648
31-Mar-2026,102.27
01-Apr-2026,101.918
02-Apr-2026,102.147
07-Apr-2026,102.022
08-Apr-2026,103.199
09-Apr-2026,101.586
10-Apr-2026,101.433
13-Apr-2026,99.2245
14-Apr-2026,97.6625
15-Apr-2026,98.6901
16-Apr-2026,98.4076
17-Apr-2026,97.3755
20-Apr-2026,98.4221
21-Apr-2026,97.695
22-Apr-2026,97.5788
23-Apr-2026,97.8447
24-Apr-2026,96.803
27-Apr-2026,96.7167
28-Apr-2026,96.7022
29-Apr-2026,96.6287
30-Apr-2026,96.5212
04-May-2026,95.8271
05-May-2026,96.1345
06-May-2026,95.759
07-May-2026,95.482
08-May-2026,94.9854
11-May-2026,93.8867
12-May-2026,94.0606
13-May-2026,96.2907
14-May-2026,95.7262
15-May-2026,93.8757
18-May-2026,93.3989
19-May-2026,93.6587
20-May-2026,94.6987
21-May-2026,95.7359
22-May-2026,94.7649
25-May-2026,94.3396
26-May-2026,93.6604
27-May-2026,93.3465
28-May-2026,93.2272
29-May-2026,91.337
01-Jun-2026,92.7958
02-Jun-2026,92.9574
03-Jun-2026,92.7897
04-Jun-2026,93.2485
05-Jun-2026,92.248
08-Jun-2026,92.259
09-Jun-2026,92.1562
10-Jun-2026,92.6964
11-Jun-2026,91.8926
12-Jun-2026,93.2761
15-Jun-2026,93.0633
16-Jun-2026,93.6507
17-Jun-2026,94.3868
18-Jun-2026,94.6011
19-Jun-2026,94.6343
22-Jun-2026,92.4228
23-Jun-2026,92.1571
24-Jun-2026,93.4537
25-Jun-2026,91.5374
26-Jun-2026,89.7866
29-Jun-2026,89.8475
30-Jun-2026,89.3559
01-Jul-2026,91.1379
02-Jul-2026,91.5976
03-Jul-2026,89.9419
06-Jul-2026,88.0572
07-Jul-2026,85.8237
08-Jul-2026,85.7189
09-Jul-2026,86.9892
10-Jul-2026,86.4327
13-Jul-2026,85.355
14-Jul-2026,86.9404
15-Jul-2026,86.7737
16-Jul-2026,85.6555
17-Jul-2026,85.0832
20-Jul-2026,82.8988
21-Jul-2026,83.474
22-Jul-2026,86.6135
23-Jul-2026,84.6378
24-Jul-2026,85.4544
27-Jul-2026,85.7424
28-Jul-2026,85.7605
29-Jul-2026,83.3879
30-Jul-2026,83.5277
31-Jul-2026,84.3484
03-Aug-2026,83.6454
04-Aug-2026,83.4004
05-Aug-2026,80.4397
06-Aug-2026,80.1816
07-Aug-2026,80.5091
10-Aug-2026,82.7614
11-Aug-2026,84.0873
12-Aug-2026,83.8333
13-Aug-2026,83.7868
14-Aug-2026,84.9878
17-Aug-2026,85.5962
18-Aug-2026,85.0671
19-Aug-2026,84.4561
20-Aug-2026,85.4736
21-Aug-2026,88.2257
24-Aug-2026,87.7577
25-Aug-2026,88.1663
26-Aug-2026,88.1456
27-Aug-2026,88.0345
