date,mu,kappa_P,theta_P,xi,rho,lambda
09-Mar-2026,0.05,1.5,0.04,0.3,-0.7,0.5,
10-Mar-2026,0.0521993,1.46585,0.0411352,0.302172,-0.684819,0.521058,
11-Mar-2026,0.0512328,1.4564,0.0414266,0.300447,-0.688904,0.518666,
12-Mar-2026,0.0500357,1.47856,0.0431653,0.298405,-0.68573,0.520578,
13-Mar-2026,0.0490701,1.46189,0.044676,0.295787,-0.678133,0.510483,
16-Mar-2026,0.0496321,1.49715,0.0457862,0.296049,-0.664708,0.507301,
17-Mar-2026,0.0486061,1.48828,0.0468086,0.286359,-0.656483,0.507154,
18-Mar-2026,0.0481748,1.46986,0.0482235,0.286888,-0.643479,0.502484,
19-Mar-2026,0.106979,1.14505,0.0683485,0.318637,-0.758714,0.740589,
20-Mar-2026,0.137337,0.701624,0.0649063,0.299039,0.770761,0.473428,
23-Mar-2026,0.136744,0.693706,0.0716679,0.307682,0.777859,0.47162,
24-Mar-2026,0.13588,0.702664,0.0742909,0.312638,0.780093,0.46196,
25-Mar-2026,0.135331,0.696292,0.0758417,0.32254,0.770966,0.461995,
26-Mar-2026,0.144678,0.466432,0.115339,0.182188,0.824013,0.483097,
27-Mar-2026,0.14052,0.626535,0.0750246,0.148034,0.667734,0.385156,
30-Mar-2026,0.141523,0.615875,0.0790292,0.147634,0.66435,0.373941,
31-Mar-2026,0.141863,0.608442,0.0817132,0.15168,0.668901,0.379108,
01-Apr-2026,0.142669,0.586518,0.0821651,0.152094,0.668911,0.389018,
02-Apr-2026,0.178167,1.17719,0.131631,0.139542,0.425965,0.491621,
07-Apr-2026,0.160163,0.456016,0.290612,0.120167,0.81467,0.391313,
08-Apr-2026,0.155156,0.456845,0.299241,0.124601,0.811716,0.390772,
09-Apr-2026,0.154567,0.460871,0.290771,0.125697,0.815425,0.40129,
10-Apr-2026,0.154299,0.463088,0.290721,0.126607,0.814133,0.399119,
13-Apr-2026,0.15433,0.466656,0.292822,0.129332,0.810105,0.4053,
14-Apr-2026,0.154333,0.472697,0.291879,0.131022,0.79306,0.414282,
15-Apr-2026,0.263471,0.119664,0.330887,0.139802,0.794802,0.371314,
16-Apr-2026,0.277134,0.0740239,0.304305,0.105722,-0.675899,0.120678,
17-Apr-2026,0.276723,0.0770847,0.301506,0.106928,-0.67976,0.120377,
20-Apr-2026,0.275022,0.0770164,0.303946,0.109153,-0.674585,0.126215,
21-Apr-2026,0.273735,0.0819116,0.305824,0.109575,-0.669766,0.125711,
22-Apr-2026,0.272246,0.0850899,0.30839,0.10847,-0.685161,0.127436,
23-Apr-2026,0.270748,0.0851947,0.31756,0.109246,-0.68545,0.127956,
24-Apr-2026,0.267115,0.0860529,0.319369,0.107057,-0.688969,0.128656,
