Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Mar-2025,09-Apr-2025,CE,22650.00,1083.00,1083.00,866.00,879.00,879.00,928.75,6.00,106.00,4.08,1800.00,-75.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,22450.00,1130.65,1228.15,1030.00,1091.70,1095.25,1091.70,5405.00,95785.67,4778.98,986550.00,-375.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,22500.00,1191.20,1198.95,968.40,1042.50,1046.60,1042.50,4938.00,87267.79,3939.04,1911975.00,39000.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23350.00,380.05,399.10,193.50,242.85,241.40,242.85,63424.00,1123019.70,12306.90,216300.00,110175.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24450.00,12.85,13.90,3.40,3.80,3.65,3.80,234304.00,4297560.34,1010.74,1060875.00,687450.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,22550.00,1137.85,1150.25,920.70,1001.85,988.10,1001.85,4821.00,85420.49,3885.33,1128750.00,4275.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23400.00,350.05,358.15,161.95,206.90,204.55,206.90,383253.00,6791338.46,65248.31,1315650.00,286425.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24500.00,11.10,11.95,3.15,3.55,3.40,3.55,762044.00,14005355.58,2797.08,9273300.00,2008275.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24550.00,10.00,10.00,2.85,3.25,3.15,3.25,208331.00,3836556.23,661.69,975225.00,494700.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23450.00,311.65,320.55,133.50,171.25,170.60,171.25,404954.00,7178634.78,56506.31,893850.00,360600.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23500.00,274.95,286.15,108.50,140.80,139.70,140.80,1898464.00,33696334.26,235906.26,4329825.00,2108325.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24600.00,7.75,8.50,2.55,2.90,2.95,2.90,466145.00,8601706.72,1331.47,3981225.00,455625.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23550.00,244.00,251.95,86.85,114.60,112.65,114.60,1533965.00,27261271.34,167614.53,2751075.00,1628775.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24650.00,7.00,7.30,2.35,2.80,2.75,2.80,164174.00,3035592.93,426.11,823125.00,398400.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24700.00,6.80,6.80,2.10,2.55,2.55,2.55,386027.00,7152059.10,908.92,2836425.00,744900.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23600.00,209.60,218.95,68.50,90.80,88.75,90.80,3178453.00,56561549.92,302931.82,6277125.00,3076725.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24750.00,6.20,7.00,2.00,2.50,2.40,2.50,138669.00,2574342.73,299.42,757500.00,392925.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24800.00,4.95,5.00,1.85,2.45,2.50,2.45,394699.00,7342154.67,753.27,3148200.00,652650.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24850.00,3.00,4.25,1.75,2.30,2.25,2.30,99855.00,1861226.90,179.34,481950.00,105150.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24900.00,3.70,3.85,1.65,2.20,2.15,2.20,315534.00,5893111.40,513.95,2221575.00,49125.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,22600.00,1071.40,1085.85,871.10,944.20,937.85,944.20,730.00,12912.85,539.35,612750.00,-8250.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23650.00,184.20,190.00,53.75,70.90,70.00,70.90,1542013.00,27477338.61,125883.02,3320175.00,2196000.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23700.00,154.70,162.40,42.10,55.00,53.55,55.00,2077504.00,37062889.83,135256.23,5082150.00,1998300.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,24950.00,3.30,3.30,1.60,2.15,2.15,2.15,120660.00,2258044.25,194.00,561450.00,150225.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25000.00,2.40,2.95,1.50,2.15,2.05,2.15,642419.00,12046314.27,958.02,8280300.00,1966350.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25050.00,2.75,2.80,1.45,2.10,2.15,2.10,90118.00,1693222.59,130.66,634425.00,226650.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25100.00,2.05,2.55,1.35,2.15,2.00,2.15,195314.00,3677065.08,279.03,1859700.00,819150.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25150.00,2.35,2.35,1.35,2.10,1.95,2.10,94114.00,1775352.03,126.70,702600.00,525825.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,22650.00,936.85,1042.00,830.75,890.00,886.20,890.00,4605.00,81577.61,3350.17,353475.00,-2475.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,23750.00,133.15,139.55,32.85,42.50,41.70,42.50,991067.00,17705786.27,52405.33,2125500.00,1212375.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25200.00,1.75,2.35,1.20,2.05,1.90,2.05,225250.00,4257521.80,296.80,2064375.00,505200.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25250.00,2.05,2.30,1.25,2.05,2.00,2.05,75219.00,1424554.37,94.56,469425.00,279225.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25300.00,1.70,2.20,1.10,2.00,1.95,2.00,171839.00,3260852.61,207.59,2721975.00,1324950.00,-
NIFTY,28-Mar-2025,03-Apr-2025,CE,25350.00,2.00,2.20,1.15,1.95,1.80,1.95,110245.00,2096163.13,130.07,1202400.00,1141875.00,-
