date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var
January 15th, 2025,0.598058,0.274155,0.618162,0.398036,0.0509638,3.245e-07,0.000133977,1.30838e-08-0.21731,0.140748,
January 16th, 2025,1.27817,0.27336,0.524918,0.43598,0.0479919,4.44689e-08,2.48564e-05,8.16238e-10-0.0375192,0.085457,
January 17th, 2025,0.914686,0.125287,0.407675,0.0567123,0.0556879,3.80191e-08,2.64538e-05,8.66534e-10-0.0653362,0.102816,
January 20th, 2025,1.04142,0.0433119,0.283114,0.0574817,0.0515729,1.18683e-08,7.38319e-06,5.1318e-11-0.1734,0.0675777,
January 21st, 2025,0.488007,0.026641,0.0491771,0.000195403,0.0626723,2.21889e-08,2.893e-06,1.69852e-11-0.256623,0.0682292,
January 22nd, 2025,1.39378,0.63443,0.0441715,0.000726423,0.0584946,1.68478e-08,3.25454e-06,2.78139e-12-0.210215,0.121704,
January 23rd, 2025,0.487777,0.0935325,0.0427327,0.000615929,0.0575524,1.79927e-08,5.16424e-06,3.12274e-11-0.139406,0.102033,
January 24th, 2025,1.41518,0.468616,0.0234858,0.000528792,0.0577228,1.44946e-08,6.24033e-07,5.44548e-14-0.363108,0.0403914,
January 27th, 2025,0.378126,0.0794259,0.750634,0.35193,0.057464,5.74742e-09,2.15214e-05,9.36481e-12-0.253033,0.0254233,
January 28th, 2025,0.758558,0.0202841,0.00261333,1.27955e-06,0.0545827,3.94531e-08,1.56951e-07,3.5184e-14-0.311385,0.108733,
January 29th, 2025,0.93927,0.116343,0.0162871,0.000157467,0.051844,3.67329e-08,9.2624e-07,2.34249e-120.110853,0.240064,
January 30th, 2025,1.22142,0.00776216,0.000637969,1.18039e-07,0.0514781,2.59139e-09,5.10137e-08,8.93231e-15-0.469587,0.0111404,
January 31st, 2025,0.0686239,0.000928465,0.452886,0.0690572,0.0499254,4.11785e-10,5.9609e-06,6.54202e-12-0.550507,0.0160263,
February 1st, 2025,1.63025,0.227574,0.00431439,1.7737e-06,0.0477796,8.45307e-09,8.28803e-08,7.5934e-15-0.42643,0.0671364,
February 3rd, 2025,1.19236,0.345126,0.0145343,1.34589e-05,0.0484972,2.37971e-09,4.54482e-07,1.91413e-13-0.453751,0.0547933,
February 4th, 2025,0.388653,0.0180399,0.0219626,0.000147359,0.0553914,5.13789e-08,5.68949e-07,1.78741e-13-0.533337,0.0659147,
February 5th, 2025,0.895752,0.648983,0.00406932,2.46256e-06,0.0538051,9.38201e-09,3.45745e-07,1.59805e-130.320404,0.105286,
February 6th, 2025,0.969662,0.157602,0.163653,0.0475506,0.0517942,5.23461e-08,7.98881e-06,2.18436e-12-0.011462,0.0745064,
February 7th, 2025,0.00306296,2.03845e-06,0.10234,0.0225889,0.0515501,3.29419e-09,7.65982e-07,6.82699e-15-0.355967,0.0620867,
February 10th, 2025,0.962327,0.211262,0.000995322,1.03399e-06,0.0508578,7.64042e-09,8.33815e-08,1.31668e-14-0.283866,0.10799,
February 11th, 2025,0.0464968,0.0191601,0.000307984,1.65502e-08,0.051283,1.85111e-08,1.38338e-08,1.38705e-16-0.33776,0.0742492,
February 12th, 2025,0.164682,0.000910055,7.78592e-05,5.79106e-09,0.0514819,4.38986e-09,2.16159e-09,7.76829e-20-0.387382,0.0725979,
February 13th, 2025,1.1802,0.284262,0.000889793,4.57503e-07,0.0498738,2.73871e-09,3.1783e-08,6.17334e-170.145235,0.0501495,
February 14th, 2025,0.118779,0.0155211,0.00238818,2.20918e-06,0.0483636,1.23976e-08,1.76005e-08,6.96743e-180.0864806,0.0192061,
February 17th, 2025,0.296974,0.00790262,0.00424662,3.02434e-06,0.0472224,4.02153e-09,9.92269e-08,3.23018e-15-0.256267,0.0357227,
February 18th, 2025,1.13925,0.175273,0.0140311,9.91759e-05,0.0458789,2.48975e-08,4.07684e-07,2.57455e-150.297587,0.0350026,
February 19th, 2025,0.066501,0.00964979,0.000436544,7.70867e-07,0.0446057,2.56435e-08,4.21876e-09,3.73006e-18-0.087717,0.0297521,
February 20th, 2025,0.300821,0.180668,0.000256521,4.80494e-08,0.0435242,3.97366e-09,3.1987e-09,4.16347e-19-0.331635,0.0243018,
February 21st, 2025,0.0451579,2.55504e-05,0.00191762,4.77172e-06,0.0425017,1.19049e-09,1.20971e-08,8.63897e-18-0.0941055,0.0980011,
February 24th, 2025,0.286287,0.00855959,0.00618502,2.83596e-05,0.0422171,3.02453e-09,4.31668e-08,7.81273e-17-0.235931,0.0102014,
February 25th, 2025,0.0373806,0.00065131,0.312786,0.442664,0.0415752,1.40297e-07,2.13488e-06,1.46093e-130.20602,0.0281521,
February 27th, 2025,0.434393,0.061647,1.47873,2.47517,0.0640587,0.00414384,0.655894,0.005335530.347187,0.0199639,
February 28th, 2025,0.364367,0.0452288,1.9902,7.67215,0.109132,0.0154822,2.64741,0.08849080.195878,0.0216215,
March 3rd, 2025,0.401576,0.0331239,0.0813071,0.00729457,0.0422017,2.84392e-08,2.24652e-06,8.56457e-140.0940541,0.0404721,
March 4th, 2025,0.0843616,0.0168757,0.18159,0.0760794,0.0415123,4.61482e-08,2.80783e-06,7.75317e-140.320672,0.0178235,
March 5th, 2025,0.801693,0.134383,3.75367e-05,7.89527e-09,0.0415178,6.30222e-09,9.88861e-10,1.0848e-190.0824222,0.0634003,
