date,kappa,theta,vol-of-vol,rho,v0
January 1st, 2025,2.728,0.0463511,0.242787,-0.442175,0.0286561
January 2nd, 2025,2.728,0.0463511,0.242787,-0.442175,0.0261594
January 3rd, 2025,2.728,0.0463511,0.242787,-0.442175,0.0293695
January 1st, 2025,3.42755,0.0162755,0.398753,-0.547747,0.0458276
January 2nd, 2025,3.42755,0.0162755,0.398753,-0.547747,0.0487107
January 3rd, 2025,3.42755,0.0162755,0.398753,-0.547747,0.0220736
January 1st, 2025,3.50244,0.0250272,0.306557,-0.39456,0.0521431
January 2nd, 2025,3.50244,0.0250272,0.306557,-0.39456,0.032383
January 3rd, 2025,3.50244,0.0250272,0.306557,-0.39456,0.0404214
January 1st, 2025,1.96017,0.020444,0.34227,-0.370974,0.0563998
January 2nd, 2025,1.96017,0.020444,0.34227,-0.370974,0.0430504
January 3rd, 2025,1.96017,0.020444,0.34227,-0.370974,0.0293164
January 1st, 2025,2.4635,0.0172815,0.277763,-0.306333,0.0338076
January 2nd, 2025,2.4635,0.0172815,0.277763,-0.306333,0.037133
January 3rd, 2025,2.4635,0.0172815,0.277763,-0.306333,0.027867
January 1st, 2025,3.13505,0.0410063,0.270771,-0.419853,0.0383315
January 2nd, 2025,3.13505,0.0410063,0.270771,-0.419853,0.0566453
January 3rd, 2025,3.13505,0.0410063,0.270771,-0.419853,0.0432594
January 1st, 2025,3.78405,0.0465563,0.35762,-0.58616,0.0634649
January 2nd, 2025,3.78405,0.0465563,0.35762,-0.58616,0.0324854
January 3rd, 2025,3.78405,0.0465563,0.35762,-0.58616,0.0400956
January 1st, 2025,3.2772,0.0277964,0.28274,-0.339541,0.0566699
January 2nd, 2025,3.2772,0.0277964,0.28274,-0.339541,0.0247555
January 3rd, 2025,3.2772,0.0277964,0.28274,-0.339541,0.0391188
January 1st, 2025,3.37098,0.0249792,0.305422,-0.275364,0.042267
January 2nd, 2025,3.37098,0.0249792,0.305422,-0.275364,0.0279156
January 3rd, 2025,3.37098,0.0249792,0.305422,-0.275364,0.0343102
January 1st, 2025,1.46067,0.0392806,0.262772,-0.352875,0.031445
January 2nd, 2025,1.46067,0.0392806,0.262772,-0.352875,0.0353149
January 3rd, 2025,1.46067,0.0392806,0.262772,-0.352875,0.0569344
January 1st, 2025,1.51093,0.0437151,0.609774,-0.314535,0.0512458
January 2nd, 2025,1.51093,0.0437151,0.609774,-0.314535,0.0331263
January 3rd, 2025,1.51093,0.0437151,0.609774,-0.314535,0.0536904
January 1st, 2025,2.51629,0.0284243,0.444853,-0.567996,0.046317
January 2nd, 2025,2.51629,0.0284243,0.444853,-0.567996,0.0568563
January 3rd, 2025,2.51629,0.0284243,0.444853,-0.567996,0.0332753
January 1st, 2025,2.27157,0.0481708,0.498228,-0.28346,0.0495812
January 2nd, 2025,2.27157,0.0481708,0.498228,-0.28346,0.0446205
January 3rd, 2025,2.27157,0.0481708,0.498228,-0.28346,0.0332248
January 1st, 2025,2.57501,0.0430805,0.582152,-0.21399,0.0256605
January 2nd, 2025,2.57501,0.0430805,0.582152,-0.21399,0.0455946
January 3rd, 2025,2.57501,0.0430805,0.582152,-0.21399,0.0358944
January 1st, 2025,1.29117,0.0350912,0.602394,-0.248957,0.0513925
January 2nd, 2025,1.29117,0.0350912,0.602394,-0.248957,0.0396681
January 3rd, 2025,1.29117,0.0350912,0.602394,-0.248957,0.044915
January 1st, 2025,2.86209,0.0337432,0.385977,-0.329487,0.0520333
January 2nd, 2025,2.86209,0.0337432,0.385977,-0.329487,0.0518735
January 3rd, 2025,2.86209,0.0337432,0.385977,-0.329487,0.0493651
January 1st, 2025,2.73544,0.0322836,0.294441,-0.62491,0.0241612
January 2nd, 2025,2.73544,0.0322836,0.294441,-0.62491,0.0381377
January 3rd, 2025,2.73544,0.0322836,0.294441,-0.62491,0.0250626
January 1st, 2025,3.34029,0.0273548,0.80853,-0.347007,0.0316592
January 2nd, 2025,3.34029,0.0273548,0.80853,-0.347007,0.0293984
January 3rd, 2025,3.34029,0.0273548,0.80853,-0.347007,0.0582574
January 1st, 2025,1.86325,0.0284458,0.28275,-0.284145,0.0495297
January 2nd, 2025,1.86325,0.0284458,0.28275,-0.284145,0.0330913
January 3rd, 2025,1.86325,0.0284458,0.28275,-0.284145,0.0340734
January 1st, 2025,2.01156,0.0182615,0.581347,-0.36048,0.043367
January 2nd, 2025,2.01156,0.0182615,0.581347,-0.36048,0.0633607
January 3rd, 2025,2.01156,0.0182615,0.581347,-0.36048,0.0445768
