date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1210,0.0794521,37.45,39.9157,2.46572
01-Jan-2025,1200,0.0794521,44.4,46.3004,1.90039
01-Jan-2025,1390,0.0794521,0.85,0.312559,0.537441
01-Jan-2025,1380,0.0794521,1.05,0.459755,0.590245
01-Jan-2025,1190,0.0794521,51.55,53.1784,1.62843
01-Jan-2025,1370,0.0794521,1.1,0.66751,0.43249
01-Jan-2025,1360,0.0794521,1.3,0.956243,0.343757
01-Jan-2025,1180,0.0794521,59.3,60.5143,1.21426
01-Jan-2025,1170,0.0794521,67.55,68.2672,0.717176
01-Jan-2025,1350,0.0794521,1.65,1.35121,0.298789
01-Jan-2025,1160,0.0794521,76.55,76.3934,0.15657
01-Jan-2025,1150,0.0794521,84.95,84.8481,0.10191
01-Jan-2025,1340,0.0794521,1.9,1.88283,0.017165
01-Jan-2025,1330,0.0794521,2.4,2.58674,0.186741
01-Jan-2025,1140,0.0794521,92,93.5868,1.58676
01-Jan-2025,1130,0.0794521,162.5,102.567,59.933
01-Jan-2025,1320,0.0794521,3.1,3.50343,0.403426
01-Jan-2025,1120,0.0794521,237.15,111.749,125.401
01-Jan-2025,1110,0.0794521,120.15,121.098,0.948229
01-Jan-2025,1310,0.0794521,4,4.67748,0.677479
01-Jan-2025,1300,0.0794521,5.25,6.15633,0.906327
01-Jan-2025,1100,0.0794521,131.5,130.582,0.917959
01-Jan-2025,1520,0.0794521,0.3,0.000780298,0.29922
01-Jan-2025,1500,0.0794521,0.3,0.0021605,0.29784
01-Jan-2025,1480,0.0794521,0.45,0.0058095,0.444191
01-Jan-2025,1290,0.0794521,6.5,7.98855,1.48855
01-Jan-2025,1280,0.0794521,8.3,10.2218,1.92184
01-Jan-2025,1260,0.232877,53.95,46.892,7.05804
01-Jan-2025,1140,0.232877,121.3,122.142,0.841598
01-Jan-2025,1120,0.232877,135.8,138.063,2.26313
01-Jan-2025,1360,0.232877,23.2,14.8517,8.34831
01-Jan-2025,1240,0.232877,62.75,56.6613,6.08871
01-Jan-2025,1220,0.232877,72.5,67.6036,4.8964
01-Jan-2025,1100,0.232877,151.15,154.7,3.55015
01-Jan-2025,1340,0.232877,23,19.2195,3.78052
01-Jan-2025,1080,0.232877,167.25,171.949,4.69892
01-Jan-2025,1320,0.232877,33.05,24.5253,8.52472
01-Jan-2025,1200,0.232877,76,79.6878,3.6878
01-Jan-2025,1440,0.232877,7.6,4.6201,2.9799
01-Jan-2025,1300,0.232877,31,30.8609,0.139106
01-Jan-2025,1040,0.232877,201.4,207.893,6.49311
01-Jan-2025,1180,0.232877,94.95,92.8585,2.09153
01-Jan-2025,1000,0.232877,237.65,245.206,7.55604
01-Jan-2025,1400,0.232877,10.8,8.50726,2.29274
01-Jan-2025,1280,0.232877,46.15,38.2997,7.85027
01-Jan-2025,1160,0.232877,107.6,107.04,0.560039
01-Jan-2025,1520,0.156164,1.65,0.124839,1.52516
01-Jan-2025,1320,0.156164,13.1,12.3557,0.744322
01-Jan-2025,1180,0.156164,117,76.3627,40.6373
01-Jan-2025,1310,0.156164,24.25,14.6254,9.62458
01-Jan-2025,1170,0.156164,87.65,83.6123,4.03766
01-Jan-2025,1480,0.156164,2.45,0.36756,2.08244
01-Jan-2025,1300,0.156164,17.6,17.203,0.396959
01-Jan-2025,1160,0.156164,95.8,91.1588,4.64116
01-Jan-2025,1440,0.156164,3,1.00991,1.99009
01-Jan-2025,1290,0.156164,30,20.1084,9.8916
01-Jan-2025,1150,0.156164,101.35,98.9813,2.36875
01-Jan-2025,1280,0.156164,23.35,23.359,0.00903403
01-Jan-2025,1140,0.156164,165.4,107.058,58.3421
01-Jan-2025,1420,0.156164,24.9,1.6248,23.2752
01-Jan-2025,1270,0.156164,25.6,26.9696,1.36965
01-Jan-2025,1130,0.156164,116.05,115.367,0.683022
01-Jan-2025,1400,0.156164,4.8,2.55763,2.24237
01-Jan-2025,1260,0.156164,29.55,30.9517,1.40175
01-Jan-2025,1120,0.156164,170,123.887,46.1134
01-Jan-2025,1250,0.156164,34.25,35.3133,1.06331
01-Jan-2025,1110,0.156164,131.75,132.596,0.845552
01-Jan-2025,1240,0.156164,38.5,40.0586,1.5586
01-Jan-2025,1100,0.156164,135,141.473,6.47329
01-Jan-2025,1380,0.156164,34.8,3.93412,30.8659
01-Jan-2025,1230,0.156164,45.5,45.1881,0.311916
01-Jan-2025,1090,0.156164,148.3,150.5,2.20035
01-Jan-2025,1360,0.156164,7.4,5.9072,1.4928
01-Jan-2025,1080,0.156164,216.25,159.658,56.5915
01-Jan-2025,1060,0.156164,234.25,178.302,55.9483
01-Jan-2025,1220,0.156164,49.5,50.6985,1.19846
01-Jan-2025,1210,0.156164,55.1,56.5828,1.48283
01-Jan-2025,1040,0.156164,252.6,197.285,55.315
01-Jan-2025,1020,0.156164,271.3,216.513,54.7867
01-Jan-2025,1340,0.156164,10,8.65198,1.34802
01-Jan-2025,1200,0.156164,60.85,62.8309,1.98094
01-Jan-2025,1330,0.156164,19.5,10.3722,9.12784
01-Jan-2025,1190,0.156164,67.5,69.4295,1.92951
01-Jan-2025,1060,0.0794521,292.85,169.384,123.466
01-Jan-2025,1020,0.0794521,331.15,208.843,122.307
01-Jan-2025,1000,0.0794521,230,228.657,1.34282
01-Jan-2025,1090,0.0794521,198.1,140.174,57.9264
01-Jan-2025,1080,0.0794521,274,149.85,124.15
01-Jan-2025,1270,0.0794521,10.45,12.9007,2.45073
01-Jan-2025,1460,0.0794521,0.5,0.0151142,0.484886
01-Jan-2025,1260,0.0794521,13.25,16.0643,2.81435
01-Jan-2025,1250,0.0794521,16.75,19.7443,2.99428
01-Jan-2025,1440,0.0794521,0.5,0.0378954,0.462105
01-Jan-2025,1430,0.0794521,0.65,0.0591046,0.590895
01-Jan-2025,1240,0.0794521,21.15,23.9629,2.81289
01-Jan-2025,1230,0.0794521,26.05,28.7321,2.68214
01-Jan-2025,1420,0.0794521,0.65,0.0911982,0.558802
01-Jan-2025,1410,0.0794521,0.7,0.139144,0.560856
01-Jan-2025,1220,0.0794521,31.5,34.053,2.55302
01-Jan-2025,1400,0.0794521,0.8,0.20982,0.59018
02-Jan-2025,1320,0.153425,16.65,16.641,0.00902993
02-Jan-2025,1180,0.153425,117,91.101,25.899
02-Jan-2025,1480,0.153425,2.4,0.53257,1.86743
02-Jan-2025,1310,0.153425,24.25,19.5337,4.71629
02-Jan-2025,1170,0.153425,87.65,98.9898,11.3398
02-Jan-2025,1300,0.153425,22.5,22.7796,0.279586
02-Jan-2025,1160,0.153425,95.8,107.131,11.3314
02-Jan-2025,1290,0.153425,25,26.3939,1.39392
02-Jan-2025,1440,0.153425,3.35,1.45551,1.89449
02-Jan-2025,1280,0.153425,28.95,30.3885,1.43854
02-Jan-2025,1420,0.153425,4.5,2.32757,2.17243
02-Jan-2025,1140,0.153425,165.4,124.082,41.3181
02-Jan-2025,1270,0.153425,30,34.7715,4.77151
02-Jan-2025,1400,0.153425,5.95,3.63345,2.31655
02-Jan-2025,1260,0.153425,37.25,39.5469,2.29686
02-Jan-2025,1120,0.153425,170,141.776,28.224
02-Jan-2025,1250,0.153425,42.15,44.7146,2.56458
02-Jan-2025,1240,0.153425,47.85,50.2706,2.42063
02-Jan-2025,1380,0.153425,34.8,5.53034,29.2697
02-Jan-2025,1230,0.153425,52.8,56.2072,3.40718
02-Jan-2025,1080,0.153425,216.25,178.768,37.4818
02-Jan-2025,1360,0.153425,9.25,8.20017,1.04983
02-Jan-2025,1220,0.153425,59.3,62.5129,3.21288
02-Jan-2025,1060,0.153425,234.25,197.809,36.4414
02-Jan-2025,1210,0.153425,66.2,69.1733,2.97327
02-Jan-2025,1040,0.153425,252.6,217.08,35.5199
02-Jan-2025,1020,0.153425,238.5,236.512,1.98833
02-Jan-2025,1340,0.153425,12.45,11.839,0.611032
02-Jan-2025,1200,0.153425,73.5,76.1712,2.67121
02-Jan-2025,1330,0.153425,19.5,14.083,5.41699
02-Jan-2025,1190,0.153425,67.9,83.4874,15.5874
02-Jan-2025,1060,0.0767123,292.85,189.548,103.302
02-Jan-2025,1020,0.0767123,331.15,229.165,101.985
02-Jan-2025,1090,0.0767123,198.1,160.014,38.0865
02-Jan-2025,1080,0.0767123,274,169.828,104.172
02-Jan-2025,1270,0.0767123,15.7,19.0257,3.32568
02-Jan-2025,1480,0.0767123,0.4,0.00986626,0.390134
02-Jan-2025,1460,0.0767123,0.55,0.0260443,0.523956
02-Jan-2025,1260,0.0767123,19.55,23.2538,3.70382
02-Jan-2025,1250,0.0767123,24.2,28.052,3.85202
02-Jan-2025,1440,0.0767123,0.6,0.0658932,0.534107
02-Jan-2025,1430,0.0767123,0.65,0.103008,0.546992
02-Jan-2025,1240,0.0767123,29.65,33.4204,3.77036
02-Jan-2025,1230,0.0767123,35.7,39.347,3.64698
02-Jan-2025,1420,0.0767123,0.75,0.159057,0.590943
02-Jan-2025,1410,0.0767123,0.95,0.242465,0.707535
02-Jan-2025,1220,0.0767123,42.4,45.8091,3.40909
02-Jan-2025,1260,0.230137,53.95,56.4464,2.49639
02-Jan-2025,1140,0.230137,121.3,138.408,17.1078
02-Jan-2025,1360,0.230137,23.2,18.8456,4.35437
02-Jan-2025,1240,0.230137,62.75,67.469,4.71897
02-Jan-2025,1220,0.230137,72.5,79.644,7.14399
02-Jan-2025,1340,0.230137,23,24.1488,1.14885
02-Jan-2025,1320,0.230137,33.05,30.4984,2.55164
02-Jan-2025,1400,0.0767123,1,0.364697,0.635303
02-Jan-2025,1210,0.0767123,49.9,52.7746,2.87459
02-Jan-2025,1200,0.0767123,57.6,60.2041,2.60411
02-Jan-2025,1390,0.0767123,1.2,0.540994,0.659006
02-Jan-2025,1380,0.0767123,1.4,0.791115,0.608885
02-Jan-2025,1190,0.0767123,65.95,68.0532,2.10323
02-Jan-2025,1370,0.0767123,1.55,1.14,0.409999
02-Jan-2025,1360,0.0767123,1.9,1.61826,0.281736
02-Jan-2025,1180,0.0767123,74.25,76.2747,2.02475
02-Jan-2025,1170,0.0767123,82.5,84.8208,2.32083
02-Jan-2025,1350,0.0767123,2.35,2.26238,0.0876246
02-Jan-2025,1160,0.0767123,91.55,93.6448,2.09481
02-Jan-2025,1150,0.0767123,100.75,102.703,1.95264
02-Jan-2025,1340,0.0767123,2.9,3.11442,0.214423
02-Jan-2025,1330,0.0767123,3.75,4.22136,0.471361
02-Jan-2025,1140,0.0767123,108.7,111.954,3.25394
02-Jan-2025,1130,0.0767123,162.5,121.363,41.1373
02-Jan-2025,1320,0.0767123,4.9,5.63369,0.733692
02-Jan-2025,1120,0.0767123,237.15,130.898,106.252
02-Jan-2025,1310,0.0767123,6.2,7.4036,1.2036
02-Jan-2025,1300,0.0767123,7.95,9.58262,1.63262
02-Jan-2025,1100,0.0767123,148.05,150.243,2.19319
02-Jan-2025,1520,0.0767123,0.3,0.00126919,0.298731
02-Jan-2025,1500,0.0767123,0.35,0.00359855,0.346401
02-Jan-2025,1290,0.0767123,10,12.2191,2.21906
02-Jan-2025,1280,0.0767123,12.5,15.3554,2.85537
02-Jan-2025,1200,0.230137,89.5,92.912,3.41197
02-Jan-2025,1440,0.230137,10.6,6.05331,4.54669
02-Jan-2025,1300,0.230137,37.35,37.9689,0.618944
02-Jan-2025,1180,0.230137,94.95,107.193,12.2432
02-Jan-2025,1400,0.230137,12.75,10.9879,1.7621
02-Jan-2025,1280,0.230137,46.15,46.6108,0.460835
02-Jan-2025,1160,0.230137,107.6,122.393,14.793
02-Jan-2025,1520,0.153425,2,0.180333,1.81967
03-Jan-2025,1310,0.0739726,7.15,10.318,3.168
03-Jan-2025,1120,0.0739726,237.15,139.932,97.218
03-Jan-2025,1300,0.0739726,9.25,12.9972,3.74716
03-Jan-2025,1520,0.0739726,0.35,0.00378947,0.346211
