date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var
January 15th, 2025,0.877425,0.354254,1.63526,3.79701,0.0765821,0.0217879,0.408082,0.192350.133063,0.534137,
January 16th, 2025,0.878543,0.34364,1.58602,6.27012,0.0568543,0.00373153,0.391598,0.1259730.239286,0.484993,
January 17th, 2025,1.04296,0.421805,1.79722,7.06217,0.0737255,0.00783357,0.392388,0.1587780.175785,0.522035,
January 20th, 2025,1.03708,0.404158,1.71866,3.62551,0.0652659,0.00522038,0.35037,0.09651160.114103,0.529281,
January 21st, 2025,0.897351,0.323599,1.71948,5.16461,0.070057,0.00678704,0.411416,0.1764920.250267,0.512715,
January 22nd, 2025,0.807593,0.265187,1.60162,3.22284,0.0647655,0.00510877,0.377545,0.1460360.274859,0.478542,
January 23rd, 2025,0.764253,0.218239,1.93019,18.4544,0.0740457,0.00885986,0.385681,0.1308660.263982,0.491103,
January 24th, 2025,0.64106,0.174382,1.63156,3.29536,0.0721443,0.0073722,0.34209,0.1136020.195192,0.490905,
January 27th, 2025,0.660389,0.179477,1.90089,14.0918,0.070771,0.00579149,0.354838,0.0980230.227178,0.502414,
January 28th, 2025,0.626503,0.14983,1.61164,2.8401,0.0599351,0.0042406,0.356944,0.1105850.264456,0.490111,
January 29th, 2025,0.608727,0.130335,1.71704,7.4795,0.0594677,0.00442003,0.406085,0.1045790.34724,0.469459,
January 30th, 2025,0.610737,0.152281,1.81912,8.44885,0.0608254,0.00505853,0.344442,0.08138730.310732,0.488182,
January 31st, 2025,0.69054,0.165249,1.69847,5.42716,0.0684258,0.00619283,0.352406,0.08358890.342208,0.47368,
February 1st, 2025,0.629863,0.133117,1.66058,3.51216,0.0573015,0.00388021,0.356301,0.07848920.432891,0.365339,
February 3rd, 2025,0.610667,0.134882,1.59036,3.31386,0.0619876,0.00640536,0.352575,0.09247240.329539,0.463624,
February 4th, 2025,0.628749,0.141889,1.54989,2.94825,0.0718269,0.00618879,0.293661,0.06259420.220478,0.485084,
February 5th, 2025,0.639793,0.147897,1.67398,5.02845,0.0659057,0.00470799,0.267129,0.05195250.114646,0.530283,
February 6th, 2025,0.643679,0.134232,1.54464,3.14802,0.0630816,0.00466945,0.260476,0.05686760.146327,0.497107,
February 7th, 2025,0.640025,0.145029,1.57446,3.82166,0.064976,0.00485319,0.251596,0.04072820.162506,0.518346,
February 10th, 2025,0.545097,0.0986299,1.49033,2.63151,0.0597493,0.00329253,0.258061,0.04960970.180961,0.507603,
February 11th, 2025,0.527506,0.105216,1.57337,4.31086,0.0651023,0.0040348,0.263881,0.04807780.126473,0.538933,
February 12th, 2025,0.463536,0.0849864,1.47642,2.39167,0.0630189,0.00498647,0.251622,0.040780.0788595,0.530815,
February 13th, 2025,0.474706,0.0855643,1.57914,3.75975,0.0693394,0.00638368,0.26674,0.04982640.173895,0.514169,
February 14th, 2025,0.439677,0.0710982,1.53948,3.43287,0.0606198,0.00392367,0.319941,0.08182910.311386,0.470019,
February 17th, 2025,0.473365,0.0760566,1.54729,2.87309,0.0600965,0.00386744,0.316348,0.06589240.355926,0.466999,
February 18th, 2025,0.459368,0.076109,1.69225,3.28539,0.0538419,0.00296741,0.354588,0.07357660.397694,0.423379,
February 19th, 2025,0.448149,0.0638553,1.50947,3.1601,0.0565109,0.003798,0.447593,0.1068260.532073,0.360613,
February 20th, 2025,0.459876,0.0567962,1.51989,2.33456,0.050389,0.00242225,0.497511,0.09486590.667654,0.236416,
