Date,Underlying Value
01-Jan-2025,1221.25
02-Jan-2025,1241.8
03-Jan-2025,1251.15
06-Jan-2025,1218.0
07-Jan-2025,1240.85
08-Jan-2025,1265.5
09-Jan-2025,1254.75
10-Jan-2025,1241.9
13-Jan-2025,1239.85
14-Jan-2025,1238.75
15-Jan-2025,1252.2
16-Jan-2025,1266.45
17-Jan-2025,1302.35
20-Jan-2025,1305.45
21-Jan-2025,1273.7
22-Jan-2025,1277.1
23-Jan-2025,1263.65
24-Jan-2025,1246.3
27-Jan-2025,1229.35
28-Jan-2025,1234.4
29-Jan-2025,1235.5
30-Jan-2025,1253.05
31-Jan-2025,1265.1
01-Feb-2025,1264.6
03-Feb-2025,1245.9
04-Feb-2025,1285.2
05-Feb-2025,1278.2
06-Feb-2025,1281.55
07-Feb-2025,1266.7
10-Feb-2025,1253.65
11-Feb-2025,1234.85
12-Feb-2025,1216.55
13-Feb-2025,1216.1
14-Feb-2025,1217.25
17-Feb-2025,1224.9
18-Feb-2025,1225.4
19-Feb-2025,1227.45
20-Feb-2025,1233.0
21-Feb-2025,1228.15
24-Feb-2025,1214.55
25-Feb-2025,1204.0
27-Feb-2025,1207.1
28-Feb-2025,1200.1
03-Mar-2025,1171.25
04-Mar-2025,1161.9
05-Mar-2025,1175.6
06-Mar-2025,1209.6
07-Mar-2025,1249.8
10-Mar-2025,1238.4
11-Mar-2025,1247.3
12-Mar-2025,1257.05
13-Mar-2025,1247.9
17-Mar-2025,1238.85
18-Mar-2025,1238.8
19-Mar-2025,1247.15
20-Mar-2025,1269.15
21-Mar-2025,1276.35
24-Mar-2025,1302.1
25-Mar-2025,1285.45
26-Mar-2025,1273.05
27-Mar-2025,1278.2
28-Mar-2025,1275.1
