date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1220,0.156164,49.5,54.6452,5.14522
01-Jan-2025,1210,0.156164,55.1,60.3501,5.25013
01-Jan-2025,1040,0.156164,252.6,197.821,54.7795
01-Jan-2025,1020,0.156164,271.3,216.885,54.4147
01-Jan-2025,1200,0.156164,60.85,66.3981,5.5481
01-Jan-2025,1330,0.156164,19.5,14.1776,5.32241
01-Jan-2025,1280,0.232877,46.15,39.968,6.18201
01-Jan-2025,1520,0.156164,1.65,0.552689,1.09731
01-Jan-2025,1160,0.156164,95.8,93.8093,1.99065
01-Jan-2025,1280,0.156164,23.35,27.7468,4.39676
01-Jan-2025,1400,0.156164,4.8,4.78278,0.0172196
01-Jan-2025,1260,0.156164,29.55,35.3312,5.78119
01-Jan-2025,1120,0.156164,170,125.631,44.3691
01-Jan-2025,1110,0.156164,131.75,134.138,2.3881
01-Jan-2025,1360,0.156164,7.4,9.07308,1.67308
01-Jan-2025,1080,0.156164,216.25,160.681,55.5694
01-Jan-2025,1060,0.156164,234.25,179.052,55.1981
01-Jan-2025,1340,0.156164,10,12.2598,2.25979
01-Jan-2025,1190,0.156164,67.5,72.7804,5.28038
01-Jan-2025,1060,0.0794521,292.85,169.813,123.037
01-Jan-2025,1020,0.0794521,331.15,208.975,122.175
01-Jan-2025,1000,0.0794521,230,228.725,1.27486
01-Jan-2025,1080,0.0794521,274,150.566,123.434
01-Jan-2025,1460,0.0794521,0.5,0.196574,0.303426
01-Jan-2025,1090,0.0794521,198.1,141.08,57.0202
01-Jan-2025,1270,0.0794521,10.45,18.0841,7.63413
01-Jan-2025,1250,0.0794521,16.75,25.2251,8.47508
01-Jan-2025,1260,0.0794521,13.25,21.4378,8.18778
01-Jan-2025,1430,0.0794521,0.65,0.461206,0.188794
01-Jan-2025,1240,0.0794521,21.15,29.4632,8.31324
01-Jan-2025,1230,0.0794521,26.05,34.1635,8.11348
01-Jan-2025,1440,0.0794521,0.5,0.348668,0.151332
01-Jan-2025,1420,0.0794521,0.65,0.607115,0.0428848
01-Jan-2025,1410,0.0794521,0.7,0.795136,0.0951364
01-Jan-2025,1220,0.0794521,31.5,39.3306,7.83056
