date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1220,0.156164,49.5,48.8446,0.655387
01-Jan-2025,1210,0.156164,55.1,54.894,0.205993
01-Jan-2025,1040,0.156164,252.6,197.303,55.297
01-Jan-2025,1020,0.156164,271.3,216.548,54.752
01-Jan-2025,1200,0.156164,60.85,61.3138,0.463784
01-Jan-2025,1330,0.156164,19.5,8.27935,11.2207
01-Jan-2025,1280,0.232877,46.15,32.4282,13.7218
01-Jan-2025,1520,0.156164,1.65,0.0444469,1.60555
01-Jan-2025,1160,0.156164,95.8,90.3062,5.49375
01-Jan-2025,1280,0.156164,23.35,20.9264,2.42356
01-Jan-2025,1400,0.156164,4.8,1.58552,3.21448
01-Jan-2025,1260,0.156164,29.55,28.605,0.94503
01-Jan-2025,1120,0.156164,170,123.526,46.4736
01-Jan-2025,1110,0.156164,131.75,132.323,0.572776
01-Jan-2025,1360,0.156164,7.4,4.28169,3.11831
01-Jan-2025,1080,0.156164,216.25,159.57,56.6803
01-Jan-2025,1060,0.156164,234.25,178.282,55.9682
01-Jan-2025,1340,0.156164,10,6.70256,3.29744
01-Jan-2025,1190,0.156164,67.5,68.0859,0.585852
01-Jan-2025,1060,0.0794521,292.85,169.508,123.342
01-Jan-2025,1020,0.0794521,331.15,208.887,122.263
01-Jan-2025,1000,0.0794521,230,228.681,1.31892
01-Jan-2025,1080,0.0794521,274,150.041,123.959
01-Jan-2025,1460,0.0794521,0.5,0.00966192,0.490338
01-Jan-2025,1090,0.0794521,198.1,140.404,57.6962
01-Jan-2025,1270,0.0794521,10.45,12.8234,2.37338
01-Jan-2025,1250,0.0794521,16.75,19.8155,3.06547
01-Jan-2025,1260,0.0794521,13.25,16.0565,2.80652
01-Jan-2025,1430,0.0794521,0.65,0.0416401,0.60836
01-Jan-2025,1240,0.0794521,21.15,24.118,2.96803
01-Jan-2025,1230,0.0794521,26.05,28.9711,2.92106
01-Jan-2025,1440,0.0794521,0.5,0.0258478,0.474152
01-Jan-2025,1420,0.0794521,0.65,0.066344,0.583656
01-Jan-2025,1410,0.0794521,0.7,0.104469,0.595531
01-Jan-2025,1220,0.0794521,31.5,34.3705,2.87048
01-Jan-2025,1400,0.0794521,0.8,0.162466,0.637534
01-Jan-2025,1210,0.0794521,37.45,40.3019,2.85191
01-Jan-2025,1200,0.0794521,44.4,46.7419,2.34191
01-Jan-2025,1390,0.0794521,0.85,0.249357,0.600643
01-Jan-2025,1380,0.0794521,1.05,0.377465,0.672535
01-Jan-2025,1190,0.0794521,51.55,53.6595,2.10952
01-Jan-2025,1370,0.0794521,1.1,0.563182,0.536818
01-Jan-2025,1360,0.0794521,1.3,0.827732,0.472268
01-Jan-2025,1180,0.0794521,59.3,61.0181,1.71813
01-Jan-2025,1170,0.0794521,67.55,68.7773,1.2273
01-Jan-2025,1350,0.0794521,1.65,1.19779,0.452213
01-Jan-2025,1150,0.0794521,84.95,85.3274,0.377437
01-Jan-2025,1160,0.0794521,76.55,76.8946,0.344645
01-Jan-2025,1340,0.0794521,1.9,1.70584,0.194164
01-Jan-2025,1330,0.0794521,2.4,2.39017,0.00983446
01-Jan-2025,1140,0.0794521,92,94.034,2.034
01-Jan-2025,1130,0.0794521,162.5,102.975,59.5252
01-Jan-2025,1320,0.0794521,3.1,3.29432,0.194324
01-Jan-2025,1120,0.0794521,237.15,112.113,125.037
01-Jan-2025,1110,0.0794521,120.15,121.417,1.26664
01-Jan-2025,1300,0.0794521,5.25,5.95549,0.705494
01-Jan-2025,1310,0.0794521,4,4.46603,0.466028
01-Jan-2025,1100,0.0794521,131.5,130.855,0.644723
01-Jan-2025,1500,0.0794521,0.3,0.0012177,0.298782
01-Jan-2025,1480,0.0794521,0.45,0.00348377,0.446516
01-Jan-2025,1520,0.0794521,0.3,0.00041447,0.299586
01-Jan-2025,1290,0.0794521,6.5,7.8133,1.3133
01-Jan-2025,1280,0.0794521,8.3,10.088,1.78796
01-Jan-2025,1260,0.232877,53.95,41.1861,12.7639
01-Jan-2025,1140,0.232877,121.3,119.503,1.79684
01-Jan-2025,1120,0.232877,135.8,135.948,0.148196
01-Jan-2025,1360,0.232877,23.2,10.0375,13.1625
01-Jan-2025,1240,0.232877,62.75,51.2806,11.4694
01-Jan-2025,1220,0.232877,72.5,62.6751,9.82486
01-Jan-2025,1100,0.232877,151.15,153.047,1.89697
01-Jan-2025,1340,0.232877,23,13.9139,9.08611
01-Jan-2025,1080,0.232877,167.25,170.689,3.43873
01-Jan-2025,1320,0.232877,33.05,18.8608,14.1892
01-Jan-2025,1200,0.232877,76,75.2991,0.700936
01-Jan-2025,1440,0.232877,7.6,2.2052,5.3948
01-Jan-2025,1300,0.232877,31,25.0024,5.99764
01-Jan-2025,1040,0.232877,201.4,207.215,5.81473
01-Jan-2025,1180,0.232877,94.95,89.0556,5.89437
01-Jan-2025,1000,0.232877,237.65,244.878,7.22795
01-Jan-2025,1400,0.232877,10.8,4.89475,5.90525
01-Jan-2025,1160,0.232877,107.6,103.831,3.7689
01-Jan-2025,1320,0.156164,13.1,10.1391,2.96094
01-Jan-2025,1180,0.156164,117,75.19,41.81
01-Jan-2025,1310,0.156164,24.25,12.3095,11.9405
01-Jan-2025,1170,0.156164,87.65,82.6044,5.04564
01-Jan-2025,1480,0.156164,2.45,0.157952,2.29205
01-Jan-2025,1300,0.156164,17.6,14.8162,2.78376
01-Jan-2025,1440,0.156164,3,0.523839,2.47616
01-Jan-2025,1290,0.156164,30,17.6822,12.3178
01-Jan-2025,1150,0.156164,101.35,98.2724,3.07761
01-Jan-2025,1140,0.156164,165.4,106.48,58.9204
01-Jan-2025,1420,0.156164,24.9,0.92317,23.9768
01-Jan-2025,1270,0.156164,25.6,24.5639,1.03607
01-Jan-2025,1130,0.156164,116.05,114.905,1.14508
01-Jan-2025,1250,0.156164,34.25,33.0551,1.1949
01-Jan-2025,1240,0.156164,38.5,37.9151,0.584943
01-Jan-2025,1100,0.156164,135,141.274,6.27428
01-Jan-2025,1380,0.156164,34.8,2.64633,32.1537
01-Jan-2025,1230,0.156164,45.5,43.181,2.31905
01-Jan-2025,1090,0.156164,148.3,150.362,2.0623
02-Jan-2025,1380,0.153425,34.8,6.06387,28.7361
02-Jan-2025,1230,0.153425,52.8,58.4683,5.66829
02-Jan-2025,1080,0.153425,216.25,179.642,36.6078
02-Jan-2025,1210,0.153425,66.2,71.4231,5.2231
02-Jan-2025,1040,0.153425,252.6,217.575,35.0248
02-Jan-2025,1020,0.153425,238.5,236.868,1.63166
02-Jan-2025,1200,0.153425,73.5,78.3811,4.88106
02-Jan-2025,1330,0.153425,19.5,15.2566,4.24345
02-Jan-2025,1320,0.153425,16.65,17.9642,1.31424
02-Jan-2025,1400,0.153425,5.95,3.99076,1.95924
02-Jan-2025,1260,0.153425,37.25,41.6477,4.39774
02-Jan-2025,1120,0.153425,170,143.141,26.8594
02-Jan-2025,1360,0.153425,9.25,8.9593,0.290704
02-Jan-2025,1220,0.153425,59.3,64.7802,5.48017
02-Jan-2025,1060,0.153425,234.25,198.476,35.7737
02-Jan-2025,1340,0.153425,12.45,12.8667,0.416728
02-Jan-2025,1190,0.153425,67.9,85.6365,17.7365
02-Jan-2025,1060,0.0767123,292.85,189.791,103.059
02-Jan-2025,1020,0.0767123,331.15,229.238,101.912
02-Jan-2025,1090,0.0767123,198.1,160.542,37.5584
02-Jan-2025,1080,0.0767123,274,170.241,103.759
02-Jan-2025,1270,0.0767123,15.7,22.5823,6.88226
02-Jan-2025,1480,0.0767123,0.4,0.0303082,0.369692
02-Jan-2025,1460,0.0767123,0.55,0.0716347,0.478365
02-Jan-2025,1260,0.0767123,19.55,26.9483,7.39834
02-Jan-2025,1250,0.0767123,24.2,31.8176,7.61758
02-Jan-2025,1440,0.0767123,0.6,0.162476,0.437524
02-Jan-2025,1430,0.0767123,0.65,0.240651,0.409349
02-Jan-2025,1240,0.0767123,29.65,37.1874,7.5374
02-Jan-2025,1230,0.0767123,35.7,43.0473,7.34725
02-Jan-2025,1420,0.0767123,0.75,0.352289,0.397711
02-Jan-2025,1410,0.0767123,0.95,0.509499,0.440501
02-Jan-2025,1220,0.0767123,42.4,49.3794,6.97937
02-Jan-2025,1400,0.0767123,1,0.727707,0.272293
02-Jan-2025,1210,0.0767123,49.9,56.1598,6.25979
02-Jan-2025,1200,0.0767123,57.6,63.3595,5.75954
02-Jan-2025,1390,0.0767123,1.2,1.02611,0.173886
02-Jan-2025,1380,0.0767123,1.4,1.42804,0.0280423
02-Jan-2025,1190,0.0767123,65.95,70.9459,4.99592
02-Jan-2025,1370,0.0767123,1.55,1.96111,0.411105
02-Jan-2025,1360,0.0767123,1.9,2.65713,0.757131
02-Jan-2025,1180,0.0767123,74.25,78.8839,4.63388
02-Jan-2025,1170,0.0767123,82.5,87.1372,4.63722
02-Jan-2025,1350,0.0767123,2.35,3.55178,1.20178
02-Jan-2025,1160,0.0767123,91.55,95.6698,4.11978
02-Jan-2025,1150,0.0767123,100.75,104.446,3.69636
02-Jan-2025,1340,0.0767123,2.9,4.68385,1.78385
02-Jan-2025,1330,0.0767123,3.75,6.09419,2.34419
02-Jan-2025,1140,0.0767123,108.7,113.434,4.73356
02-Jan-2025,1130,0.0767123,162.5,122.6,39.8997
02-Jan-2025,1320,0.0767123,4.9,7.82444,2.92444
02-Jan-2025,1120,0.0767123,237.15,131.918,105.232
