date,hour,expiry,strike_price,close
2023-10-23,23,2023-10-27,210.0,16.6
2023-10-23,23,2023-10-27,190.0,23.2
2023-10-23,23,2023-10-27,180.0,48.0
2023-10-23,23,2023-10-27,230.0,4.4
2023-10-23,23,2023-10-27,215.0,13.6
2023-10-23,23,2023-10-27,225.0,4.1
2023-10-23,23,2023-10-27,195.0,21.4
2023-10-23,23,2023-10-27,200.0,21.0
2023-10-23,23,2023-10-27,220.0,7.7
2023-10-23,23,2023-10-27,205.0,24.6
2023-10-23,22,2023-10-27,205.0,24.6
2023-10-23,22,2023-10-27,225.0,3.0
2023-10-23,22,2023-10-27,220.0,9.0
2023-10-23,22,2023-10-27,230.0,1.9
2023-10-23,22,2023-10-27,200.0,21.0
2023-10-23,22,2023-10-27,195.0,21.4
2023-10-23,22,2023-10-27,215.0,10.0
2023-10-23,22,2023-10-27,210.0,16.6
2023-10-23,22,2023-10-27,190.0,23.2
2023-10-23,22,2023-10-27,180.0,48.0
2023-10-23,21,2023-10-27,230.0,1.2
2023-10-23,21,2023-10-27,215.0,6.7
2023-10-23,21,2023-10-27,220.0,4.6
2023-10-23,21,2023-10-27,195.0,21.4
2023-10-23,21,2023-10-27,200.0,21.0
2023-10-23,21,2023-10-27,205.0,16.5
2023-10-23,21,2023-10-27,190.0,23.2
2023-10-23,21,2023-10-27,225.0,2.3
2023-10-23,21,2023-10-27,180.0,48.0
2023-10-23,21,2023-10-27,210.0,6.4
2023-10-23,20,2023-10-27,220.0,4.1
2023-10-23,20,2023-10-27,195.0,21.4
2023-10-23,20,2023-10-27,225.0,2.3
2023-10-23,20,2023-10-27,190.0,23.2
2023-10-23,20,2023-10-27,180.0,48.0
2023-10-23,20,2023-10-27,205.0,16.5
2023-10-23,20,2023-10-27,215.0,6.7
2023-10-23,20,2023-10-27,200.0,21.0
2023-10-23,20,2023-10-27,210.0,6.4
2023-10-23,20,2023-10-27,230.0,0.9
2023-10-23,19,2023-10-27,180.0,48.0
2023-10-23,19,2023-10-27,220.0,1.9
2023-10-23,19,2023-10-27,215.0,6.7
2023-10-23,19,2023-10-27,200.0,21.0
2023-10-23,19,2023-10-27,195.0,21.4
2023-10-23,19,2023-10-27,190.0,23.2
2023-10-23,19,2023-10-27,230.0,0.9
2023-10-23,19,2023-10-27,205.0,16.5
2023-10-23,19,2023-10-27,210.0,6.4
2023-10-23,19,2023-10-27,225.0,2.3
2023-10-23,18,2023-10-27,225.0,2.0
2023-10-23,18,2023-10-27,190.0,23.2
2023-10-23,18,2023-10-27,230.0,0.9
2023-10-23,18,2023-10-27,200.0,21.0
2023-10-23,18,2023-10-27,205.0,11.9
2023-10-23,18,2023-10-27,180.0,40.3
2023-10-23,18,2023-10-27,195.0,21.4
