date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var,vproxy
October 23rd, 2023,0.207987,0.197063,0.563137,0.64033,0.00620981,1.28715e-08,7.52812e-05,8.16074e-09,0.0416942,0.139819,0.00620733
October 23rd, 2023,0.168187,0.196392,0.365311,0.0707371,0.00573353,4.277e-09,2.7104e-05,3.27103e-10,0.0416939,0.0869556,0.00573801
October 23rd, 2023,0.0911976,0.130707,0.288344,0.244944,0.00531457,1.2673e-09,8.75701e-06,9.65823e-11,0.0999626,0.105622,0.00531522
October 23rd, 2023,0.448467,0.123827,1.84862,0.217813,0.00548055,8.03311e-11,2.75123e-05,2.18457e-09,0.16084,0.0422365,0.00547998
October 23rd, 2023,-0.146735,0.0931783,0.203364,0.0132273,0.00515382,9.34214e-10,2.54493e-06,1.47044e-11,0.0307557,0.113874,0.00516027
October 23rd, 2023,0.534172,0.176223,0.135829,0.00211699,0.0051619,3.13612e-10,6.12059e-06,2.03482e-11,0.254765,0.076916,0.00516027
October 23rd, 2023,0.234115,0.0889647,0.131945,0.00282309,0.00532239,2.89653e-11,1.3414e-06,6.35806e-13,0.0366115,0.181173,0.00532282
October 23rd, 2023,-0.889936,0.0333829,0.0270471,0.000287265,0.00510426,1.33492e-10,1.06509e-07,6.7567e-15,-0.0752477,0.0492431,0.00510464
October 23rd, 2023,0.175522,0.0207465,0.086684,0.00785482,0.00487948,1.1679e-10,3.06879e-06,3.66206e-11,-0.00747698,0.0695655,0.00487785
October 23rd, 2023,-0.110461,0.003515,0.92848,0.0142539,0.00479528,1.01295e-10,1.19355e-05,7.91844e-10,0.699588,0.00405192,0.00479801
October 23rd, 2023,-0.583707,0.0948565,0.883055,1.19055,0.00464763,3.07655e-11,2.68227e-05,6.43402e-09,-0.0238442,0.0415927,0.00464915
October 23rd, 2023,0.253065,0.0185249,0.178833,0.0111377,0.00536475,4.131e-11,5.22211e-07,3.75812e-13,0.435401,0.0153535,0.00536416
October 23rd, 2023,1.62048,0.104064,0.041767,2.16041e-05,0.0118167,1.48572e-10,3.17797e-07,5.80509e-13,0.607828,0.0259442,0.0118176
October 23rd, 2023,0.795945,0.33457,0.0159998,0.000209668,0.0120551,2.81103e-10,9.13532e-07,3.88382e-12,0.562589,0.0397938,0.0120578
