date,hour,mu_mean,kappa_mean,theta_mean,vol-of-vol_mean,rho_mean,vproxy,return,one_step_nll
2023-10-23,10,0.207987,0.563137,0.00620981,7.52812e-05,0.0416942,0.00620733,1.000455789,20372.23563
2023-10-23,11,0.168187,0.365311,0.00573353,2.7104e-05,0.0416939,0.00573801,1.002733485,21885.74204
2023-10-23,12,0.0911976,0.288344,0.00531457,8.75701e-06,0.0999626,0.00531522,0.9990913221,23447.90418
2023-10-23,13,0.448467,1.84862,0.00548055,2.75123e-05,0.16084,0.00547998,0.9949977262,23012.09019
2023-10-23,14,-0.146735,0.203364,0.00515382,2.54493e-06,0.0307557,0.00516027,1.002285192,24441.79194
2023-10-23,15,0.534172,0.135829,0.0051619,6.12059e-06,0.254765,0.00516027,1,24689.17214
2023-10-23,16,0.234115,0.131945,0.00532239,1.3414e-06,0.0366115,0.00532282,1.007751938,23538.20279
2023-10-23,17,-0.889936,0.0270471,0.00510426,1.06509e-07,-0.0752477,0.00510464,0.9981900452,24989.01775
2023-10-23,18,0.175522,0.086684,0.00487948,3.06879e-06,-0.00747698,0.00487785,1.002719855,26024.99536
2023-10-23,19,-0.110461,0.92848,0.00479528,1.19355e-05,0.699588,0.00479801,1.004520796,26185.3934
2023-10-23,20,-0.583707,0.883055,0.00464763,2.68227e-05,-0.0238442,0.00464915,0.99819982,27764.94724
2023-10-23,21,0.253065,0.178833,0.00536475,5.22211e-07,0.435401,0.00536416,1.009918846,24690.56424
2023-10-23,22,1.62048,0.041767,0.0118167,3.17797e-07,0.607828,0.0118176,1.026339286,10393.18377
2023-10-23,23,0.795945,0.0159998,0.0120551,9.13532e-07,0.562589,0.0120578,0.9939103958,
