date,kappa,theta,vol-of-vol,rho,v0
October 23rd, 2023,2.40132,0.0450244,0.303184,-0.499478,0.148099
October 23rd, 2023,2.40132,0.0450244,0.303184,-0.499478,0.289972
October 23rd, 2023,2.40132,0.0450244,0.303184,-0.499478,0.241119
October 23rd, 2023,3.19041,0.0328598,0.274073,-0.816915,0.132333
October 23rd, 2023,3.19041,0.0328598,0.274073,-0.816915,0.208889
October 23rd, 2023,3.19041,0.0328598,0.274073,-0.816915,0.204313
October 23rd, 2023,2.98141,0.0343293,0.270318,-0.817237,0.11911
October 23rd, 2023,2.98141,0.0343293,0.270318,-0.817237,0.141892
October 23rd, 2023,2.98141,0.0343293,0.270318,-0.817237,0.173127
October 23rd, 2023,1.43051,0.0280694,0.643235,-0.908715,0.216714
October 23rd, 2023,1.43051,0.0280694,0.643235,-0.908715,0.204842
October 23rd, 2023,1.43051,0.0280694,0.643235,-0.908715,0.118465
October 23rd, 2023,1.4131,0.0224012,0.277061,-0.291379,0.196548
October 23rd, 2023,1.4131,0.0224012,0.277061,-0.291379,0.205049
October 23rd, 2023,1.4131,0.0224012,0.277061,-0.291379,0.0945273
October 23rd, 2023,3.75644,0.0298587,0.544318,-0.644373,0.128353
October 23rd, 2023,3.75644,0.0298587,0.544318,-0.644373,0.14056
October 23rd, 2023,3.75644,0.0298587,0.544318,-0.644373,0.128497
October 23rd, 2023,1.79677,0.0200913,0.477503,-0.40514,0.128743
October 23rd, 2023,1.79677,0.0200913,0.477503,-0.40514,0.186267
October 23rd, 2023,1.79677,0.0200913,0.477503,-0.40514,0.102327
October 23rd, 2023,3.37549,0.0176062,0.325442,-0.41952,0.0960717
October 23rd, 2023,3.37549,0.0176062,0.325442,-0.41952,0.115132
October 23rd, 2023,3.37549,0.0176062,0.325442,-0.41952,0.13055
