date,strike,maturity,true_price,computed_price,abs_error
2023-10-23,23,210,0.00924658,16.6,9.99192,6.60808
2023-10-23,23,180,0.00924658,48,38.3006,9.69938
2023-10-23,23,230,0.00924658,4.4,1.12295,3.27705
2023-10-23,23,215,0.00924658,13.6,6.59128,7.00872
2023-10-23,23,225,0.00924658,4.1,2.21726,1.88274
2023-10-23,23,200,0.00924658,21,18.6067,2.3933
2023-10-23,23,220,0.00924658,7.7,3.99874,3.70126
2023-10-23,23,205,0.00924658,24.6,14.0664,10.5336
2023-10-23,22,205,0.00936073,24.6,14.5532,10.0468
2023-10-23,22,225,0.00936073,3,2.16484,0.835164
2023-10-23,22,220,0.00936073,9,4.02373,4.97627
2023-10-23,22,230,0.00936073,1.9,1.05032,0.849684
2023-10-23,22,200,0.00936073,21,19.2052,1.79478
2023-10-23,22,215,0.00936073,10,6.75333,3.24667
2023-10-23,22,210,0.00936073,16.6,10.3226,6.27739
2023-10-23,22,180,0.00936073,48,38.9993,9.00073
2023-10-23,21,230,0.00947489,1.2,0.981171,0.218829
2023-10-23,21,215,0.00947489,6.7,7.22924,0.529241
2023-10-23,21,220,0.00947489,4.6,4.21277,0.38723
2023-10-23,21,200,0.00947489,21,20.4006,0.599385
2023-10-23,21,205,0.00947489,16.5,15.595,0.905038
2023-10-23,21,225,0.00947489,2.3,2.16777,0.13223
2023-10-23,21,180,0.00947489,48,40.2977,7.70233
2023-10-23,20,220,0.00958904,4.1,4.68783,0.587833
2023-10-23,20,225,0.00958904,2.3,2.19404,0.105962
2023-10-23,20,180,0.00958904,48,42.3084,5.69164
2023-10-23,20,230,0.00958904,0.9,0.811693,0.0883066
2023-10-23,19,180,0.0097032,48,41.809,6.19097
2023-10-23,19,220,0.0097032,1.9,5.17635,3.27635
2023-10-23,19,230,0.0097032,0.9,1.3056,0.405604
2023-10-23,19,225,0.0097032,2.3,2.79253,0.492532
2023-10-23,18,225,0.00981735,2,2.36326,0.363263
2023-10-23,18,230,0.00981735,0.9,0.968613,0.0686125
2023-10-23,17,215,0.00993151,6,7.2644,1.2644
2023-10-23,17,180,0.00993151,40.3,40.3107,0.0107173
2023-10-23,17,230,0.00993151,0.9,0.926496,0.0264965
2023-10-23,17,220,0.00993151,1.9,4.2126,2.3126
2023-10-23,17,225,0.00993151,1.6,2.13002,0.530024
2023-10-23,16,225,0.0100457,2,1.75584,0.244157
2023-10-23,16,180,0.0100457,40.3,39.6109,0.689118
2023-10-23,16,220,0.0100457,1.9,3.68365,1.78365
2023-10-23,16,215,0.0100457,6,6.62496,0.624956
2023-10-23,16,230,0.0100457,0.9,0.708456,0.191544
2023-10-23,15,215,0.0101598,6.4,6.86188,0.461878
2023-10-23,15,230,0.0101598,0.8,0.470674,0.329326
2023-10-23,15,225,0.0101598,1.6,1.46827,0.131728
2023-10-23,15,220,0.0101598,2,3.55711,1.55711
2023-10-23,14,225,0.010274,1.1,1.26561,0.165609
2023-10-23,14,200,0.010274,19.6,19.6127,0.012706
2023-10-23,14,215,0.010274,6,6.05718,0.057183
2023-10-23,14,220,0.010274,1.9,3.06234,1.16234
2023-10-23,14,230,0.010274,0.7,0.438528,0.261472
2023-10-23,13,225,0.0103881,1.1,1.71633,0.61633
2023-10-23,13,220,0.0103881,1.9,3.61436,1.71436
2023-10-23,13,215,0.0103881,6.2,6.55531,0.355306
2023-10-23,13,230,0.0103881,0.7,0.705662,0.00566227
2023-10-23,12,225,0.0105023,1.1,1.41128,0.311276
2023-10-23,12,215,0.0105023,6.9,6.53208,0.367917
2023-10-23,12,230,0.0105023,0.7,0.489616,0.210384
2023-10-23,12,220,0.0105023,2.4,3.36427,0.964269
2023-10-23,11,215,0.0106164,6.9,6.98142,0.0814228
2023-10-23,11,225,0.0106164,1.8,1.96554,0.16554
2023-10-23,11,230,0.0106164,0.7,0.828052,0.128052
2023-10-23,11,220,0.0106164,3.6,3.9799,0.379902
2023-10-23,10,225,0.0107306,1.8,1.0439,0.756103
2023-10-23,10,230,0.0107306,0.7,0.313297,0.386703
2023-10-23,10,215,0.0107306,4.9,5.58038,0.680376
2023-10-23,10,220,0.0107306,3.6,2.71245,0.88755
2023-10-23,9,230,0.0108447,0.7,0.711137,0.011137
2023-10-23,9,225,0.0108447,1.8,1.74629,0.0537068
2023-10-23,9,215,0.0108447,4.9,6.52917,1.62917
2023-10-23,9,220,0.0108447,3.5,3.63902,0.13902
2023-10-23,8,225,0.0109589,1.8,2.05902,0.259016
