date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var,v_t_mean,v_t_var
October 23rd, 2023,-0.0479322,0.590351,2.33441,12.0541,0.0470396,0.00236859,1.26078,1.41609,-0.144106,0.431453,0.0237521,0.00112396
October 23rd, 2023,0.0141285,0.414848,1.88624,3.08569,0.0451188,0.00165891,1.59222,1.19748,-0.141119,0.386881,0.0304768,0.00188553
October 23rd, 2023,-0.0844055,0.347178,3.5805,121.853,0.0747196,0.00890196,1.74433,1.03767,-0.1075,0.299456,0.0122584,0.000398905
October 23rd, 2023,-0.0790435,0.137646,3.06379,16.5487,0.0782524,0.00434977,1.98403,0.536036,-0.0440856,0.248838,0.0218933,0.00131603
October 23rd, 2023,-0.146049,0.199919,3.76204,128.033,0.0540256,0.00404924,1.70422,0.640021,-0.202667,0.239474,0.015865,0.000710656
October 23rd, 2023,-0.199935,0.227616,2.32201,4.20426,0.0807313,0.00612417,1.77694,0.967998,-0.298299,0.263866,0.00468905,0.000132639
October 23rd, 2023,0.0452221,0.126275,1.8124,3.82393,0.121685,0.0158309,1.94725,0.526758,-0.144995,0.151156,0.00793699,0.000401788
October 23rd, 2023,-0.127966,0.132786,3.79757,146.143,0.0430957,0.00181226,1.58654,0.359094,-0.233319,0.230174,0.00918405,0.000332605
October 23rd, 2023,0.104362,0.161863,4.989,126.467,0.052711,0.00448154,1.70316,0.677375,-0.089202,0.217308,0.0123672,0.000288627
October 23rd, 2023,0.642297,0.0189198,3.38987,14.4974,0.0586252,0.00349464,2.00505,0.707343,-0.115798,0.112227,0.0106225,0.000432263
October 23rd, 2023,-0.18628,0.110011,2.49907,5.0569,0.0683363,0.00310391,1.90092,0.550844,-0.3866,0.193669,0.0170249,0.00063939
October 23rd, 2023,0.116084,0.152069,4.10882,20.4944,0.0359325,0.00114146,1.66024,0.351384,-0.0365021,0.212833,0.0155372,0.000739496
October 23rd, 2023,0.177667,0.0788483,3.9441,18.1208,0.157715,0.0553739,1.87826,0.288394,0.166932,0.111071,0.0398529,0.00133084
October 23rd, 2023,0.269046,0.11699,5.64179,153.819,0.0751876,0.0100938,1.73073,0.400333,0.176305,0.122098,0.0319806,0.00132395
