date,hour,mu_mean,kappa_mean,theta_mean,vol-of-vol_mean,rho_mean,v_t_mean,return,one_step_nll
2023-10-23,10,-0.0479322,2.33441,0.0470396,1.26078,-0.144106,0.0237521,1.000455789,5332.644275
2023-10-23,11,0.0141285,1.88624,0.0451188,1.59222,-0.141119,0.0304768,1.002733485,4123.227462
2023-10-23,12,-0.0844055,3.5805,0.0747196,1.74433,-0.1075,0.0122584,0.9990913221,10179.39321
2023-10-23,13,-0.0790435,3.06379,0.0782524,1.98403,-0.0440856,0.0218933,0.9949977262,5781.882798
2023-10-23,14,-0.146049,3.76204,0.0540256,1.70422,-0.202667,0.015865,1.002285192,7947.801821
2023-10-23,15,-0.199935,2.32201,0.0807313,1.77694,-0.298299,0.00468905,1,27328.29918
2023-10-23,16,0.0452221,1.8124,0.121685,1.94725,-0.144995,0.00793699,1.007751938,15808.16987
2023-10-23,17,-0.127966,3.79757,0.0430957,1.58654,-0.233319,0.00918405,0.9981900452,13804.45439
2023-10-23,18,0.104362,4.989,0.052711,1.70316,-0.089202,0.0123672,1.002719855,10268.5509
2023-10-23,19,0.642297,3.38987,0.0586252,2.00505,-0.115798,0.0106225,1.004520796,11755.04672
2023-10-23,20,-0.18628,2.49907,0.0683363,1.90092,-0.3866,0.0170249,0.99819982,7556.147131
2023-10-23,21,0.116084,4.10882,0.0359325,1.66024,-0.0365021,0.0155372,1.009918846,8531.314379
2023-10-23,22,0.177667,3.9441,0.157715,1.87826,0.166932,0.0398529,1.026339286,3115.84823
2023-10-23,23,0.269046,5.64179,0.0751876,1.73073,0.176305,0.0319806,0.9939103958,
