date,strike,maturity,true_price,computed_price,abs_error
2023-10-23,23,210,0.00924658,16.6,13.2642,3.3358
2023-10-23,23,180,0.00924658,48,38.4742,9.52579
2023-10-23,23,230,0.00924658,4.4,4.22447,0.175526
2023-10-23,23,215,0.00924658,13.6,10.3281,3.2719
2023-10-23,23,225,0.00924658,4.1,5.83043,1.73043
2023-10-23,23,200,0.00924658,21,20.445,0.555049
2023-10-23,23,220,0.00924658,7.7,7.854,0.153996
2023-10-23,23,205,0.00924658,24.6,16.649,7.95099
2023-10-23,22,205,0.00936073,24.6,17.1793,7.42073
2023-10-23,22,225,0.00936073,3,6.11448,3.11448
2023-10-23,22,220,0.00936073,9,8.20058,0.799417
2023-10-23,22,230,0.00936073,1.9,4.45049,2.55049
2023-10-23,22,200,0.00936073,21,21.0246,0.024632
2023-10-23,22,215,0.00936073,10,10.7388,0.738807
2023-10-23,22,210,0.00936073,16.6,13.7372,2.86276
2023-10-23,22,180,0.00936073,48,39.1585,8.84148
2023-10-23,21,230,0.00947489,1.2,4.89193,3.69193
2023-10-23,21,215,0.00947489,6.7,11.5247,4.82467
2023-10-23,21,220,0.00947489,4.6,8.86806,4.26806
2023-10-23,21,200,0.00947489,21,22.116,1.11603
2023-10-23,21,205,0.00947489,16.5,18.1824,1.68238
2023-10-23,21,225,0.00947489,2.3,6.66529,4.36529
2023-10-23,21,180,0.00947489,48,40.4324,7.5676
2023-10-23,20,220,0.00958904,4.1,11.302,7.20197
2023-10-23,20,225,0.00958904,2.3,8.9297,6.6297
2023-10-23,20,180,0.00958904,48,42.5977,5.40232
2023-10-23,20,230,0.00958904,0.9,6.93815,6.03815
2023-10-23,19,180,0.0097032,48,42.1123,5.88765
2023-10-23,19,220,0.0097032,1.9,11.0242,9.1242
2023-10-23,19,230,0.0097032,0.9,6.73719,5.83719
2023-10-23,19,225,0.0097032,2.3,8.69097,6.39097
2023-10-23,18,225,0.00981735,2,8.7384,6.7384
2023-10-23,18,230,0.00981735,0.9,6.77708,5.87708
2023-10-23,17,215,0.00993151,6,12.8243,6.82426
2023-10-23,17,180,0.00993151,40.3,40.6605,0.360486
2023-10-23,17,230,0.00993151,0.9,6.15708,5.25708
2023-10-23,17,220,0.00993151,1.9,10.2143,8.31432
2023-10-23,17,225,0.00993151,1.6,7.99829,6.39829
2023-10-23,16,225,0.0100457,2,7.68712,5.68712
2023-10-23,16,180,0.0100457,40.3,39.9852,0.31478
2023-10-23,16,220,0.0100457,1.9,9.84849,7.94849
2023-10-23,16,215,0.0100457,6,12.4032,6.40317
2023-10-23,16,230,0.0100457,0.9,5.89796,4.99796
2023-10-23,15,215,0.0101598,6.4,13.0682,6.66824
2023-10-23,15,230,0.0101598,0.8,6.30845,5.50845
2023-10-23,15,225,0.0101598,1.6,8.17955,6.57955
2023-10-23,15,220,0.0101598,2,10.4268,8.42683
2023-10-23,14,225,0.010274,1.1,7.64329,6.54329
2023-10-23,14,200,0.010274,19.6,22.3317,2.73165
2023-10-23,14,215,0.010274,6,12.3436,6.34363
2023-10-23,14,220,0.010274,1.9,9.79686,7.89686
2023-10-23,14,230,0.010274,0.7,5.86154,5.16154
2023-10-23,13,225,0.0103881,1.1,7.68712,6.58712
2023-10-23,13,220,0.0103881,1.9,9.84849,7.94849
2023-10-23,13,215,0.0103881,6.2,12.4032,6.20317
2023-10-23,13,230,0.0103881,0.7,5.89796,5.19796
2023-10-23,12,225,0.0105023,1.1,7.95336,6.85336
2023-10-23,12,215,0.0105023,6.9,12.7636,5.86364
2023-10-23,12,230,0.0105023,0.7,6.11961,5.41961
2023-10-23,12,220,0.0105023,2.4,10.1616,7.76158
2023-10-23,11,215,0.0106164,6.9,12.6429,5.74287
2023-10-23,11,225,0.0106164,1.8,7.86399,6.06399
2023-10-23,11,230,0.0106164,0.7,6.04513,5.34513
2023-10-23,11,220,0.0106164,3.6,10.0566,6.45658
2023-10-23,10,225,0.0107306,1.8,7.38364,5.58364
2023-10-23,10,230,0.0107306,0.7,5.64617,4.94617
2023-10-23,10,215,0.0107306,4.9,11.9896,7.08962
2023-10-23,10,220,0.0107306,3.6,9.49043,5.89043
2023-10-23,9,230,0.0108447,0.7,5.82527,5.12527
2023-10-23,9,225,0.0108447,1.8,7.59963,5.79963
2023-10-23,9,215,0.0108447,4.9,12.2842,7.38424
2023-10-23,9,220,0.0108447,3.5,9.7454,6.2454
2023-10-23,8,225,0.0109589,1.8,7.59963,5.79963
2023-10-23,8,220,0.0109589,3.5,9.7454,6.2454
2023-10-23,8,215,0.0109589,7.7,12.2842,4.58424
2023-10-23,8,230,0.0109589,0.8,5.82527,5.02527
2023-10-23,7,215,0.0110731,7.7,13.3146,5.61465
2023-10-23,7,225,0.0110731,1.8,8.36332,6.56332
2023-10-23,7,230,0.0110731,0.8,6.46223,5.66223
2023-10-23,7,220,0.0110731,3.5,10.6419,7.14186
2023-10-23,6,215,0.0111872,7.7,13.0682,5.36824
2023-10-23,6,220,0.0111872,3.5,10.4268,6.92683
2023-10-23,6,225,0.0111872,1.8,8.17955,6.37955
2023-10-23,6,230,0.0111872,1.1,6.30845,5.20845
2023-10-23,5,225,0.0113014,1.7,8.45615,6.75615
2023-10-23,5,230,0.0113014,1.2,6.54004,5.34004
2023-10-23,5,220,0.0113014,3.5,10.7503,7.25032
2023-10-23,5,215,0.0113014,7.8,13.4388,5.63875
2023-10-23,4,220,0.0114155,3.5,11.302,7.80197
2023-10-23,4,225,0.0114155,1.7,8.9297,7.2297
2023-10-23,4,230,0.0114155,1.2,6.93815,5.73815
2023-10-23,3,220,0.0115297,3.5,11.0794,7.57944
2023-10-23,3,225,0.0115297,1.9,8.7384,6.8384
2023-10-23,3,230,0.0115297,1.2,6.77708,5.57708
2023-10-23,2,225,0.0116438,1.9,9.82152,7.92152
2023-10-23,2,230,0.0116438,0.7,7.69318,6.99318
2023-10-23,1,230,0.011758,0.7,10.5161,9.81608
2023-10-23,0,230,0.0118721,0.7,9.79809,9.09809
