date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1220,0.156164,49.5,70.0838,20.5838
01-Jan-2025,1210,0.156164,55.1,75.8967,20.7967
01-Jan-2025,1040,0.156164,252.6,204.913,47.6868
01-Jan-2025,1020,0.156164,271.3,222.768,48.5322
01-Jan-2025,1200,0.156164,60.85,81.9497,21.0997
01-Jan-2025,1330,0.156164,19.5,23.0882,3.58819
01-Jan-2025,1280,0.232877,46.15,54.1724,8.02239
01-Jan-2025,1520,0.156164,1.65,0.959815,0.690185
01-Jan-2025,1160,0.156164,95.8,108.419,12.6189
01-Jan-2025,1280,0.156164,23.35,40.5313,17.1813
01-Jan-2025,1400,0.156164,4.8,8.6651,3.8651
01-Jan-2025,1260,0.156164,29.55,49.3424,19.7924
01-Jan-2025,1120,0.156164,170,138.109,31.891
01-Jan-2025,1110,0.156164,131.75,145.969,14.2194
01-Jan-2025,1360,0.156164,7.4,15.6122,8.21216
01-Jan-2025,1080,0.156164,216.25,170.459,45.7907
01-Jan-2025,1060,0.156164,234.25,187.457,46.7935
01-Jan-2025,1340,0.156164,10,20.3601,10.3601
01-Jan-2025,1190,0.156164,67.5,88.2359,20.7359
01-Jan-2025,1060,0.0794521,292.85,173.943,118.907
01-Jan-2025,1020,0.0794521,331.15,211.232,119.918
01-Jan-2025,1000,0.0794521,230,230.331,0.331204
01-Jan-2025,1080,0.0794521,274,155.923,118.077
01-Jan-2025,1460,0.0794521,0.5,0.596179,0.0961793
01-Jan-2025,1090,0.0794521,198.1,147.113,50.9868
01-Jan-2025,1270,0.0794521,10.45,28.5723,18.1223
01-Jan-2025,1250,0.0794521,16.75,36.8878,20.1378
01-Jan-2025,1260,0.0794521,13.25,32.5606,19.3106
01-Jan-2025,1430,0.0794521,0.65,1.32739,0.677389
01-Jan-2025,1240,0.0794521,21.15,41.5551,20.4051
01-Jan-2025,1230,0.0794521,26.05,46.5615,20.5115
01-Jan-2025,1440,0.0794521,0.5,1.02436,0.524364
01-Jan-2025,1420,0.0794521,0.65,1.70652,1.05652
01-Jan-2025,1410,0.0794521,0.7,2.17638,1.47638
01-Jan-2025,1220,0.0794521,31.5,51.9032,20.4032
01-Jan-2025,1400,0.0794521,0.8,2.75314,1.95314
01-Jan-2025,1210,0.0794521,37.45,57.5744,20.1244
01-Jan-2025,1200,0.0794521,44.4,63.5674,19.1674
01-Jan-2025,1390,0.0794521,0.85,3.45435,2.60435
01-Jan-2025,1380,0.0794521,1.05,4.29876,3.24876
01-Jan-2025,1190,0.0794521,51.55,69.8723,18.3223
01-Jan-2025,1370,0.0794521,1.1,5.30599,4.20599
01-Jan-2025,1360,0.0794521,1.3,6.49627,5.19627
01-Jan-2025,1180,0.0794521,59.3,76.4778,17.1778
01-Jan-2025,1170,0.0794521,67.55,83.3714,15.8214
01-Jan-2025,1350,0.0794521,1.65,7.89,6.24
01-Jan-2025,1150,0.0794521,84.95,97.9665,13.0165
01-Jan-2025,1160,0.0794521,76.55,90.5391,13.9891
01-Jan-2025,1340,0.0794521,1.9,9.50743,7.60743
01-Jan-2025,1330,0.0794521,2.4,11.3682,8.96816
01-Jan-2025,1140,0.0794521,92,105.638,13.6382
01-Jan-2025,1130,0.0794521,162.5,113.539,48.9614
01-Jan-2025,1320,0.0794521,3.1,13.4908,10.3908
01-Jan-2025,1120,0.0794521,237.15,121.652,115.498
01-Jan-2025,1110,0.0794521,120.15,129.962,9.81249
