date,kappa,theta,vol-of-vol,rho,v0
October 23rd, 2023,1.6207,0.0227669,0.743855,-0.928649,0.367741
October 23rd, 2023,1.6207,0.0227669,0.743855,-0.928649,0.175961
October 23rd, 2023,1.6207,0.0227669,0.743855,-0.928649,0.269805
October 23rd, 2023,3.52246,0.0497789,0.581084,-0.702015,0.135533
October 23rd, 2023,3.52246,0.0497789,0.581084,-0.702015,0.172941
October 23rd, 2023,3.52246,0.0497789,0.581084,-0.702015,0.15349
October 23rd, 2023,1.4837,0.0363556,0.514933,-0.674388,0.218283
October 23rd, 2023,1.4837,0.0363556,0.514933,-0.674388,0.140815
October 23rd, 2023,1.4837,0.0363556,0.514933,-0.674388,0.133791
October 23rd, 2023,2.78901,0.0322803,0.410278,-0.38609,0.128106
October 23rd, 2023,2.78901,0.0322803,0.410278,-0.38609,0.117596
October 23rd, 2023,2.78901,0.0322803,0.410278,-0.38609,0.14975
October 23rd, 2023,2.40782,0.0318253,0.282191,-0.488332,0.163229
October 23rd, 2023,2.40782,0.0318253,0.282191,-0.488332,0.155134
October 23rd, 2023,2.40782,0.0318253,0.282191,-0.488332,0.198372
October 23rd, 2023,2.54324,0.032878,0.527833,-0.669057,0.198389
October 23rd, 2023,2.54324,0.032878,0.527833,-0.669057,0.20973
October 23rd, 2023,2.54324,0.032878,0.527833,-0.669057,0.157637
October 23rd, 2023,2.31851,0.038573,0.649426,-0.752039,0.135804
October 23rd, 2023,2.31851,0.038573,0.649426,-0.752039,0.199777
October 23rd, 2023,2.31851,0.038573,0.649426,-0.752039,0.214541
October 23rd, 2023,3.579,0.0221503,0.308603,-0.635056,0.17594
October 23rd, 2023,3.579,0.0221503,0.308603,-0.635056,0.18743
October 23rd, 2023,3.579,0.0221503,0.308603,-0.635056,0.217342
