date,strike,maturity,true_price,computed_price,abs_error
2023-10-23,23,210,0.00924658,16.6,10.0304,6.56956
2023-10-23,23,180,0.00924658,48,38.2848,9.71523
2023-10-23,23,230,0.00924658,4.4,1.0537,3.3463
2023-10-23,23,215,0.00924658,13.6,6.6117,6.9883
2023-10-23,23,225,0.00924658,4.1,2.16727,1.93273
2023-10-23,23,200,0.00924658,21,18.6224,2.37762
2023-10-23,23,220,0.00924658,7.7,3.98388,3.71612
2023-10-23,23,205,0.00924658,24.6,14.1003,10.4997
2023-10-23,22,205,0.00936073,24.6,14.1874,10.4126
2023-10-23,22,225,0.00936073,3,1.12215,1.87785
2023-10-23,22,220,0.00936073,9,2.84536,6.15464
2023-10-23,22,230,0.00936073,1.9,0.337608,1.56239
2023-10-23,22,200,0.00936073,21,19.0428,1.95716
2023-10-23,22,215,0.00936073,10,5.7299,4.2701
2023-10-23,22,210,0.00936073,16.6,9.63454,6.96546
2023-10-23,22,180,0.00936073,48,38.9822,9.01776
2023-10-23,21,230,0.00947489,1.2,0.963651,0.236349
2023-10-23,21,215,0.00947489,6.7,7.33025,0.630254
2023-10-23,21,220,0.00947489,4.6,4.29254,0.307463
2023-10-23,21,200,0.00947489,21,20.4036,0.596366
2023-10-23,21,205,0.00947489,16.5,15.6343,0.865684
2023-10-23,21,225,0.00947489,2.3,2.19723,0.102766
2023-10-23,21,180,0.00947489,48,40.2823,7.71769
2023-10-23,20,220,0.00958904,4.1,4.7733,0.673301
2023-10-23,20,225,0.00958904,2.3,2.29811,0.00188788
2023-10-23,20,180,0.00958904,48,42.3299,5.67009
2023-10-23,20,230,0.00958904,0.9,0.914687,0.0146867
2023-10-23,19,180,0.0097032,48,41.8305,6.16952
2023-10-23,19,220,0.0097032,1.9,4.88786,2.98786
2023-10-23,19,230,0.0097032,0.9,1.12026,0.220256
2023-10-23,19,225,0.0097032,2.3,2.52151,0.221513
2023-10-23,18,225,0.00981735,2,2.34952,0.349525
2023-10-23,18,230,0.00981735,0.9,0.985214,0.0852145
2023-10-23,17,215,0.00993151,6,7.49388,1.49388
2023-10-23,17,180,0.00993151,40.3,40.3198,0.0197859
2023-10-23,17,230,0.00993151,0.9,1.13079,0.230788
2023-10-23,17,220,0.00993151,1.9,4.49077,2.59077
2023-10-23,17,225,0.00993151,1.6,2.39768,0.797676
2023-10-23,16,225,0.0100457,2,1.42947,0.570527
2023-10-23,16,180,0.0100457,40.3,39.6197,0.680302
2023-10-23,16,220,0.0100457,1.9,3.2915,1.3915
2023-10-23,16,215,0.0100457,6,6.27854,0.278544
2023-10-23,16,230,0.0100457,0.9,0.50989,0.39011
2023-10-23,15,215,0.0101598,6.4,7.02483,0.624834
2023-10-23,15,230,0.0101598,0.8,0.6096,0.1904
2023-10-23,15,225,0.0101598,1.6,1.68474,0.0847414
2023-10-23,15,220,0.0101598,2,3.78387,1.78387
2023-10-23,14,225,0.010274,1.1,1.32304,0.223042
2023-10-23,14,200,0.010274,19.6,19.5909,0.00912538
2023-10-23,14,215,0.010274,6,6.07667,0.0766712
2023-10-23,14,220,0.010274,1.9,3.11176,1.21176
2023-10-23,14,230,0.010274,0.7,0.478625,0.221375
2023-10-23,13,225,0.0103881,1.1,1.23893,0.138933
2023-10-23,13,220,0.0103881,1.9,3.02519,1.12519
2023-10-23,13,215,0.0103881,6.2,6.03626,0.16374
2023-10-23,13,230,0.0103881,0.7,0.428017,0.271983
2023-10-23,12,225,0.0105023,1.1,1.74663,0.64663
2023-10-23,12,215,0.0105023,6.9,6.80481,0.095195
2023-10-23,12,230,0.0105023,0.7,0.703738,0.00373795
2023-10-23,12,220,0.0105023,2.4,3.72934,1.32934
2023-10-23,11,215,0.0106164,6.9,6.78687,0.113127
2023-10-23,11,225,0.0106164,1.8,1.82208,0.0220826
2023-10-23,11,230,0.0106164,0.7,0.761882,0.0618824
2023-10-23,11,220,0.0106164,3.6,3.7807,0.180703
2023-10-23,10,225,0.0107306,1.8,1.43091,0.369093
2023-10-23,10,230,0.0107306,0.7,0.563368,0.136632
2023-10-23,10,215,0.0107306,4.9,5.9378,1.0378
2023-10-23,10,220,0.0107306,3.6,3.15086,0.44914
2023-10-23,9,230,0.0108447,0.7,0.892278,0.192278
2023-10-23,9,225,0.0108447,1.8,1.96776,0.167763
