date,strike,maturity,true_price,computed_price,abs_error
02-Jan-2025,1320,0.153425,16.65,-1.07648e-05,16.65
02-Jan-2025,1180,0.153425,117,99.0392,17.9608
02-Jan-2025,1480,0.153425,2.4,-1.61379e-07,2.4
02-Jan-2025,1310,0.153425,24.25,0.000229874,24.2498
02-Jan-2025,1170,0.153425,87.65,108.449,20.7993
02-Jan-2025,1300,0.153425,22.5,0.0038193,22.4962
02-Jan-2025,1160,0.153425,95.8,117.879,22.079
02-Jan-2025,1290,0.153425,25,0.594107,24.4059
02-Jan-2025,1440,0.153425,3.35,-1.61416e-07,3.35
02-Jan-2025,1280,0.153425,28.95,7.70119,21.2488
02-Jan-2025,1150,0.153425,101.35,127.326,25.9761
02-Jan-2025,1420,0.153425,4.5,-1.61403e-07,4.5
02-Jan-2025,1140,0.153425,165.4,136.789,28.611
02-Jan-2025,1270,0.153425,30,16.229,13.771
02-Jan-2025,1130,0.153425,116.05,146.266,30.2159
02-Jan-2025,1400,0.153425,5.95,-1.59672e-07,5.95
02-Jan-2025,1260,0.153425,37.25,25.0789,12.1711
02-Jan-2025,1120,0.153425,170,155.756,14.2443
02-Jan-2025,1250,0.153425,42.15,34.0952,8.05478
02-Jan-2025,1110,0.153425,131.75,165.257,33.5072
02-Jan-2025,1240,0.153425,47.85,43.2164,4.63362
02-Jan-2025,1100,0.153425,135,174.77,39.7695
02-Jan-2025,1380,0.153425,34.8,-1.67932e-07,34.8
02-Jan-2025,1230,0.153425,52.8,52.4116,0.388417
02-Jan-2025,1090,0.153425,148.3,184.292,35.9918
02-Jan-2025,1080,0.153425,216.25,193.823,22.4266
02-Jan-2025,1360,0.153425,9.25,-2.79815e-07,9.25
02-Jan-2025,1220,0.153425,59.3,61.6628,2.36275
02-Jan-2025,1060,0.153425,234.25,212.912,21.3382
02-Jan-2025,1210,0.153425,66.2,70.9582,4.75817
02-Jan-2025,1040,0.153425,252.6,232.03,20.5695
02-Jan-2025,1020,0.153425,238.5,251.176,12.676
02-Jan-2025,1340,0.153425,12.45,1.84957e-06,12.45
02-Jan-2025,1200,0.153425,73.5,80.2897,6.78973
02-Jan-2025,1330,0.153425,19.5,-4.7683e-06,19.5
02-Jan-2025,1190,0.153425,67.9,89.6516,21.7516
02-Jan-2025,1060,0.0767123,292.85,205.843,87.0067
02-Jan-2025,1040,0.0767123,181,225.077,44.0769
