Date,Expiry,Strike Price,Close
01-Jan-2025,30-Jan-2025,1210.0,37.45
01-Jan-2025,30-Jan-2025,1200.0,44.40
01-Jan-2025,30-Jan-2025,1390.0,0.85
01-Jan-2025,30-Jan-2025,1380.0,1.05
01-Jan-2025,30-Jan-2025,1190.0,51.55
01-Jan-2025,30-Jan-2025,1370.0,1.10
01-Jan-2025,30-Jan-2025,1360.0,1.30
01-Jan-2025,30-Jan-2025,1180.0,59.30
01-Jan-2025,30-Jan-2025,1170.0,67.55
01-Jan-2025,30-Jan-2025,1350.0,1.65
01-Jan-2025,30-Jan-2025,1160.0,76.55
01-Jan-2025,30-Jan-2025,1150.0,84.95
01-Jan-2025,30-Jan-2025,1340.0,1.90
01-Jan-2025,30-Jan-2025,1330.0,2.40
01-Jan-2025,30-Jan-2025,1140.0,92.00
01-Jan-2025,30-Jan-2025,1130.0,162.50
01-Jan-2025,30-Jan-2025,1320.0,3.10
01-Jan-2025,30-Jan-2025,1120.0,237.15
01-Jan-2025,30-Jan-2025,1110.0,120.15
01-Jan-2025,30-Jan-2025,1310.0,4.00
01-Jan-2025,30-Jan-2025,1300.0,5.25
01-Jan-2025,30-Jan-2025,1100.0,131.50
01-Jan-2025,30-Jan-2025,1520.0,0.30
01-Jan-2025,30-Jan-2025,1500.0,0.30
01-Jan-2025,30-Jan-2025,1480.0,0.45
01-Jan-2025,30-Jan-2025,1290.0,6.50
01-Jan-2025,30-Jan-2025,1280.0,8.30
01-Jan-2025,27-Mar-2025,1260.0,53.95
01-Jan-2025,27-Mar-2025,1140.0,121.30
01-Jan-2025,27-Mar-2025,1120.0,135.80
01-Jan-2025,27-Mar-2025,1360.0,23.20
01-Jan-2025,27-Mar-2025,1240.0,62.75
01-Jan-2025,27-Mar-2025,1220.0,72.50
01-Jan-2025,27-Mar-2025,1100.0,151.15
01-Jan-2025,27-Mar-2025,1340.0,23.00
01-Jan-2025,27-Mar-2025,1080.0,167.25
01-Jan-2025,27-Mar-2025,1320.0,33.05
01-Jan-2025,27-Mar-2025,1200.0,76.00
01-Jan-2025,27-Mar-2025,1440.0,7.60
01-Jan-2025,27-Mar-2025,1300.0,31.00
01-Jan-2025,27-Mar-2025,1040.0,201.40
01-Jan-2025,27-Mar-2025,1180.0,94.95
01-Jan-2025,27-Mar-2025,1000.0,237.65
01-Jan-2025,27-Mar-2025,1400.0,10.80
01-Jan-2025,27-Mar-2025,1280.0,46.15
01-Jan-2025,27-Mar-2025,1160.0,107.60
01-Jan-2025,27-Feb-2025,1520.0,1.65
01-Jan-2025,27-Feb-2025,1320.0,13.10
01-Jan-2025,27-Feb-2025,1180.0,117.00
01-Jan-2025,27-Feb-2025,1310.0,24.25
01-Jan-2025,27-Feb-2025,1170.0,87.65
01-Jan-2025,27-Feb-2025,1480.0,2.45
01-Jan-2025,27-Feb-2025,1300.0,17.60
01-Jan-2025,27-Feb-2025,1160.0,95.80
01-Jan-2025,27-Feb-2025,1440.0,3.00
01-Jan-2025,27-Feb-2025,1290.0,30.00
01-Jan-2025,27-Feb-2025,1150.0,101.35
01-Jan-2025,27-Feb-2025,1280.0,23.35
01-Jan-2025,27-Feb-2025,1140.0,165.40
01-Jan-2025,27-Feb-2025,1420.0,24.90
01-Jan-2025,27-Feb-2025,1270.0,25.60
01-Jan-2025,27-Feb-2025,1130.0,116.05
01-Jan-2025,27-Feb-2025,1400.0,4.80
01-Jan-2025,27-Feb-2025,1260.0,29.55
01-Jan-2025,27-Feb-2025,1120.0,170.00
01-Jan-2025,27-Feb-2025,1250.0,34.25
01-Jan-2025,27-Feb-2025,1110.0,131.75
01-Jan-2025,27-Feb-2025,1240.0,38.50
01-Jan-2025,27-Feb-2025,1100.0,135.00
01-Jan-2025,27-Feb-2025,1380.0,34.80
01-Jan-2025,27-Feb-2025,1230.0,45.50
01-Jan-2025,27-Feb-2025,1090.0,148.30
01-Jan-2025,27-Feb-2025,1360.0,7.40
01-Jan-2025,27-Feb-2025,1080.0,216.25
01-Jan-2025,27-Feb-2025,1060.0,234.25
01-Jan-2025,27-Feb-2025,1220.0,49.50
01-Jan-2025,27-Feb-2025,1210.0,55.10
01-Jan-2025,27-Feb-2025,1040.0,252.60
01-Jan-2025,27-Feb-2025,1020.0,271.30
01-Jan-2025,27-Feb-2025,1340.0,10.00
01-Jan-2025,27-Feb-2025,1200.0,60.85
01-Jan-2025,27-Feb-2025,1330.0,19.50
01-Jan-2025,27-Feb-2025,1190.0,67.50
01-Jan-2025,30-Jan-2025,1060.0,292.85
01-Jan-2025,30-Jan-2025,1040.0,181.00
01-Jan-2025,30-Jan-2025,1020.0,331.15
01-Jan-2025,30-Jan-2025,1000.0,230.00
01-Jan-2025,30-Jan-2025,1090.0,198.10
01-Jan-2025,30-Jan-2025,1080.0,274.00
01-Jan-2025,30-Jan-2025,1270.0,10.45
01-Jan-2025,30-Jan-2025,1460.0,0.50
01-Jan-2025,30-Jan-2025,1260.0,13.25
01-Jan-2025,30-Jan-2025,1250.0,16.75
01-Jan-2025,30-Jan-2025,1440.0,0.50
01-Jan-2025,30-Jan-2025,1430.0,0.65
01-Jan-2025,30-Jan-2025,1240.0,21.15
01-Jan-2025,30-Jan-2025,1230.0,26.05
01-Jan-2025,30-Jan-2025,1420.0,0.65
01-Jan-2025,30-Jan-2025,1410.0,0.70
01-Jan-2025,30-Jan-2025,1220.0,31.50
01-Jan-2025,30-Jan-2025,1400.0,0.80
02-Jan-2025,27-Feb-2025,1320.0,16.65
02-Jan-2025,27-Feb-2025,1180.0,117.00
02-Jan-2025,27-Feb-2025,1480.0,2.40
02-Jan-2025,27-Feb-2025,1310.0,24.25
02-Jan-2025,27-Feb-2025,1170.0,87.65
02-Jan-2025,27-Feb-2025,1300.0,22.50
02-Jan-2025,27-Feb-2025,1160.0,95.80
02-Jan-2025,27-Feb-2025,1290.0,25.00
02-Jan-2025,27-Feb-2025,1440.0,3.35
02-Jan-2025,27-Feb-2025,1280.0,28.95
02-Jan-2025,27-Feb-2025,1150.0,101.35
02-Jan-2025,27-Feb-2025,1420.0,4.50
02-Jan-2025,27-Feb-2025,1140.0,165.40
02-Jan-2025,27-Feb-2025,1270.0,30.00
02-Jan-2025,27-Feb-2025,1130.0,116.05
02-Jan-2025,27-Feb-2025,1400.0,5.95
02-Jan-2025,27-Feb-2025,1260.0,37.25
02-Jan-2025,27-Feb-2025,1120.0,170.00
02-Jan-2025,27-Feb-2025,1250.0,42.15
02-Jan-2025,27-Feb-2025,1110.0,131.75
02-Jan-2025,27-Feb-2025,1240.0,47.85
02-Jan-2025,27-Feb-2025,1100.0,135.00
02-Jan-2025,27-Feb-2025,1380.0,34.80
02-Jan-2025,27-Feb-2025,1230.0,52.80
02-Jan-2025,27-Feb-2025,1090.0,148.30
02-Jan-2025,27-Feb-2025,1080.0,216.25
02-Jan-2025,27-Feb-2025,1360.0,9.25
02-Jan-2025,27-Feb-2025,1220.0,59.30
02-Jan-2025,27-Feb-2025,1060.0,234.25
02-Jan-2025,27-Feb-2025,1210.0,66.20
02-Jan-2025,27-Feb-2025,1040.0,252.60
02-Jan-2025,27-Feb-2025,1020.0,238.50
02-Jan-2025,27-Feb-2025,1340.0,12.45
02-Jan-2025,27-Feb-2025,1200.0,73.50
02-Jan-2025,27-Feb-2025,1330.0,19.50
02-Jan-2025,27-Feb-2025,1190.0,67.90
02-Jan-2025,30-Jan-2025,1060.0,292.85
02-Jan-2025,30-Jan-2025,1040.0,181.00
02-Jan-2025,30-Jan-2025,1020.0,331.15
02-Jan-2025,30-Jan-2025,1000.0,229.00
02-Jan-2025,30-Jan-2025,1090.0,198.10
02-Jan-2025,30-Jan-2025,1080.0,274.00
02-Jan-2025,30-Jan-2025,1270.0,15.70
02-Jan-2025,30-Jan-2025,1480.0,0.40
02-Jan-2025,30-Jan-2025,1460.0,0.55
02-Jan-2025,30-Jan-2025,1260.0,19.55
02-Jan-2025,30-Jan-2025,1250.0,24.20
02-Jan-2025,30-Jan-2025,1440.0,0.60
02-Jan-2025,30-Jan-2025,1430.0,0.65
02-Jan-2025,30-Jan-2025,1240.0,29.65
02-Jan-2025,30-Jan-2025,1230.0,35.70
02-Jan-2025,30-Jan-2025,1420.0,0.75
02-Jan-2025,30-Jan-2025,1410.0,0.95
02-Jan-2025,30-Jan-2025,1220.0,42.40
02-Jan-2025,27-Mar-2025,1260.0,53.95
02-Jan-2025,27-Mar-2025,1140.0,121.30
02-Jan-2025,27-Mar-2025,1120.0,135.80
02-Jan-2025,27-Mar-2025,1360.0,23.20
02-Jan-2025,27-Mar-2025,1240.0,62.75
02-Jan-2025,27-Mar-2025,1220.0,72.50
02-Jan-2025,27-Mar-2025,1100.0,151.15
02-Jan-2025,27-Mar-2025,1340.0,23.00
02-Jan-2025,27-Mar-2025,1080.0,167.25
02-Jan-2025,27-Mar-2025,1320.0,33.05
02-Jan-2025,30-Jan-2025,1400.0,1.00
02-Jan-2025,30-Jan-2025,1210.0,49.90
02-Jan-2025,30-Jan-2025,1200.0,57.60
02-Jan-2025,30-Jan-2025,1390.0,1.20
02-Jan-2025,30-Jan-2025,1380.0,1.40
02-Jan-2025,30-Jan-2025,1190.0,65.95
02-Jan-2025,30-Jan-2025,1370.0,1.55
02-Jan-2025,30-Jan-2025,1360.0,1.90
02-Jan-2025,30-Jan-2025,1180.0,74.25
02-Jan-2025,30-Jan-2025,1170.0,82.50
02-Jan-2025,30-Jan-2025,1350.0,2.35
02-Jan-2025,30-Jan-2025,1160.0,91.55
02-Jan-2025,30-Jan-2025,1150.0,100.75
02-Jan-2025,30-Jan-2025,1340.0,2.90
02-Jan-2025,30-Jan-2025,1330.0,3.75
02-Jan-2025,30-Jan-2025,1140.0,108.70
02-Jan-2025,30-Jan-2025,1130.0,162.50
02-Jan-2025,30-Jan-2025,1320.0,4.90
02-Jan-2025,30-Jan-2025,1120.0,237.15
02-Jan-2025,30-Jan-2025,1310.0,6.20
02-Jan-2025,30-Jan-2025,1300.0,7.95
02-Jan-2025,30-Jan-2025,1110.0,120.15
02-Jan-2025,30-Jan-2025,1100.0,148.05
02-Jan-2025,30-Jan-2025,1520.0,0.30
02-Jan-2025,30-Jan-2025,1500.0,0.35
02-Jan-2025,30-Jan-2025,1290.0,10.00
02-Jan-2025,30-Jan-2025,1280.0,12.50
02-Jan-2025,27-Mar-2025,1200.0,89.50
02-Jan-2025,27-Mar-2025,1440.0,10.60
02-Jan-2025,27-Mar-2025,1300.0,37.35
02-Jan-2025,27-Mar-2025,1040.0,201.40
02-Jan-2025,27-Mar-2025,1180.0,94.95
02-Jan-2025,27-Mar-2025,1000.0,237.65
02-Jan-2025,27-Mar-2025,1400.0,12.75
02-Jan-2025,27-Mar-2025,1280.0,46.15
02-Jan-2025,27-Mar-2025,1160.0,107.60
02-Jan-2025,27-Feb-2025,1520.0,2.00
03-Jan-2025,30-Jan-2025,1310.0,7.15
03-Jan-2025,30-Jan-2025,1120.0,237.15
03-Jan-2025,30-Jan-2025,1300.0,9.25
03-Jan-2025,30-Jan-2025,1110.0,120.15
03-Jan-2025,30-Jan-2025,1100.0,156.30
03-Jan-2025,30-Jan-2025,1520.0,0.35
03-Jan-2025,30-Jan-2025,1500.0,0.35
03-Jan-2025,30-Jan-2025,1290.0,11.60
03-Jan-2025,30-Jan-2025,1280.0,14.60
03-Jan-2025,27-Mar-2025,1260.0,50.00
03-Jan-2025,27-Mar-2025,1140.0,121.30
03-Jan-2025,27-Mar-2025,1120.0,135.80
03-Jan-2025,27-Mar-2025,1360.0,23.20
03-Jan-2025,27-Mar-2025,1240.0,62.75
03-Jan-2025,27-Mar-2025,1220.0,72.50
03-Jan-2025,27-Mar-2025,1100.0,151.15
03-Jan-2025,27-Mar-2025,1340.0,23.00
03-Jan-2025,27-Mar-2025,1080.0,167.25
03-Jan-2025,27-Mar-2025,1320.0,33.05
03-Jan-2025,27-Mar-2025,1200.0,94.80
03-Jan-2025,27-Mar-2025,1440.0,9.90
03-Jan-2025,27-Mar-2025,1300.0,37.10
03-Jan-2025,27-Mar-2025,1040.0,201.40
03-Jan-2025,27-Mar-2025,1180.0,94.95
03-Jan-2025,27-Mar-2025,1000.0,237.65
03-Jan-2025,27-Mar-2025,1400.0,12.95
03-Jan-2025,27-Mar-2025,1280.0,46.15
03-Jan-2025,27-Mar-2025,1160.0,107.60
03-Jan-2025,27-Feb-2025,1520.0,2.00
03-Jan-2025,27-Feb-2025,1320.0,18.30
03-Jan-2025,27-Feb-2025,1180.0,117.00
03-Jan-2025,27-Feb-2025,1480.0,2.50
03-Jan-2025,27-Feb-2025,1310.0,20.90
03-Jan-2025,27-Feb-2025,1170.0,87.65
03-Jan-2025,27-Feb-2025,1300.0,24.25
03-Jan-2025,27-Feb-2025,1160.0,95.80
03-Jan-2025,27-Feb-2025,1440.0,4.10
03-Jan-2025,27-Feb-2025,1290.0,27.45
03-Jan-2025,27-Feb-2025,1280.0,31.70
03-Jan-2025,27-Feb-2025,1150.0,101.35
03-Jan-2025,27-Feb-2025,1420.0,4.50
03-Jan-2025,27-Feb-2025,1140.0,165.40
03-Jan-2025,27-Feb-2025,1270.0,35.10
03-Jan-2025,27-Feb-2025,1130.0,116.05
03-Jan-2025,27-Feb-2025,1400.0,6.40
03-Jan-2025,27-Feb-2025,1260.0,40.65
03-Jan-2025,27-Feb-2025,1120.0,170.00
03-Jan-2025,27-Feb-2025,1110.0,131.75
03-Jan-2025,27-Feb-2025,1250.0,45.90
03-Jan-2025,27-Feb-2025,1380.0,8.50
03-Jan-2025,27-Feb-2025,1240.0,51.90
03-Jan-2025,27-Feb-2025,1100.0,135.00
03-Jan-2025,27-Feb-2025,1230.0,57.60
03-Jan-2025,27-Feb-2025,1090.0,148.30
03-Jan-2025,27-Feb-2025,1080.0,216.25
03-Jan-2025,27-Feb-2025,1360.0,10.25
03-Jan-2025,27-Feb-2025,1220.0,64.35
03-Jan-2025,27-Feb-2025,1060.0,234.25
03-Jan-2025,27-Feb-2025,1350.0,11.90
03-Jan-2025,27-Feb-2025,1210.0,74.40
