Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1260.00,30.55,38.75,29.55,37.25,36.50,37.25,75.00,485.66,13.16,127500.00,-2000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1400.00,4.95,6.20,4.70,5.95,5.90,5.95,521.00,3661.59,14.59,1012500.00,104000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1130.00,-,-,-,116.05,-,129.20,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1270.00,30.00,30.10,30.00,30.00,30.00,36.25,4.00,26.00,0.60,2000.00,500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1140.00,-,-,-,165.40,-,120.60,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1420.00,4.45,4.75,4.45,4.50,4.45,4.50,43.00,306.27,0.97,21000.00,21000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1150.00,-,-,-,101.35,-,112.25,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1280.00,24.85,30.00,23.00,28.95,28.50,28.95,95.00,620.26,12.26,69500.00,11500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1440.00,3.00,3.60,2.90,3.35,3.40,3.35,19.00,137.12,0.32,9500.00,6000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1290.00,21.70,25.20,21.50,25.00,25.00,25.00,19.00,124.76,2.21,9000.00,9000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1160.00,-,-,-,95.80,95.80,104.20,-,-,-,1500.00,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1300.00,18.25,23.90,17.40,22.50,22.00,22.50,1069.00,7057.31,108.81,846500.00,-4500.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1170.00,-,-,-,87.65,-,96.35,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1310.00,-,-,-,24.25,-,22.05,-,-,-,-,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1480.00,2.10,2.40,2.10,2.40,2.40,1.30,18.00,133.41,0.21,12000.00,9000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1180.00,-,-,-,117.00,117.00,88.80,-,-,-,1000.00,-,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1320.00,14.00,17.40,12.85,16.65,16.15,16.65,57.00,380.42,4.22,53500.00,5000.00,1241.80
RELIANCE,02-Jan-2025,27-Feb-2025,CE,1520.00,1.65,2.35,1.55,2.00,2.00,2.00,120.00,913.10,1.10,108000.00,3000.00,1241.80
RELIANCE,02-Jan-2025,27-Mar-2025,CE,1160.00,-,-,-,107.60,-,115.40,-,-,-,-,-,1241.80
