Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,28-Mar-2025,29-May-2025,CE,1140.00,-,-,-,110.00,110.00,151.95,-,-,-,2500.00,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1290.00,48.55,49.70,48.05,49.70,49.70,45.60,6.00,40.17,1.47,3000.00,3000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1480.00,-,-,-,5.45,-,3.40,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1300.00,42.20,45.35,34.75,36.90,35.95,36.90,1914.00,12815.13,374.13,1238000.00,307000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1160.00,-,-,-,99.40,-,134.35,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1310.00,-,-,-,47.40,-,36.75,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1520.00,2.10,2.75,2.10,2.55,2.55,1.70,3.00,22.84,0.04,2500.00,1500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1170.00,-,-,-,134.85,-,125.85,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1320.00,31.25,33.60,27.00,28.80,28.80,32.85,23.00,155.38,3.58,10000.00,7500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,960.00,-,-,-,265.50,-,325.65,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1180.00,-,-,-,87.10,-,117.60,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1330.00,-,-,-,39.40,-,29.25,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1190.00,-,-,-,119.20,-,109.55,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1340.00,22.40,26.65,21.15,21.70,21.60,21.70,33.00,224.94,3.84,15500.00,5500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1000.00,-,-,-,227.90,-,286.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1200.00,109.30,115.40,100.70,103.60,103.60,101.75,27.00,176.51,14.51,63000.00,3500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1350.00,21.00,21.10,18.60,19.55,19.50,19.55,22.00,150.68,2.18,5000.00,5000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1210.00,-,-,-,104.55,-,94.25,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1360.00,18.10,20.10,16.25,16.50,16.25,16.50,40.00,275.61,3.61,63500.00,7500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1040.00,-,-,-,191.85,-,246.80,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1220.00,-,-,-,55.00,55.00,87.05,-,-,-,500.00,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1240.00,66.55,71.40,52.55,56.20,56.10,56.20,442.00,2873.63,133.23,404000.00,-4500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1070.00,-,-,-,153.80,-,210.25,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1110.00,-,-,-,119.80,-,170.60,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1250.00,59.05,63.50,45.75,48.90,48.95,48.90,1896.00,12335.99,485.99,859000.00,34500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1380.00,5.25,5.85,3.55,3.80,3.75,3.80,3270.00,22636.66,73.66,1304000.00,190500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1390.00,4.55,4.75,2.90,3.10,3.05,3.10,1447.00,10082.71,26.06,539500.00,204500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1080.00,-,-,-,197.25,-,200.30,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1120.00,-,-,-,163.15,-,160.75,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1400.00,3.50,3.80,2.50,2.60,2.55,2.60,7715.00,54120.44,115.44,3496000.00,377000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1130.00,-,-,-,104.15,-,150.95,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1260.00,51.65,56.00,39.20,42.25,42.40,42.25,2380.00,15532.41,538.41,878500.00,113500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1410.00,2.90,3.05,2.00,2.10,2.05,2.10,873.00,6165.33,10.68,277000.00,180000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1090.00,-,-,-,136.40,-,190.40,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1140.00,-,-,-,147.10,-,141.25,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1270.00,43.80,48.80,33.50,36.30,36.05,36.30,3826.00,25026.67,731.57,1101500.00,186500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1420.00,2.35,2.60,1.65,1.75,1.65,1.75,2654.00,18871.61,28.21,637500.00,222500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1100.00,200.00,204.25,181.35,183.70,181.35,183.70,67.00,430.43,61.93,311500.00,19000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1370.00,-,-,-,26.45,-,17.75,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1060.00,-,-,-,174.60,-,227.30,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1230.00,-,-,-,90.85,-,80.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1380.00,-,-,-,16.05,-,15.55,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1120.00,-,-,-,187.45,-,178.30,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1440.00,-,-,-,21.25,-,12.90,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1160.00,-,-,-,154.75,-,144.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1180.00,-,-,-,139.45,-,128.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1480.00,-,-,-,14.60,-,7.95,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1200.00,-,-,-,125.05,-,113.10,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1220.00,-,-,-,111.35,-,98.95,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1240.00,-,-,-,98.65,-,85.90,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1260.00,-,-,-,86.90,-,73.90,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1280.00,-,-,-,76.05,-,63.05,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1300.00,56.00,59.00,51.00,52.15,53.15,52.15,14.00,94.77,3.77,5500.00,5500.00,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1320.00,-,-,-,57.25,-,44.70,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1340.00,-,-,-,49.25,-,37.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1360.00,-,-,-,42.10,-,30.60,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1380.00,-,-,-,35.80,-,24.95,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1080.00,-,-,-,222.55,-,214.75,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,26-Jun-2025,CE,1400.00,22.00,22.00,16.40,17.55,20.00,17.55,24.00,170.27,2.27,9500.00,9500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1150.00,145.00,154.00,129.30,134.45,133.70,134.45,114.00,732.08,76.58,192500.00,32500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1280.00,38.40,42.15,28.30,30.60,30.55,30.60,12005.00,78857.60,2025.60,1876000.00,255000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1440.00,1.95,1.95,1.30,1.35,1.30,1.35,1965.00,14163.82,15.82,867000.00,213000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1290.00,31.00,36.00,23.80,25.65,25.65,25.65,7916.00,52223.81,1165.61,1457500.00,156000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1460.00,1.40,1.65,0.15,1.15,1.10,1.15,2330.00,17023.51,14.51,725500.00,490000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1160.00,132.50,134.50,132.50,134.45,134.45,122.10,11.00,71.15,7.35,79500.00,5500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1170.00,-,-,-,116.00,116.00,112.75,-,-,-,32500.00,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1300.00,27.50,30.50,19.80,21.55,21.45,21.55,26868.00,177975.89,3333.89,7640000.00,321500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1480.00,1.10,1.30,0.80,0.90,0.85,0.90,4351.00,32221.32,23.92,1486000.00,887500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1500.00,0.90,0.95,0.55,0.70,0.70,0.70,2715.00,20372.07,9.57,802500.00,-94000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1180.00,118.00,118.00,115.00,115.00,115.00,103.55,2.00,12.97,1.17,76000.00,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1310.00,22.45,25.45,16.25,17.65,17.60,17.65,5625.00,37405.84,562.09,937000.00,181500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,960.00,-,-,-,240.00,240.00,319.70,-,-,-,500.00,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1190.00,110.85,112.10,93.05,96.65,96.55,96.65,450.00,2901.40,223.90,198000.00,182500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1320.00,18.00,21.15,13.15,14.40,14.25,14.40,8119.00,54267.20,681.80,1459000.00,239500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,980.00,-,-,-,290.25,-,299.80,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1200.00,97.50,107.10,84.75,88.30,88.75,88.30,723.00,4676.04,338.04,1164500.00,32000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1330.00,16.05,17.30,10.75,11.65,11.50,11.65,3987.00,26783.06,269.51,922500.00,252000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1000.00,294.90,296.00,278.00,279.45,279.45,279.90,13.00,83.87,18.87,354500.00,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1340.00,12.90,14.20,8.70,9.55,9.35,9.55,5366.00,36247.83,295.63,843000.00,60500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1020.00,-,-,-,252.10,-,260.00,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1210.00,97.50,97.50,76.05,79.85,79.20,79.85,99.00,638.35,39.40,45000.00,12000.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1350.00,11.00,11.65,7.05,7.65,7.60,7.65,8586.00,58349.92,394.42,4365000.00,463500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1220.00,83.70,88.95,68.05,71.60,71.85,71.60,115.00,744.04,42.54,251500.00,-500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1360.00,8.35,9.35,5.60,6.10,6.00,6.10,4471.00,30559.56,156.76,1021500.00,500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1040.00,-,-,-,233.45,-,240.10,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1230.00,73.00,79.95,60.55,63.55,63.75,63.55,91.00,590.67,31.02,111500.00,16500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1370.00,6.95,7.45,4.50,4.80,4.75,4.80,2007.00,13804.16,56.21,365500.00,114500.00,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1050.00,-,-,-,171.85,-,230.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,24-Apr-2025,CE,1060.00,-,-,-,190.00,190.00,220.20,-,-,-,500.00,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1240.00,70.90,70.90,70.45,70.45,70.45,73.55,2.00,13.11,0.71,1000.00,1000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1390.00,-,-,-,21.45,-,13.55,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1080.00,-,-,-,157.95,-,207.95,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1250.00,-,-,-,78.25,-,67.25,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1400.00,11.00,12.10,8.80,9.20,9.10,9.20,462.00,3257.69,23.69,403000.00,13000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1100.00,-,-,-,142.05,-,188.85,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1420.00,-,-,-,10.60,-,8.80,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1260.00,69.55,70.00,56.75,59.00,59.00,59.00,66.00,436.63,20.83,34000.00,-6000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1120.00,-,-,-,126.90,-,170.15,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1270.00,-,-,-,66.85,-,55.75,-,-,-,-,-,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1440.00,5.85,6.20,5.05,5.40,5.40,5.40,90.00,650.62,2.62,43500.00,19000.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1280.00,53.00,56.35,44.80,47.55,47.55,50.50,15.00,99.82,3.82,5000.00,4500.00,1275.10
RELIANCE,28-Mar-2025,29-May-2025,CE,1460.00,-,-,-,6.80,-,4.70,-,-,-,-,-,1275.10
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1050.00,-,-,-,216.25,-,1278.20,-,-,-,-,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1060.00,-,-,-,180.00,180.00,1278.20,-,-,-,1000.00,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1200.00,77.10,82.60,70.05,79.20,81.70,1278.20,358.00,2285.87,137.87,1228000.00,-61500.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1320.00,0.05,0.50,0.05,0.05,0.05,1278.20,1949.00,12864.66,1.26,1338000.00,-437000.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1070.00,-,-,-,197.35,-,1278.20,-,-,-,-,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1330.00,0.15,0.15,0.05,0.05,0.05,1278.20,1095.00,7282.20,0.45,815500.00,-288000.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1480.00,0.10,0.10,0.05,0.05,0.05,1278.20,647.00,4788.02,0.22,334500.00,64000.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1080.00,200.00,200.00,200.00,200.00,200.00,1278.20,1.00,6.40,1.00,62500.00,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1210.00,64.35,72.05,62.00,70.05,70.50,1278.20,245.00,1565.07,82.82,694000.00,-87500.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1500.00,-,-,-,5.55,-,1278.20,-,-,-,-,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1520.00,0.05,0.10,0.05,0.05,0.05,1278.20,1011.00,7684.04,0.44,377500.00,79000.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1090.00,-,-,-,190.75,190.75,1278.20,-,-,-,49000.00,-,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1220.00,49.00,62.00,49.00,59.35,58.75,1278.20,533.00,3404.25,152.95,1092000.00,-141000.00,1278.20
RELIANCE,27-Mar-2025,27-Mar-2025,CE,1340.00,0.10,0.20,0.05,0.05,0.05,1278.20,859.00,5755.61,0.31,583500.00,-216500.00,1278.20
