date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var,vproxy
January 15th, 2025,0.884223,0.352546,0.464494,0.278188,0.0511479,1.23871e-06,0.000126859,8.99663e-09,-0.232432,0.105483,0.0510156
January 16th, 2025,0.964162,0.280501,0.34333,0.158243,0.0480252,1.28743e-07,2.47335e-05,4.0274e-10,0.0324311,0.141022,0.0479958
January 17th, 2025,0.930847,0.336799,0.196929,0.0358331,0.055706,4.39153e-08,1.29066e-05,1.28204e-10,-0.154054,0.135483,0.0556915
January 20th, 2025,1.05027,0.33383,0.0576537,0.0018206,0.0515778,1.20566e-08,2.50112e-06,2.83826e-12,-0.234299,0.125777,0.0515666
January 21st, 2025,0.127123,0.0212947,1.44932,0.661316,0.0626686,7.15035e-09,5.26636e-05,4.10122e-10,-0.0415457,0.151245,0.0626769
January 22nd, 2025,1.11948,0.0222985,0.0822371,0.0068208,0.0584832,1.86958e-08,2.13675e-06,1.56301e-12,-0.36442,0.0428987,0.0585
January 23rd, 2025,1.14091,0.274345,0.107621,0.00309618,0.0575435,1.58864e-08,1.06228e-05,1.15035e-10,-0.265748,0.113263,0.0575624
January 24th, 2025,0.660032,0.161826,0.0605994,0.010054,0.0577119,1.58237e-08,1.46438e-06,1.24581e-12,-0.184052,0.17917,0.0577294
January 27th, 2025,0.611392,0.24914,0.448933,0.12596,0.0574626,1.007e-08,7.70037e-06,2.02046e-11,0.234486,0.161042,0.0574529
January 28th, 2025,0.917533,0.0832794,0.00650893,7.45048e-06,0.0546108,1.53571e-08,2.11473e-07,7.16362e-14,0.19757,0.0998208,0.0546041
January 29th, 2025,1.02792,0.311956,0.110747,0.0200151,0.0518435,4.0693e-08,1.19919e-06,6.92262e-13,0.281168,0.120888,0.0518752
January 30th, 2025,1.94743,0.140906,0.0137491,1.9227e-05,0.0514787,1.86344e-09,6.5167e-07,4.83928e-13,-0.444991,0.0183581,0.0514955
January 31st, 2025,0.995731,0.157156,0.0376296,0.00062656,0.0499162,3.68047e-09,1.12883e-06,3.0212e-14,-0.314781,0.101745,0.0499165
February 1st, 2025,2.12448,0.594705,0.00716054,1.12835e-05,0.047762,6.37399e-10,1.37499e-07,8.01309e-16,-0.370677,0.14353,0.047788
February 3rd, 2025,1.74247,0.290658,0.0705502,0.00140166,0.0484879,2.15539e-08,5.53896e-07,4.36063e-13,-0.452772,0.0107202,0.048508
February 4th, 2025,0.388109,0.0841718,0.00289618,1.92992e-05,0.0554032,9.10541e-09,3.55463e-08,1.22819e-15,-0.136535,0.11856,0.0554071
February 5th, 2025,1.24757,0.621646,0.00659391,6.40596e-06,0.0538144,7.19987e-09,3.10145e-07,1.24055e-13,0.0948156,0.159952,0.0538007
February 6th, 2025,0.86949,0.184779,0.119624,0.0135062,0.05182,2.8802e-08,7.01377e-06,1.20197e-12,-0.0473941,0.0376352,0.0518148
February 7th, 2025,1.35534,0.372618,0.00143945,1.41063e-05,0.0515281,3.64611e-08,3.45246e-07,7.51451e-13,0.00292234,0.134301,0.0515319
February 10th, 2025,2.85194,0.14944,0.000371261,2.0742e-09,0.0508789,2.88507e-09,1.35042e-08,3.80415e-16,-0.205092,0.024806,0.0508958
February 11th, 2025,0.613709,0.348326,0.000583191,8.55831e-07,0.0512846,9.92083e-09,1.04105e-07,4.35048e-14,0.0820278,0.106916,0.0512813
February 12th, 2025,1.88827,0.448097,7.1423e-05,9.76066e-10,0.051449,6.50697e-09,2.857e-09,2.51366e-18,-0.394186,0.0932535,0.0514685
February 13th, 2025,0.207454,0.0592304,0.00355973,1.94265e-05,0.0498717,1.17693e-07,4.36578e-08,1.09723e-15,-0.0433274,0.040801,0.0498606
February 14th, 2025,0.0551707,1.2168e-05,0.00509973,9.09569e-07,0.0483619,1.6659e-10,5.94247e-08,4.52882e-16,-0.254114,0.152756,0.0483583
February 17th, 2025,0.105516,0.0211387,0.00827884,2.36012e-05,0.0472226,1.26872e-09,1.67214e-07,9.67998e-15,-0.530568,0.00751598,0.0472273
February 18th, 2025,0.634512,0.00866216,0.0534907,0.00548406,0.0458767,2.1802e-08,4.16116e-07,2.99006e-15,0.184627,0.0418217,0.0458784
February 19th, 2025,0.821481,0.252242,0.000151534,8.38041e-09,0.0445949,2.09549e-07,3.79974e-09,8.7682e-19,-0.0352123,0.118913,0.0446212
February 20th, 2025,0.18204,0.0039094,4.89543e-05,8.73141e-10,0.043544,2.57397e-09,2.15245e-09,4.82236e-19,0.123424,0.0560448,0.0435416
February 21st, 2025,0.420369,0.0644543,0.000420356,1.36581e-08,0.0425174,2.30415e-09,1.84784e-08,2.88901e-16,0.391809,0.0101297,0.0425099
February 24th, 2025,1.01815,0.136244,0.00220382,3.40694e-06,0.0421895,3.72597e-08,3.59914e-08,1.07358e-16,-0.365708,0.0277128,0.0422215
February 25th, 2025,0.373102,0.00849148,0.105557,0.00688223,0.0416281,9.40807e-09,1.81012e-06,3.58982e-14,0.210761,0.0376043,0.0416185
February 27th, 2025,0.422096,0.0592023,1.6631,2.94128,0.0651276,0.00522996,0.656901,0.00464468,0.356351,0.0166422,0.0174751
February 28th, 2025,0.339997,0.0402463,1.95566,7.21451,0.103358,0.0321302,2.6137,0.0751851,0.188666,0.0181051,0.0199853
March 3rd, 2025,0.0567389,0.000766303,0.0674819,0.00242876,0.0422313,2.17734e-07,1.89065e-06,2.03543e-14,0.351679,0.0115421,0.0422133
March 4th, 2025,0.0186763,0.000102581,0.107145,0.00763373,0.0415336,2.60628e-09,2.26842e-06,8.85564e-14,0.308206,0.0558997,0.0415316
March 5th, 2025,2.31361,0.156873,2.899e-05,5.35911e-11,0.0415471,1.05578e-08,1.27653e-09,3.19878e-18,0.247657,0.0248824,0.0415134
March 6th, 2025,0.764208,0.0602363,0.00330338,5.03836e-06,0.045231,5.00617e-09,1.13577e-07,7.93122e-16,0.132656,0.0422635,0.0452298
March 7th, 2025,0.350786,0.0470882,2.45754,11.9063,0.134982,0.0323759,2.63178,0.0745145,0.141571,0.0170815,0.203856
March 10th, 2025,0.375865,0.0496324,2.10605,10.9977,0.101095,0.0124121,1.98054,0.0396075,0.161012,0.0178455,0.0646431
March 11th, 2025,0.0336894,0.0037925,0.00282467,8.68459e-06,0.0486084,7.90977e-08,3.36452e-08,9.74678e-18,0.120144,0.00228323,0.0486169
March 12th, 2025,0.594432,0.0260133,0.000427503,1.05417e-07,0.0479159,1.6837e-08,6.44896e-09,2.29733e-18,-0.322443,0.0827665,0.0479118
March 13th, 2025,0.125263,0.0701122,0.000233838,7.00887e-08,0.047284,1.44456e-08,4.30316e-09,6.04447e-19,0.213551,0.0754102,0.0472739
March 17th, 2025,0.415417,0.250227,0.0211786,0.000660354,0.0466506,7.84049e-09,2.70016e-08,1.63355e-17,0.293282,0.0371817,0.0466462
March 18th, 2025,0.392567,0.06451,0.011067,0.000161465,0.0458379,2.17029e-07,1.65219e-07,1.99917e-16,-0.0420978,0.0355404,0.0457666
March 19th, 2025,0.153144,0.0220378,0.0200799,0.000557061,0.0451142,3.7842e-08,3.46951e-07,2.35967e-15,0.155101,0.0189588,0.0451095
March 20th, 2025,0.27745,0.0607565,0.0714943,0.00800919,0.0456159,5.35499e-09,8.45282e-07,5.14583e-15,0.379407,0.00780592,0.0456044
March 21st, 2025,0.0311282,0.00013192,0.00154562,8.71791e-06,0.0449013,6.82268e-09,1.82786e-08,5.7068e-17,-0.031113,0.058614,0.0448985
March 24th, 2025,0.375784,0.0589334,0.000185442,4.61547e-09,0.0457109,1.59802e-09,1.80454e-09,1.31139e-18,-0.588594,0.0094196,0.0457098
March 25th, 2025,0.10808,0.00355322,0.156515,0.0637734,0.0456773,2.35068e-07,1.99001e-06,1.97883e-14,0.178794,0.0063443,0.0457578
March 26th, 2025,0.13124,0.0270366,0.0396063,0.000534995,0.0454564,1.23242e-08,1.67327e-06,1.77235e-14,0.189411,0.0144498,0.045452
March 27th, 2025,0.0602582,0.00158934,0.000128162,6.42223e-08,0.0447282,2.16012e-09,2.1659e-09,5.39796e-20,0.389348,0.0246045,0.0447404
March 28th, 2025,0.547803,0.0291497,0.00022842,4.9777e-08,0.044033,2.06219e-08,1.43336e-09,5.14304e-20,-0.0717488,0.0143742,0.0440482
