date,mu_mean,kappa_mean,theta_mean,vol-of-vol_mean,rho_mean,vproxy,return,one_step_nll
2025-01-15,0.884223,0.464494,0.0511479,0.000126859,-0.232432,0.0510156,1.010857719,2506.036996
2025-01-16,0.964162,0.34333,0.0480252,2.47335e-05,0.0324311,0.0479958,1.011379971,2752.702446
2025-01-17,0.930847,0.196929,0.055706,1.29066e-05,-0.154054,0.0556915,1.028346954,2253.733681
2025-01-20,1.05027,0.0576537,0.0515778,2.50112e-06,-0.234299,0.0515666,1.002380313,2303.361045
2025-01-21,0.127123,1.44932,0.0626686,5.26636e-05,-0.0415457,0.0626769,0.9756788847,2016.294266
2025-01-22,1.11948,0.0822371,0.0584832,2.13675e-06,-0.36442,0.0585,1.002669388,2087.052877
2025-01-23,1.14091,0.107621,0.0575435,1.06228e-05,-0.265748,0.0575624,0.9894683267,2106.947527
2025-01-24,0.660032,0.0605994,0.0577119,1.46438e-06,-0.184052,0.0577294,0.9862699323,2109.590104
2025-01-27,0.611392,0.448933,0.0574626,7.70037e-06,0.234486,0.0574529,0.9863997432,2197.709973
2025-01-28,0.917533,0.00650893,0.0546108,2.11473e-07,0.19757,0.0546041,1.004107862,2292.044721
2025-01-29,1.02792,0.110747,0.0518435,1.19919e-06,0.281168,0.0518752,1.000891121,2475.524078
2025-01-30,1.94743,0.0137491,0.0514787,6.5167e-07,-0.444991,0.0514955,1.014204775,2453.238835
2025-01-31,0.995731,0.0376296,0.0499162,1.12883e-06,-0.314781,0.0499165,1.009616536,2499.473299
2025-02-01,2.12448,0.00716054,0.047762,1.37499e-07,-0.370677,0.047788,0.9996047743,2512.754659
2025-02-03,1.74247,0.0705502,0.0484879,5.53896e-07,-0.452772,0.048508,0.9852127155,2724.186451
2025-02-04,0.388109,0.00289618,0.0554032,3.55463e-08,-0.136535,0.0554071,1.031543463,2239.615272
2025-02-05,1.24757,0.00659391,0.0538144,3.10145e-07,0.0948156,0.0538007,0.9945533769,2328.268844
2025-02-06,0.86949,0.119624,0.05182,7.01377e-06,-0.0473941,0.0518148,1.002620873,2356.317854
2025-02-07,1.35534,0.00143945,0.0515281,3.45246e-07,0.00292234,0.0515319,0.9884124693,2366.170918
2025-02-10,2.85194,0.000371261,0.0508789,1.35042e-08,-0.205092,0.0508958,0.9896976395,2344.227047
2025-02-11,0.613709,0.000583191,0.0512846,1.04105e-07,0.0820278,0.0512813,0.9850037889,2370.135796
2025-02-12,1.88827,7.1423e-05,0.051449,2.857e-09,-0.394186,0.0514685,0.9851803863,2406.918634
2025-02-13,0.207454,0.00355973,0.0498717,4.36578e-08,-0.0433274,0.0498606,0.9996301015,2524.819189
2025-02-14,0.0551707,0.00509973,0.0483619,5.94247e-08,-0.254114,0.0483583,1.000945646,2634.398355
2025-02-17,0.105516,0.00827884,0.0472226,1.67214e-07,-0.530568,0.0472273,1.006284658,2665.020141
2025-02-18,0.634512,0.0534907,0.0458767,4.16116e-07,0.184627,0.0458784,1.000408197,2738.864064
2025-02-19,0.821481,0.000151534,0.0445949,3.79974e-09,-0.0352123,0.0446212,1.001672923,2828.000102
2025-02-20,0.18204,4.89543e-05,0.043544,2.15245e-09,0.123424,0.0435416,1.004521569,2863.985758
2025-02-21,0.420369,0.000420356,0.0425174,1.84784e-08,0.391809,0.0425099,0.9960665045,2886.032344
2025-02-24,1.01815,0.00220382,0.0421895,3.59914e-08,-0.365708,0.0422215,0.9889264341,2905.851252
2025-02-25,0.373102,0.105557,0.0416281,1.81012e-06,0.210761,0.0416185,0.9913136553,3031.193905
2025-02-27,0.422096,1.6631,0.0651276,0.656901,0.356351,0.0174751,1.002574751,7099.509897
2025-02-28,0.339997,1.95566,0.103358,2.6137,0.188666,0.0199853,0.9942009775,5985.248089
2025-03-03,0.0567389,0.0674819,0.0422313,1.89065e-06,0.351679,0.0422133,0.9759603366,2933.110374
2025-03-04,0.0186763,0.107145,0.0415336,2.26842e-06,0.308206,0.0415316,0.9920170758,3102.414824
2025-03-05,2.31361,2.899e-05,0.0415471,1.27653e-09,0.247657,0.0415134,1.011791032,3153.251333
2025-03-06,0.764208,0.00330338,0.045231,1.13577e-07,0.132656,0.0452298,1.028921402,2953.705743
2025-03-07,0.350786,2.45754,0.134982,2.63178,0.141571,0.203856,1.033234127,603.0091709
2025-03-10,0.375865,2.10605,0.101095,1.98054,0.161012,0.0646431,0.9908785406,1968.716455
2025-03-11,0.0336894,0.00282467,0.0486084,3.36452e-08,0.120144,0.0486169,1.007186693,2628.815503
2025-03-12,0.594432,0.000427503,0.0479159,6.44896e-09,-0.322443,0.0479118,1.007816884,2576.515211
2025-03-13,0.125263,0.000233838,0.047284,4.30316e-09,0.213551,0.0472739,0.9927210533,2621.294537
2025-03-17,0.415417,0.0211786,0.0466506,2.70016e-08,0.293282,0.0466462,0.9927478163,2689.189449
2025-03-18,0.392567,0.011067,0.0458379,1.65219e-07,-0.0420978,0.0457666,0.99995964,2778.824468
2025-03-19,0.153144,0.0200799,0.0451142,3.46951e-07,0.155101,0.0451095,1.006740394,2886.27746
2025-03-20,0.27745,0.0714943,0.0456159,8.45282e-07,0.379407,0.0456044,1.01764022,2785.326122
2025-03-21,0.0311282,0.00154562,0.0449013,1.82786e-08,-0.031113,0.0448985,1.005673088,2917.111234
2025-03-24,0.375784,0.000185442,0.0457109,1.80454e-09,-0.588594,0.0457098,1.020174717,2675.4703
2025-03-25,0.10808,0.156515,0.0456773,1.99001e-06,0.178794,0.0457578,0.9872129637,2695.528065
2025-03-26,0.13124,0.0396063,0.0454564,1.67327e-06,0.189411,0.045452,0.9903535727,2788.841666
2025-03-27,0.0602582,0.000128162,0.0447282,2.1659e-09,0.389348,0.0447404,1.004045403,2798.358836
2025-03-28,0.547803,0.00022842,0.044033,1.43336e-09,-0.0717488,0.0440482,0.9975747144,
