date,kappa,theta,vol-of-vol,rho,v0
January 1st, 2025,2.24382,0.0401476,0.416178,-0.221954,0.0349169
January 2nd, 2025,2.24382,0.0401476,0.416178,-0.221954,0.0288218
January 3rd, 2025,2.24382,0.0401476,0.416178,-0.221954,0.0405041
January 1st, 2025,2.92696,0.0412763,0.254976,-0.501665,0.0284871
January 2nd, 2025,2.92696,0.0412763,0.254976,-0.501665,0.0452317
January 3rd, 2025,2.92696,0.0412763,0.254976,-0.501665,0.0333336
January 1st, 2025,3.3298,0.0349534,0.547473,-0.0906549,0.0501427
January 2nd, 2025,3.3298,0.0349534,0.547473,-0.0906549,0.0504446
January 3rd, 2025,3.3298,0.0349534,0.547473,-0.0906549,0.0406644
January 1st, 2025,2.52284,0.0245395,0.596011,-0.305143,0.0617793
January 2nd, 2025,2.52284,0.0245395,0.596011,-0.305143,0.0309174
January 3rd, 2025,2.52284,0.0245395,0.596011,-0.305143,0.0229293
January 1st, 2025,1.13744,0.0436187,0.265265,-0.424262,0.0314621
January 2nd, 2025,1.13744,0.0436187,0.265265,-0.424262,0.0342315
January 3rd, 2025,1.13744,0.0436187,0.265265,-0.424262,0.0476246
January 1st, 2025,1.85251,0.0310353,0.300518,-0.301846,0.0240603
January 2nd, 2025,1.85251,0.0310353,0.300518,-0.301846,0.0547086
January 3rd, 2025,1.85251,0.0310353,0.300518,-0.301846,0.0384781
January 1st, 2025,1.71035,0.0353813,0.511795,-0.254951,0.0467882
January 2nd, 2025,1.71035,0.0353813,0.511795,-0.254951,0.0277342
January 3rd, 2025,1.71035,0.0353813,0.511795,-0.254951,0.0322489
January 1st, 2025,2.95511,0.0343849,0.520029,-0.311065,0.0485543
January 2nd, 2025,2.95511,0.0343849,0.520029,-0.311065,0.028188
January 3rd, 2025,2.95511,0.0343849,0.520029,-0.311065,0.0348711
January 1st, 2025,3.75506,0.0247546,0.418018,-0.337045,0.0514264
January 2nd, 2025,3.75506,0.0247546,0.418018,-0.337045,0.0271986
January 3rd, 2025,3.75506,0.0247546,0.418018,-0.337045,0.0366389
January 1st, 2025,1.6193,0.0351354,0.380007,-0.618339,0.0316136
January 2nd, 2025,1.6193,0.0351354,0.380007,-0.618339,0.0266246
January 3rd, 2025,1.6193,0.0351354,0.380007,-0.618339,0.0463169
January 1st, 2025,3.99541,0.0251082,0.291677,-0.326562,0.0636773
January 2nd, 2025,3.99541,0.0251082,0.291677,-0.326562,0.0374446
January 3rd, 2025,3.99541,0.0251082,0.291677,-0.326562,0.0286762
January 1st, 2025,2.40775,0.0402935,0.27177,-0.339896,0.0492056
January 2nd, 2025,2.40775,0.0402935,0.27177,-0.339896,0.0340808
January 3rd, 2025,2.40775,0.0402935,0.27177,-0.339896,0.0171489
January 1st, 2025,1.66727,0.021152,0.266745,-0.489107,0.0561382
January 2nd, 2025,1.66727,0.021152,0.266745,-0.489107,0.0346268
January 3rd, 2025,1.66727,0.021152,0.266745,-0.489107,0.0300584
January 1st, 2025,3.44847,0.0172802,0.470104,-0.236828,0.0278095
January 2nd, 2025,3.44847,0.0172802,0.470104,-0.236828,0.0468888
January 3rd, 2025,3.44847,0.0172802,0.470104,-0.236828,0.0336281
January 1st, 2025,3.50708,0.0270881,0.770222,-0.378471,0.0641556
January 2nd, 2025,3.50708,0.0270881,0.770222,-0.378471,0.0594407
January 3rd, 2025,3.50708,0.0270881,0.770222,-0.378471,0.0500063
January 1st, 2025,2.14475,0.0469869,0.293864,-0.347738,0.0507181
January 2nd, 2025,2.14475,0.0469869,0.293864,-0.347738,0.050552
January 3rd, 2025,2.14475,0.0469869,0.293864,-0.347738,0.0298567
January 1st, 2025,1.81726,0.0403046,0.462296,-0.41265,0.0304491
January 2nd, 2025,1.81726,0.0403046,0.462296,-0.41265,0.0413078
January 3rd, 2025,1.81726,0.0403046,0.462296,-0.41265,0.0327956
January 1st, 2025,3.05612,0.0265545,0.584596,-0.284213,0.0384014
January 2nd, 2025,3.05612,0.0265545,0.584596,-0.284213,0.0317461
January 3rd, 2025,3.05612,0.0265545,0.584596,-0.284213,0.0559763
January 1st, 2025,2.98792,0.0399699,0.342919,-0.669573,0.0329563
January 2nd, 2025,2.98792,0.0399699,0.342919,-0.669573,0.0341785
January 3rd, 2025,2.98792,0.0399699,0.342919,-0.669573,0.0355579
January 1st, 2025,3.46956,0.0222768,0.420672,-0.393235,0.0399792
January 2nd, 2025,3.46956,0.0222768,0.420672,-0.393235,0.0480743
January 3rd, 2025,3.46956,0.0222768,0.420672,-0.393235,0.041474
