date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1210,0.0794521,37.45,41.4186,3.96859
01-Jan-2025,1200,0.0794521,44.4,47.7383,3.33829
01-Jan-2025,1390,0.0794521,0.85,0.732527,0.117473
01-Jan-2025,1380,0.0794521,1.05,0.970372,0.0796279
01-Jan-2025,1190,0.0794521,51.55,54.5403,2.99029
01-Jan-2025,1370,0.0794521,1.1,1.27977,0.179773
01-Jan-2025,1360,0.0794521,1.3,1.67971,0.379706
01-Jan-2025,1180,0.0794521,59.3,61.7903,2.49026
01-Jan-2025,1170,0.0794521,67.55,69.4491,1.89914
01-Jan-2025,1350,0.0794521,1.65,2.19308,0.543082
01-Jan-2025,1160,0.0794521,76.55,77.4752,0.925152
01-Jan-2025,1150,0.0794521,84.95,85.8257,0.875676
01-Jan-2025,1340,0.0794521,1.9,2.84711,0.947106
01-Jan-2025,1330,0.0794521,2.4,3.67347,1.27347
01-Jan-2025,1140,0.0794521,92,94.4588,2.4588
01-Jan-2025,1130,0.0794521,162.5,103.335,59.1654
01-Jan-2025,1320,0.0794521,3.1,4.70833,1.60833
01-Jan-2025,1120,0.0794521,237.15,112.416,124.734
01-Jan-2025,1110,0.0794521,120.15,121.669,1.51912
01-Jan-2025,1310,0.0794521,4,5.99187,1.99187
01-Jan-2025,1300,0.0794521,5.25,7.56753,2.31753
01-Jan-2025,1100,0.0794521,131.5,131.064,0.435608
01-Jan-2025,1520,0.0794521,0.3,0.0145857,0.285414
01-Jan-2025,1500,0.0794521,0.3,0.0272039,0.272796
01-Jan-2025,1480,0.0794521,0.45,0.0504781,0.399522
01-Jan-2025,1290,0.0794521,6.5,9.48068,2.98068
01-Jan-2025,1280,0.0794521,8.3,11.7769,3.47688
01-Jan-2025,1260,0.232877,53.95,46.82,7.13
01-Jan-2025,1140,0.232877,121.3,122.537,1.23686
01-Jan-2025,1120,0.232877,135.8,138.566,2.76604
01-Jan-2025,1360,0.232877,23.2,15.7363,7.46369
01-Jan-2025,1240,0.232877,62.75,56.5482,6.20179
01-Jan-2025,1220,0.232877,72.5,67.5202,4.9798
01-Jan-2025,1100,0.232877,151.15,155.279,4.12851
01-Jan-2025,1340,0.232877,23,19.8874,3.11259
01-Jan-2025,1080,0.232877,167.25,172.567,5.31722
01-Jan-2025,1320,0.232877,33.05,24.9619,8.08806
01-Jan-2025,1200,0.232877,76,79.6914,3.69143
01-Jan-2025,1440,0.232877,7.6,5.88972,1.71028
01-Jan-2025,1300,0.232877,31,31.0797,0.0797386
01-Jan-2025,1040,0.232877,201.4,208.495,7.09486
