date,mu_mean,kappa_mean,theta_mean,vol-of-vol_mean,rho_mean,v_t_mean,return,one_step_nll
2025-01-15,0.865363,1.55625,0.0654946,0.389601,0.140667,0.0403176,1.010857719,3172.101477
2025-01-16,0.935613,1.6539,0.0593762,0.416098,0.233876,0.0420349,1.011379971,3144.092675
2025-01-17,1.09818,1.7798,0.0696018,0.386142,0.201554,0.0436285,1.028346954,2873.696595
2025-01-20,1.03142,1.81187,0.0679889,0.352773,0.162537,0.0441708,1.002380313,2689.840707
2025-01-21,0.862341,1.58989,0.0776492,0.396268,0.21768,0.0433525,0.9756788847,2899.11838
2025-01-22,0.830258,1.72818,0.067187,0.381137,0.281387,0.0426525,1.002669388,2870.051592
2025-01-23,0.754432,1.68547,0.0785581,0.391425,0.268964,0.0419701,0.9894683267,2899.62282
2025-01-24,0.689099,1.59442,0.0653262,0.343615,0.260967,0.0399013,0.9862699323,3052.506183
2025-01-27,0.610299,1.76542,0.0756684,0.346546,0.175114,0.0426864,0.9863997432,2958.799926
2025-01-28,0.601403,1.60558,0.0664196,0.366317,0.324206,0.0398742,1.004107862,3147.53682
2025-01-29,0.624514,1.5719,0.06523,0.400444,0.378305,0.0366648,1.000891121,3514.615739
2025-01-30,0.603035,1.66871,0.0639911,0.331199,0.361633,0.0400865,1.014204775,3185.826433
2025-01-31,0.68964,1.60471,0.0622892,0.357259,0.348986,0.040734,1.009616536,3070.946353
2025-02-01,0.661759,1.58553,0.0582991,0.352637,0.380331,0.0390848,0.9996047743,3109.488999
2025-02-03,0.609877,1.73092,0.0643253,0.351458,0.374174,0.039331,0.9852127155,3389.945716
2025-02-04,0.62558,1.50364,0.0754087,0.306421,0.167083,0.0438432,1.031543463,2825.57078
2025-02-05,0.640914,1.4991,0.0738856,0.277137,0.151663,0.0441251,0.9945533769,2853.054515
2025-02-06,0.623506,1.46243,0.0666339,0.27274,0.114074,0.0434434,1.002620873,2816.410671
2025-02-07,0.60789,1.62591,0.0680897,0.282921,0.15244,0.0447467,0.9884124693,2741.794901
2025-02-10,0.562171,1.50722,0.0639893,0.263175,0.149617,0.0426577,0.9896976395,2849.922051
2025-02-11,0.540142,1.65973,0.0672144,0.252575,0.0912585,0.0434399,0.9850037889,2800.06679
2025-02-12,0.480084,1.64789,0.0638071,0.271325,0.0834501,0.0425983,0.9851803863,2941.496715
2025-02-13,0.497927,1.43905,0.0663629,0.260086,0.152881,0.0418078,0.9996301015,3004.65133
2025-02-14,0.433835,1.507,0.0568732,0.322447,0.299246,0.0377643,1.000945646,3364.021619
2025-02-17,0.500832,1.51404,0.0619349,0.303379,0.32521,0.0388216,1.006284658,3232.401841
2025-02-18,0.461934,1.51957,0.0554862,0.353912,0.498077,0.0337136,1.000408197,3733.126414
2025-02-19,0.465038,1.40702,0.0563929,0.426362,0.532081,0.0232917,1.001672923,5435.421263
2025-02-20,0.481896,1.40979,0.0479518,0.48104,0.661709,0.024291,1.004521569,5123.430706
2025-02-21,0.489241,1.47924,0.0537728,0.510662,0.691138,0.0223556,0.9960665045,5487.164266
2025-02-24,0.396918,1.62033,0.0558482,0.411849,0.601877,0.0220313,0.9889264341,5599.106753
2025-02-25,0.410271,1.60733,0.0493456,0.333216,0.517763,0.0227571,0.9913136553,5543.984978
2025-02-27,0.403227,1.64007,0.0549426,0.42035,0.675454,0.017486,1.002574751,7096.15369
2025-02-28,0.370405,1.68255,0.0489323,0.380953,0.614134,0.0171211,0.9942009775,6985.270432
2025-03-03,0.352681,1.53853,0.0499877,0.223204,0.304087,0.0290407,0.9759603366,4254.584341
2025-03-04,0.361701,1.59007,0.0520103,0.226054,0.249512,0.0279575,0.9920170758,4597.538014
2025-03-05,0.353431,1.46726,0.0480304,0.207766,0.295127,0.035415,1.011791032,3753.32074
2025-03-06,0.400429,1.58738,0.0613902,0.196668,0.00279427,0.0459033,1.028921402,2918.504375
2025-03-07,0.434174,1.42931,0.0642401,0.207944,-0.134131,0.0397377,1.033234127,3099.430945
2025-03-10,0.43941,1.65234,0.0659674,0.213592,-0.0802648,0.0414138,0.9908785406,3072.739415
2025-03-11,0.413339,1.46401,0.0621277,0.195361,-0.05606,0.0454856,1.007186693,2801.545271
2025-03-12,0.444932,1.55075,0.0594726,0.210702,-0.151631,0.0393555,1.007816884,3140.96581
2025-03-13,0.412827,1.54347,0.0537078,0.189528,-0.0720392,0.0442973,0.9927210533,2791.157426
2025-03-17,0.415022,1.56158,0.0559039,0.184613,-0.111969,0.0455526,0.9927478163,2753.815843
2025-03-18,0.383552,1.59018,0.0537689,0.199697,-0.0736085,0.0448086,0.99995964,2838.488609
2025-03-19,0.413898,1.70282,0.0521115,0.199117,-0.113785,0.0448889,1.006740394,2894.568061
2025-03-20,0.421523,1.43017,0.050591,0.187972,-0.0278103,0.0431978,1.01764022,2937.283875
2025-03-21,0.450915,1.70814,0.0514023,0.204461,-0.0582783,0.0381047,1.005673088,3426.415195
2025-03-24,0.450044,1.48528,0.051021,0.177014,-0.0573811,0.0432287,1.020174717,2827.473303
2025-03-25,0.454267,1.56845,0.0558978,0.173417,-0.0654433,0.0448353,0.9872129637,2743.399826
2025-03-26,0.41354,1.67849,0.0501417,0.173099,-0.0024694,0.0433021,0.9903535727,2920.884514
2025-03-27,0.442539,1.4978,0.0540893,0.199935,-0.0471906,0.044637,1.004045403,2796.311038
2025-03-28,0.392441,1.6564,0.0462504,0.180698,-0.116248,0.0421579,0.9975747144,
