date,kappa,theta,vol-of-vol,rho,v0
January 1st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 2nd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 3rd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 6th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 7th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 8th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 9th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 10th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 13th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 14th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 15th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 16th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 17th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 20th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 21st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 22nd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 23rd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 24th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 27th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 28th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 29th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 30th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
January 31st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 1st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 3rd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 4th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 5th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 6th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 7th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 10th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 11th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 12th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 13th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 14th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 17th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 18th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 19th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 20th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 21st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 24th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 25th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 27th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
February 28th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 3rd, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 4th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 5th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 6th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 7th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 10th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 11th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 12th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 13th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 17th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 18th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 19th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 20th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 21st, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 24th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 25th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 26th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 27th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
March 28th, 2025,2.60652,0.11767,1.89655e-06,-0.397654,0.0396451
