date,strike,maturity,true_price,computed_price,abs_error
01-Jan-2025,1210,0.0794521,37.45,47.1927,9.74267
01-Jan-2025,1200,0.0794521,44.4,53.0968,8.69679
01-Jan-2025,1390,0.0794521,0.85,2.11682,1.26682
01-Jan-2025,1380,0.0794521,1.05,2.64285,1.59285
01-Jan-2025,1190,0.0794521,51.55,59.4219,7.87189
01-Jan-2025,1370,0.0794521,1.1,3.28085,2.18085
01-Jan-2025,1360,0.0794521,1.3,4.04953,2.74953
01-Jan-2025,1180,0.0794521,59.3,66.1552,6.85521
01-Jan-2025,1170,0.0794521,67.55,73.2793,5.72929
01-Jan-2025,1350,0.0794521,1.65,4.96945,3.31945
01-Jan-2025,1160,0.0794521,76.55,80.7726,4.22256
01-Jan-2025,1150,0.0794521,84.95,88.6099,3.65994
01-Jan-2025,1340,0.0794521,1.9,6.06292,4.16292
01-Jan-2025,1330,0.0794521,2.4,7.35381,4.95381
01-Jan-2025,1140,0.0794521,92,96.7636,4.76364
01-Jan-2025,1130,0.0794521,162.5,105.204,57.296
01-Jan-2025,1320,0.0794521,3.1,8.86726,5.76726
01-Jan-2025,1120,0.0794521,237.15,113.9,123.25
01-Jan-2025,1110,0.0794521,120.15,122.822,2.67215
01-Jan-2025,1310,0.0794521,4,10.6293,6.62931
01-Jan-2025,1300,0.0794521,5.25,12.6665,7.41646
01-Jan-2025,1100,0.0794521,131.5,131.939,0.439084
01-Jan-2025,1520,0.0794521,0.3,0.0722719,0.227728
01-Jan-2025,1500,0.0794521,0.3,0.128582,0.171418
01-Jan-2025,1480,0.0794521,0.45,0.224297,0.225703
01-Jan-2025,1290,0.0794521,6.5,15.0051,8.50512
01-Jan-2025,1280,0.0794521,8.3,17.671,9.37099
01-Jan-2025,1260,0.232877,53.95,67.8629,13.9129
01-Jan-2025,1140,0.232877,121.3,135.438,14.1378
01-Jan-2025,1120,0.232877,135.8,149.589,13.7895
01-Jan-2025,1360,0.232877,23.2,33.74,10.54
