date,rate
09-Mar-2026,3.0
10-Mar-2026,2.98318
11-Mar-2026,2.92148
12-Mar-2026,2.93391
13-Mar-2026,2.93987
16-Mar-2026,2.94585
17-Mar-2026,2.95844
18-Mar-2026,3.06076
19-Mar-2026,2.98118
20-Mar-2026,2.98109
23-Mar-2026,2.96735
24-Mar-2026,2.90457
25-Mar-2026,2.86989
26-Mar-2026,2.84973
27-Mar-2026,2.8254
30-Mar-2026,2.91839
31-Mar-2026,2.92717
01-Apr-2026,2.9792
02-Apr-2026,2.99066
07-Apr-2026,3.03251
08-Apr-2026,3.02339
09-Apr-2026,2.99474
10-Apr-2026,2.89342
13-Apr-2026,2.96839
14-Apr-2026,3.00618
15-Apr-2026,3.02878
16-Apr-2026,3.02385
17-Apr-2026,3.01521
20-Apr-2026,2.87639
21-Apr-2026,2.95345
22-Apr-2026,3.15676
23-Apr-2026,3.094
24-Apr-2026,3.14101
27-Apr-2026,3.08512
28-Apr-2026,3.06679
29-Apr-2026,3.06036
30-Apr-2026,3.03554
04-May-2026,3.03448
05-May-2026,2.99955
06-May-2026,3.0317
07-May-2026,3.07753
08-May-2026,2.93349
11-May-2026,2.96541
12-May-2026,3.03431
13-May-2026,2.97312
14-May-2026,3.03447
15-May-2026,2.95227
18-May-2026,3.02666
19-May-2026,3.03128
20-May-2026,3.04974
21-May-2026,3.11441
22-May-2026,3.15104
25-May-2026,3.20146
26-May-2026,3.16885
27-May-2026,3.26004
28-May-2026,3.19407
29-May-2026,3.11149
01-Jun-2026,3.15113
02-Jun-2026,3.13912
03-Jun-2026,3.19682
04-Jun-2026,3.12656
05-Jun-2026,3.03757
08-Jun-2026,3.06164
09-Jun-2026,3.01825
10-Jun-2026,2.98146
11-Jun-2026,3.00079
12-Jun-2026,3.0111
15-Jun-2026,3.01994
16-Jun-2026,3.02426
17-Jun-2026,2.98459
18-Jun-2026,3.02707
19-Jun-2026,2.97718
22-Jun-2026,3.04751
23-Jun-2026,3.01666
24-Jun-2026,3.21552
25-Jun-2026,3.18928
26-Jun-2026,3.14928
29-Jun-2026,3.15974
30-Jun-2026,3.22345
01-Jul-2026,3.14779
02-Jul-2026,3.13282
03-Jul-2026,3.07922
06-Jul-2026,3.09384
07-Jul-2026,3.10155
08-Jul-2026,3.08105
09-Jul-2026,3.06838
10-Jul-2026,3.0399
13-Jul-2026,3.0693
14-Jul-2026,3.06375
15-Jul-2026,3.10726
16-Jul-2026,3.06838
17-Jul-2026,3.04257
20-Jul-2026,3.11297
21-Jul-2026,3.07026
22-Jul-2026,3.14445
23-Jul-2026,3.17887
24-Jul-2026,3.22878
27-Jul-2026,3.17068
28-Jul-2026,3.03294
29-Jul-2026,3.08587
30-Jul-2026,3.0906
31-Jul-2026,3.1291
03-Aug-2026,3.14795
04-Aug-2026,3.25667
05-Aug-2026,3.33089
06-Aug-2026,3.32561
07-Aug-2026,3.32102
10-Aug-2026,3.31111
11-Aug-2026,3.40605
12-Aug-2026,3.36602
13-Aug-2026,3.37007
14-Aug-2026,3.22853
17-Aug-2026,3.28807
18-Aug-2026,3.31151
19-Aug-2026,3.34034
20-Aug-2026,3.43948
21-Aug-2026,3.44655
24-Aug-2026,3.42376
25-Aug-2026,3.40314
26-Aug-2026,3.34445
27-Aug-2026,3.34058
