date,kappa,theta,vol-of-vol,rho,v0
March 9th, 2026,3.61476,0.0541344,0.570213,-0.869239,0.0558646
March 10th, 2026,3.61476,0.0541344,0.570213,-0.869239,0.0434933
March 11th, 2026,3.61476,0.0541344,0.570213,-0.869239,0.0449799
March 9th, 2026,3.02958,0.0429137,0.555285,-0.753022,0.0201761
March 10th, 2026,3.02958,0.0429137,0.555285,-0.753022,0.0519531
March 11th, 2026,3.02958,0.0429137,0.555285,-0.753022,0.0284982
March 9th, 2026,2.6818,0.0266908,0.427387,-0.512311,0.0263232
March 10th, 2026,2.6818,0.0266908,0.427387,-0.512311,0.0472
March 11th, 2026,2.6818,0.0266908,0.427387,-0.512311,0.0312958
March 9th, 2026,3.09146,0.0235826,0.462614,-0.58305,0.0317302
March 10th, 2026,3.09146,0.0235826,0.462614,-0.58305,0.0303025
March 11th, 2026,3.09146,0.0235826,0.462614,-0.58305,0.0498049
March 9th, 2026,3.00621,0.0172154,0.497578,-0.671867,0.0230078
March 10th, 2026,3.00621,0.0172154,0.497578,-0.671867,0.0476898
March 11th, 2026,3.00621,0.0172154,0.497578,-0.671867,0.0526668
March 9th, 2026,3.6227,0.0261657,0.744229,-0.283038,0.0560474
March 10th, 2026,3.6227,0.0261657,0.744229,-0.283038,0.0440651
March 11th, 2026,3.6227,0.0261657,0.744229,-0.283038,0.0382837
March 9th, 2026,3.84982,0.0461829,0.54986,-0.653698,0.0491836
March 10th, 2026,3.84982,0.0461829,0.54986,-0.653698,0.0448543
March 11th, 2026,3.84982,0.0461829,0.54986,-0.653698,0.0358115
March 9th, 2026,3.59884,0.0500552,0.462633,-0.745479,0.0365087
March 10th, 2026,3.59884,0.0500552,0.462633,-0.745479,0.0350028
March 11th, 2026,3.59884,0.0500552,0.462633,-0.745479,0.0416702
March 9th, 2026,1.66946,0.0453871,0.624565,-0.677227,0.0309564
March 10th, 2026,1.66946,0.0453871,0.624565,-0.677227,0.0415022
March 11th, 2026,1.66946,0.0453871,0.624565,-0.677227,0.0356336
March 9th, 2026,3.34283,0.0431586,0.71647,-0.84797,0.0568386
March 10th, 2026,3.34283,0.0431586,0.71647,-0.84797,0.0403109
March 11th, 2026,3.34283,0.0431586,0.71647,-0.84797,0.0389488
March 9th, 2026,2.55702,0.0417489,0.297613,-0.830727,0.0419758
March 10th, 2026,2.55702,0.0417489,0.297613,-0.830727,0.0429452
March 11th, 2026,2.55702,0.0417489,0.297613,-0.830727,0.0425929
March 9th, 2026,1.92672,0.0454445,0.496284,-0.552734,0.0242116
March 10th, 2026,1.92672,0.0454445,0.496284,-0.552734,0.0301944
March 11th, 2026,1.92672,0.0454445,0.496284,-0.552734,0.03782
March 9th, 2026,3.17568,0.0456939,0.726672,-0.714003,0.0419214
March 10th, 2026,3.17568,0.0456939,0.726672,-0.714003,0.0280111
March 11th, 2026,3.17568,0.0456939,0.726672,-0.714003,0.0368434
March 9th, 2026,2.49098,0.0443428,0.415065,-0.554176,0.0356331
March 10th, 2026,2.49098,0.0443428,0.415065,-0.554176,0.0357019
March 11th, 2026,2.49098,0.0443428,0.415065,-0.554176,0.0260995
March 9th, 2026,1.93278,0.0544546,0.487756,-0.633642,0.040722
March 10th, 2026,1.93278,0.0544546,0.487756,-0.633642,0.03571
March 11th, 2026,1.93278,0.0544546,0.487756,-0.633642,0.0362366
March 9th, 2026,3.72491,0.0494694,0.320809,-0.48743,0.0328123
March 10th, 2026,3.72491,0.0494694,0.320809,-0.48743,0.0422503
March 11th, 2026,3.72491,0.0494694,0.320809,-0.48743,0.0336155
March 9th, 2026,3.69684,0.0431663,0.4294,-0.897084,0.0470089
March 10th, 2026,3.69684,0.0431663,0.4294,-0.897084,0.0274107
March 11th, 2026,3.69684,0.0431663,0.4294,-0.897084,0.0402095
March 9th, 2026,2.62069,0.0475075,0.494923,-0.793838,0.0525848
March 10th, 2026,2.62069,0.0475075,0.494923,-0.793838,0.0401853
March 11th, 2026,2.62069,0.0475075,0.494923,-0.793838,0.0426446
March 9th, 2026,3.00759,0.047041,0.56639,-0.69317,0.0428816
March 10th, 2026,3.00759,0.047041,0.56639,-0.69317,0.0422346
March 11th, 2026,3.00759,0.047041,0.56639,-0.69317,0.0458462
March 9th, 2026,2.21404,0.0321569,0.581258,-0.785791,0.0415517
March 10th, 2026,2.21404,0.0321569,0.581258,-0.785791,0.0247196
March 11th, 2026,2.21404,0.0321569,0.581258,-0.785791,0.0273829
March 9th, 2026,1.5738,0.0439816,0.445682,-0.815934,0.0434996
March 10th, 2026,1.5738,0.0439816,0.445682,-0.815934,0.0251773
March 11th, 2026,1.5738,0.0439816,0.445682,-0.815934,0.0418119
March 9th, 2026,1.71672,0.0521343,0.716147,-0.655334,0.0437924
March 10th, 2026,1.71672,0.0521343,0.716147,-0.655334,0.0393986
March 11th, 2026,1.71672,0.0521343,0.716147,-0.655334,0.0428096
March 9th, 2026,1.74549,0.043598,0.401519,-0.837638,0.0498105
March 10th, 2026,1.74549,0.043598,0.401519,-0.837638,0.0323916
March 11th, 2026,1.74549,0.043598,0.401519,-0.837638,0.0250366
March 9th, 2026,1.92817,0.037889,0.642501,-0.841173,0.0296487
March 10th, 2026,1.92817,0.037889,0.642501,-0.841173,0.0195883
March 11th, 2026,1.92817,0.037889,0.642501,-0.841173,0.0484433
March 9th, 2026,3.17679,0.0293548,0.568361,-0.550043,0.0373602
March 10th, 2026,3.17679,0.0293548,0.568361,-0.550043,0.0319532
March 11th, 2026,3.17679,0.0293548,0.568361,-0.550043,0.0443204
March 9th, 2026,2.8508,0.038874,0.709809,-0.848698,0.0507469
March 10th, 2026,2.8508,0.038874,0.709809,-0.848698,0.0344672
March 11th, 2026,2.8508,0.038874,0.709809,-0.848698,0.0473905
March 9th, 2026,2.78808,0.0517824,0.617192,-0.540555,0.0536981
March 10th, 2026,2.78808,0.0517824,0.617192,-0.540555,0.0424121
March 11th, 2026
