date,mu_mean,mu_var,kappa_mean,kappa_var,theta_mean,theta_var,vol-of-vol_mean,vol-of-vol_var,rho_mean,rho_var,v_t_mean,v_t_var
January 15th, 2025,0.865363,0.315347,1.55625,4.0728,0.0654946,0.00526007,0.389601,0.151193,0.140667,0.51654,0.0403176,0.000329097
January 16th, 2025,0.935613,0.368639,1.6539,4.0206,0.0593762,0.00417595,0.416098,0.154457,0.233876,0.481374,0.0420349,0.000394513
January 17th, 2025,1.09818,0.476827,1.7798,4.93823,0.0696018,0.0128666,0.386142,0.123461,0.201554,0.52808,0.0436285,0.000357056
January 20th, 2025,1.03142,0.447037,1.81187,5.53793,0.0679889,0.0100524,0.352773,0.13651,0.162537,0.52175,0.0441708,0.000359767
January 21st, 2025,0.862341,0.281436,1.58989,4.45855,0.0776492,0.0126341,0.396268,0.157158,0.21768,0.504172,0.0433525,0.000428287
January 22nd, 2025,0.830258,0.255521,1.72818,4.50418,0.067187,0.00547943,0.381137,0.181136,0.281387,0.481777,0.0426525,0.000402006
January 23rd, 2025,0.754432,0.187547,1.68547,4.18893,0.0785581,0.0124028,0.391425,0.15129,0.268964,0.480279,0.0419701,0.000469229
January 24th, 2025,0.689099,0.199711,1.59442,2.83019,0.0653262,0.00714286,0.343615,0.104997,0.260967,0.482558,0.0399013,0.00036701
January 27th, 2025,0.610299,0.13775,1.76542,5.66741,0.0756684,0.0074931,0.346546,0.0809508,0.175114,0.529698,0.0426864,0.000430235
January 28th, 2025,0.601403,0.13463,1.60558,3.82955,0.0664196,0.00472892,0.366317,0.119545,0.324206,0.464388,0.0398742,0.000426291
January 29th, 2025,0.624514,0.151151,1.5719,3.41566,0.06523,0.00691749,0.400444,0.129507,0.378305,0.447485,0.0366648,0.000479376
January 30th, 2025,0.603035,0.136946,1.66871,4.25177,0.0639911,0.00441971,0.331199,0.0819045,0.361633,0.45213,0.0400865,0.00042287
January 31st, 2025,0.68964,0.178515,1.60471,4.98419,0.0622892,0.00614102,0.357259,0.0961305,0.348986,0.467568,0.040734,0.000464728
February 1st, 2025,0.661759,0.129797,1.58553,3.58123,0.0582991,0.00398158,0.352637,0.0900186,0.380331,0.425075,0.0390848,0.000440721
February 3rd, 2025,0.609877,0.122592,1.73092,5.36916,0.0643253,0.00485879,0.351458,0.0793774,0.374174,0.430262,0.039331,0.000442714
February 4th, 2025,0.62558,0.153128,1.50364,2.38241,0.0754087,0.00737453,0.306421,0.0803427,0.167083,0.506364,0.0438432,0.000428201
February 5th, 2025,0.640914,0.160992,1.4991,2.70191,0.0738856,0.00693864,0.277137,0.0515107,0.151663,0.515831,0.0441251,0.000382487
February 6th, 2025,0.623506,0.141568,1.46243,1.99359,0.0666339,0.00518145,0.27274,0.0527151,0.114074,0.528535,0.0434434,0.000397255
February 7th, 2025,0.60789,0.146506,1.62591,4.88239,0.0680897,0.00574497,0.282921,0.0534379,0.15244,0.53367,0.0447467,0.000409814
February 10th, 2025,0.562171,0.111896,1.50722,3.15834,0.0639893,0.00513391,0.263175,0.0435162,0.149617,0.493235,0.0426577,0.000374574
February 11th, 2025,0.540142,0.103085,1.65973,7.11472,0.0672144,0.00524723,0.252575,0.0391579,0.0912585,0.539262,0.0434399,0.000359442
February 12th, 2025,0.480084,0.08605,1.64789,3.36812,0.0638071,0.00457199,0.271325,0.0625645,0.0834501,0.556721,0.0425983,0.000405183
February 13th, 2025,0.497927,0.0969368,1.43905,1.95467,0.0663629,0.00480474,0.260086,0.050071,0.152881,0.51798,0.0418078,0.000416948
February 14th, 2025,0.433835,0.0707522,1.507,3.52349,0.0568732,0.00322775,0.322447,0.104727,0.299246,0.473664,0.0377643,0.000530824
February 17th, 2025,0.500832,0.076124,1.51404,2.93334,0.0619349,0.00475798,0.303379,0.0595823,0.32521,0.476719,0.0388216,0.000493267
February 18th, 2025,0.461934,0.0720987,1.51957,3.0519,0.0554862,0.00362989,0.353912,0.0725769,0.498077,0.328449,0.0337136,0.000529393
February 19th, 2025,0.465038,0.0564898,1.40702,2.36754,0.0563929,0.00341887,0.426362,0.0899919,0.532081,0.345731,0.0232917,0.000248732
February 20th, 2025,0.481896,0.0662486,1.40979,2.6863,0.0479518,0.00227218,0.48104,0.101433,0.661709,0.222295,0.024291,0.000239804
February 21st, 2025,0.489241,0.0525845,1.47924,2.18186,0.0537728,0.00325572,0.510662,0.0911693,0.691138,0.184772,0.0223556,0.000285589
February 24th, 2025,0.396918,0.0570058,1.62033,3.51882,0.0558482,0.00641163,0.411849,0.099031,0.601877,0.273679,0.0220313,0.000231335
February 25th, 2025,0.410271,0.0608869,1.60733,3.11668,0.0493456,0.00225761,0.333216,0.0532415,0.517763,0.336784,0.0227571,0.000220697
February 27th, 2025,0.403227,0.0522569,1.64007,3.15626,0.0549426,0.00451615,0.42035,0.0867465,0.675454,0.190589,0.017486,0.000230924
February 28th, 2025,0.370405,0.046445,1.68255,3.85285,0.0489323,0.00207362,0.380953,0.0556181,0.614134,0.252045,0.0171211,0.000192204
March 3rd, 2025,0.352681,0.0407096,1.53853,2.91292,0.0499877,0.00259438,0.223204,0.0257486,0.304087,0.424757,0.0290407,0.000130034
March 4th, 2025,0.361701,0.0469244,1.59007,3.27375,0.0520103,0.00331523,0.226054,0.0346217,0.249512,0.45223,0.0279575,0.000147603
March 5th, 2025,0.353431,0.047546,1.46726,2.23811,0.0480304,0.00184856,0.207766,0.019467,0.295127,0.404986,0.035415,0.000282663
March 6th, 2025,0.400429,0.0582505,1.58738,3.00742,0.0613902,0.00441699,0.196668,0.0272831,0.00279427,0.473312,0.0459033,0.000326548
March 7th, 2025,0.434174,0.0647631,1.42931,2.80273,0.0642401,0.00384517,0.207944,0.0262951,-0.134131,0.46714,0.0397377,0.000190209
March 10th, 2025,0.43941,0.0747625,1.65234,5.83733,0.0659674,0.00372624,0.213592,0.0366597,-0.0802648,0.474438,0.0414138,0.000220206
March 11th, 2025,0.413339,0.0582246,1.46401,2.1636,0.0621277,0.00353582,0.195361,0.0218207,-0.05606,0.476123,0.0454856,0.000301641
March 12th, 2025,0.444932,0.0677592,1.55075,3.39866,0.0594726,0.00310852,0.210702,0.0348402,-0.151631,0.444998,0.0393555,0.00020096
March 13th, 2025,0.412827,0.0597341,1.54347,3.49585,0.0537078,0.00260954,0.189528,0.0244547,-0.0720392,0.476591,0.0442973,0.000288683
March 17th, 2025,0.415022,0.0606422,1.56158,2.808,0.0559039,0.002771,0.184613,0.0237111,-0.111969,0.479415,0.0455526,0.000304041
March 18th, 2025,0.383552,0.0524488,1.59018,4.75799,0.0537689,0.00250061,0.199697,0.0241184,-0.0736085,0.472167,0.0448086,0.000314205
March 19th, 2025,0.413898,0.0558564,1.70282,12.5806,0.0521115,0.002551,0.199117,0.0257295,-0.113785,0.463534,0.0448889,0.000303222
March 20th, 2025,0.421523,0.0550426,1.43017,2.224,0.050591,0.00232752,0.187972,0.0198146,-0.0278103,0.48028,0.0431978,0.000318592
March 21st, 2025,0.450915,0.0637342,1.70814,6.56722,0.0514023,0.00197804,0.204461,0.03207,-0.0582783,0.442711,0.0381047,0.000205835
March 24th, 2025,0.450044,0.0710352,1.48528,2.77939,0.051021,0.00208146,0.177014,0.0213074,-0.0573811,0.454064,0.0432287,0.0003002
March 25th, 2025,0.454267,0.0697387,1.56845,3.75583,0.0558978,0.00369185,0.173417,0.01617,-0.0654433,0.510916,0.0448353,0.000286143
March 26th, 2025,0.41354,0.0514563,1.67849,4.04598,0.0501417,0.00205221,0.173099,0.0152358,-0.0024694,0.475453,0.0433021,0.000265144
March 27th, 2025,0.442539,0.0664533,1.4978,2.91823,0.0540893,0.00412761,0.199935,0.0295763,-0.0471906,0.467416,0.044637,0.000353038
March 28th, 2025,0.392441,0.0564589,1.6564,4.03135,0.0462504,0.00188729,0.180698,0.0200072,-0.116248,0.472946,0.0421579,0.000266614
