date,kappa,theta,vol-of-vol,rho,v0
March 9th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 10th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 11th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 12th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 13th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 16th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 17th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 18th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 19th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 20th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 23rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 24th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 25th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 26th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 27th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 30th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
March 31st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 1st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 2nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 7th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 8th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 9th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 10th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 13th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 14th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 15th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 16th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 17th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 20th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 21st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 22nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 23rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 24th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 27th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 28th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 29th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
April 30th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 4th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 5th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 6th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 7th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 8th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 11th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 12th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 13th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 14th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 15th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 18th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 19th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 20th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 21st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 22nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 25th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 26th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 27th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 28th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
May 29th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 1st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 2nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 3rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 4th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 5th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 8th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 9th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 10th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 11th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 12th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 15th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 16th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 17th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 18th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 19th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 22nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 23rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 24th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 25th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 26th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 29th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
June 30th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 1st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 2nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 3rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 6th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 7th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 8th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 9th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 10th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 13th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 14th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 15th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 16th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 17th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 20th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 21st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 22nd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 23rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 24th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 27th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 28th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 29th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 30th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
July 31st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 3rd, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 4th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 5th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 6th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 7th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 10th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 11th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 12th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 13th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 14th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 17th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 18th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 19th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 20th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 21st, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 24th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 25th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 26th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
August 27th, 2026,1.20574,0.226048,1.2872,-0.769409,0.0606295
