date,strike,maturity,true_price,computed_price,abs_error
09-Mar-2026,80,0.0109589,20.0263,20.0263,2.92365e-06
09-Mar-2026,85,0.0109589,15.0279,15.0279,4.88781e-05
09-Mar-2026,90,0.0109589,10.0296,10.0306,0.00103654
09-Mar-2026,95,0.0109589,5.03874,5.08695,0.0482101
09-Mar-2026,100,0.0109589,0.849889,1.04299,0.193097
09-Mar-2026,105,0.0109589,0.00426881,0.00633539,0.00206658
09-Mar-2026,110,0.0109589,3.63658e-08,5.63361e-08,1.99703e-08
09-Mar-2026,80,0.030137,20.0986,20.1042,0.0056464
09-Mar-2026,85,0.030137,15.1051,15.1363,0.0312081
09-Mar-2026,90,0.030137,10.1247,10.2588,0.134076
09-Mar-2026,95,0.030137,5.33917,5.70017,0.361001
09-Mar-2026,100,0.030137,1.66625,2.03981,0.37356
09-Mar-2026,105,0.030137,0.189481,0.227197,0.0377159
09-Mar-2026,110,0.030137,0.0043272,0.00525539,0.000928186
09-Mar-2026,115,0.030137,1.27306e-05,6.69236e-05,5.4193e-05
09-Mar-2026,120,0.030137,5.09419e-09,7.22585e-07,7.17491e-07
09-Mar-2026,80,0.0493151,20.1579,20.199,0.0410633
09-Mar-2026,85,0.0493151,15.173,15.2991,0.126057
09-Mar-2026,90,0.0493151,10.2411,10.557,0.315877
09-Mar-2026,95,0.0493151,5.6356,6.18474,0.549144
09-Mar-2026,100,0.0493151,2.11903,2.59211,0.47308
09-Mar-2026,105,0.0493151,0.413918,0.489364,0.0754463
09-Mar-2026,110,0.0493151,0.0298812,0.0356335,0.00575227
09-Mar-2026,115,0.0493151,0.000613666,0.00195051,0.00133685
09-Mar-2026,120,0.0493151,3.70813e-06,0.000100968,9.72598e-05
09-Mar-2026,80,0.0657534,20.2398,20.3794,0.139625
09-Mar-2026,85,0.0657534,15.2797,15.5815,0.301796
09-Mar-2026,90,0.0657534,10.4359,10.9836,0.547709
09-Mar-2026,95,0.0657534,6.01433,6.75666,0.742327
09-Mar-2026,100,0.0657534,2.60791,3.19555,0.587637
09-Mar-2026,105,0.0657534,0.718272,0.859151,0.140879
09-Mar-2026,110,0.0657534,0.101768,0.122344,0.0205756
09-Mar-2026,115,0.0657534,0.00629958,0.0151584,0.00885882
09-Mar-2026,120,0.0657534,0.000174519,0.00188386,0.00170934
09-Mar-2026,80,0.0876712,20.3129,20.5626,0.249683
09-Mar-2026,85,0.0876712,15.3833,15.8417,0.458412
09-Mar-2026,90,0.0876712,10.615,11.3342,0.719167
09-Mar-2026,95,0.0876712,6.30845,7.18438,0.875926
09-Mar-2026,100,0.0876712,2.95672,3.63678,0.680065
09-Mar-2026,105,0.0876712,0.96222,1.17207,0.209846
09-Mar-2026,110,0.0876712,0.185649,0.227556,0.0419066
09-Mar-2026,115,0.0876712,0.0187903,0.040193,0.0214027
09-Mar-2026,120,0.0876712,0.00101736,0.00731073,0.00629337
09-Mar-2026,80,0.060274,20.212,20.3135,0.101462
09-Mar-2026,85,0.060274,15.2419,15.4822,0.240252
09-Mar-2026,90,0.060274,10.3676,10.8411,0.473512
09-Mar-2026,95,0.060274,5.89116,6.57421,0.683047
09-Mar-2026,100,0.060274,2.45527,3.00569,0.550421
09-Mar-2026,105,0.060274,0.617846,0.734796,0.11695
09-Mar-2026,110,0.060274,0.0736783,0.0881286,0.0144503
09-Mar-2026,115,0.060274,0.00345165,0.00890055,0.0054489
09-Mar-2026,120,0.060274,6.52288e-05,0.000888335,0.000823106
09-Mar-2026,80,0.142466,20.5733,21.2103,0.636964
09-Mar-2026,85,0.142466,15.7586,16.6707,0.912125
09-Mar-2026,90,0.142466,11.1902,12.3482,1.15796
09-Mar-2026,95,0.142466,7.11426,8.34458,1.23032
09-Mar-2026,100,0.142466,3.84926,4.83325,0.983991
09-Mar-2026,105,0.142466,1.65158,2.1438,0.492223
09-Mar-2026,110,0.142466,0.515635,0.691242,0.175607
09-Mar-2026,115,0.142466,0.1096,0.204149,0.0945491
09-Mar-2026,120,0.142466,0.0160181,0.0636981,0.04768
09-Mar-2026,80,0.221918,20.9523,22.0609,1.10863
09-Mar-2026,85,0.221918,16.2746,17.6771,1.40254
09-Mar-2026,90,0.221918,11.8835,13.5036,1.62013
09-Mar-2026,95,0.221918,7.9684,9.62129,1.65289
09-Mar-2026,100,0.221918,4.74898,6.16147,1.41249
09-Mar-2026,105,0.221918,2.40725,3.34716,0.939908
09-Mar-2026,110,0.221918,0.985133,1.47887,0.493732
09-Mar-2026,115,0.221918,0.31232,0.582641,0.270321
09-Mar-2026,120,0.221918,0.0768307,0.235123,0.158292
09-Mar-2026,80,0.309589,21.4286,23.048,1.61937
09-Mar-2026,85,0.309589,16.8816,18.8044,1.92276
09-Mar-2026,90,0.309589,12.6339,14.7651,2.13125
09-Mar-2026,95,0.309589,8.83279,10.9967,2.16389
09-Mar-2026,100,0.309589,5.64033,7.59874,1.95841
09-Mar-2026,105,0.309589,3.19491,4.72277,1.52786
09-Mar-2026,110,0.309589,1.55218,2.56801,1.01583
09-Mar-2026,115,0.309589,0.629004,1.24969,0.620686
09-Mar-2026,120,0.309589,0.211713,0.592988,0.381275
09-Mar-2026,80,0.394521,21.8776,23.9459,2.06834
09-Mar-2026,85,0.394521,17.4281,19.8125,2.38443
09-Mar-2026,90,0.394521,13.278,15.8789,2.60089
09-Mar-2026,95,0.394521,9.54974,12.2011,2.65136
09-Mar-2026,100,0.394521,6.37414,8.85833,2.48419
09-Mar-2026,105,0.394521,3.86485,5.96162,2.09677
09-Mar-2026,110,0.394521,2.07804,3.65125,1.57321
09-Mar-2026,115,0.394521,0.970426,2.03969,1.06926
09-Mar-2026,120,0.394521,0.390941,1.08477,0.693825
09-Mar-2026,80,0.479452,22.3202,24.82,2.49985
09-Mar-2026,85,0.479452,17.9513,20.7842,2.83289
09-Mar-2026,90,0.479452,13.8783,16.9435,3.06523
09-Mar-2026,95,0.479452,10.206,13.3458,3.13982
09-Mar-2026,100,0.479452,7.04472,10.055,3.0103
09-Mar-2026,105,0.479452,4.49038,7.15557,2.66519
09-Mar-2026,110,0.479452,2.59589,4.75003,2.15414
09-Mar-2026,115,0.479452,1.33935,2.9313,1.59195
09-Mar-2026,120,0.479452,0.612106,1.71353,1.10143
09-Mar-2026,80,0.561644,22.7432,25.6514,2.90824
09-Mar-2026,85,0.561644,18.4415,21.7018,3.26034
09-Mar-2026,90,0.561644,14.431,17.9429,3.51186
09-Mar-2026,95,0.561644,10.804,14.4156,3.61157
09-Mar-2026,100,0.561644,7.65588,11.1726,3.51677
09-Mar-2026,105,0.561644,5.0695,8.28046,3.21096
09-Mar-2026,110,0.561644,3.09333,5.81695,2.72362
09-Mar-2026,115,0.561644,1.71725,3.8563,2.13905
09-Mar-2026,120,0.561644,0.860964,2.43079,1.56983
09-Mar-2026,80,0.643836,23.1952,26.5374,3.3422
09-Mar-2026,85,0.643836,18.9577,22.6741,3.71645
09-Mar-2026,90,0.643836,15.006,18.9965,3.99047
09-Mar-2026,95,0.643836,11.4219,15.5394,4.11747
09-Mar-2026,100,0.643836,8.2879,12.346,4.05811
09-Mar-2026,105,0.643836,5.67575,9.4686,3.79285
09-Mar-2026,110,0.643836,3.62885,6.96652,3.33767
09-Mar-2026,115,0.643836,2.14437,4.89748,2.75311
09-Mar-2026,120,0.643836,1.16331,3.2968,2.13349
09-Mar-2026,80,0.728767,23.6073,27.3431,3.73577
09-Mar-2026,85,0.728767,19.4233,23.5543,4.13095
09-Mar-2026,90,0.728767,15.5203,19.9463,4.426
09-Mar-2026,95,0.728767,11.9718,16.5495,4.57771
09-Mar-2026,100,0.728767,8.85102,13.4001,4.5491
09-Mar-2026,105,0.728767,6.22111,10.5406,4.31947
09-Mar-2026,110,0.728767,4.12104,8.01794,3.8969
09-Mar-2026,115,0.728767,2.55183,5.8782,3.32637
09-Mar-2026,120,0.728767,1.46828,4.1539,2.68562
09-Mar-2026,80,0.813699,24.0287,28.1638,4.13515
09-Mar-2026,85,0.813699,19.8958,24.4475,4.55166
09-Mar-2026,90,0.813699,16.0387,20.9071,4.8684
09-Mar-2026,95,0.813699,12.5241,17.5689,5.04484
09-Mar-2026,100,0.813699,9.41721,14.4634,5.04622
09-Mar-2026,105,0.813699,6.77352,11.6253,4.85173
09-Mar-2026,110,0.813699,4.62786,9.09196,4.4641
09-Mar-2026,115,0.813699,2.98351,6.90024,3.91673
09-Mar-2026,120,0.813699,1.80555,5.07822,3.27267
09-Mar-2026,80,0.893151,24.4048,28.8926,4.48777
09-Mar-2026,85,0.893151,20.3147,25.238,4.9233
09-Mar-2026,90,0.893151,16.4962,21.7552,5.25898
09-Mar-2026,95,0.893151,13.0102,18.4671,5.45687
09-Mar-2026,100,0.893151,9.91584,15.3999,5.48402
09-Mar-2026,105,0.893151,7.26284,12.5827,5.31985
09-Mar-2026,110,0.893151,5.08262,10.0465,4.96393
09-Mar-2026,115,0.893151,3.37953,7.82157,4.44204
09-Mar-2026,120,0.893151,2.12549,5.93188,3.80639
09-Mar-2026,80,0.969863,24.765,29.5867,4.82175
09-Mar-2026,85,0.969863,20.7141,25.9891,5.27504
09-Mar-2026,90,0.969863,16.9307,22.5592,5.62853
09-Mar-2026,95,0.969863,13.4709,19.3173,5.84641
